source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,2.05999,52,0.0396152,1,1,1
0,2,1,0.713073,18,0.0396152,1,2,2
0,3,2,1.26769,32,0.0396152,2,3.5,3
0,4,3,2.53537,64,0.0396152,1,3,3
0,5,4,1.58461,40,0.0396152,1,2,2
0,6,5,1.34692,34,0.0396152,1,2,2
0,7,6,0.554612,14,0.0396152,2,3,3
0,8,7,0.633843,16,0.0396152,1,3,3
0,9,8,1.98076,50,0.0396152,1,3,3
0,10,9,1.58461,40,0.0396152,1,3,3
0,11,10,2.05999,52,0.0396152,2,2.5,2
0,12,11,0.871534,22,0.0396152,1,1,1
0,13,12,0.950764,24,0.0396152,1,1,1
1,2,13,1.02999,26,0.0396152,3,3,2
1,3,14,1.8223,46,0.0396152,1,2,2
1,4,15,3.72383,94,0.0396152,1,2,2
1,5,16,2.29768,58,0.0396152,1,2,2
1,6,17,1.90153,48,0.0396152,1,3,3
1,7,18,0.792303,20,0.0396152,1,3,3
1,8,19,0.871534,22,0.0396152,2,3.5,3
1,9,20,2.93152,74,0.0396152,3,3.66667,3
1,10,21,2.21845,56,0.0396152,2,3.5,3
1,11,22,3.01075,76,0.0396152,2,2.5,1
1,12,23,1.18846,30,0.0396152,1,2,2
1,13,24,1.26769,32,0.0396152,2,1.5,1
2,3,25,0.871534,22,0.0396152,1,2,2
2,4,26,1.74307,44,0.0396152,1,2,2
2,5,27,1.18846,30,0.0396152,1,2,2
2,6,28,0.950764,24,0.0396152,1,2,2
2,7,29,0.475382,12,0.0396152,1,1,1
2,8,30,0.396152,10,0.0396152,1,3,3
2,9,31,1.34692,34,0.0396152,2,3,3
2,10,32,1.02999,26,0.0396152,1,3,3
2,11,33,1.58461,40,0.0396152,1,1,1
2,12,34,0.633843,16,0.0396152,1,1,1
2,13,35,0.554612,14,0.0396152,2,3,3
3,4,36,4.83305,122,0.0396152,2,2.5,2
3,5,37,2.93152,74,0.0396152,4,4,3
3,6,38,2.77306,70,0.0396152,2,2,2
3,7,39,0.871534,22,0.0396152,1,3,3
3,8,40,2.37691,60,0.0396152,1,1,1
3,9,41,6.65535,168,0.0396152,1,1,1
3,10,42,7.68534,194,0.0396152,2,2,2
3,11,43,3.08998,78,0.0396152,1,1,1
3,12,44,0.950764,24,0.0396152,3,3,3
3,13,45,1.02999,26,0.0396152,2,3.5,3
4,5,46,5.86304,148,0.0396152,2,3,2
4,6,47,4.99151,126,0.0396152,2,3,3
4,7,48,1.74307,44,0.0396152,1,3,3
4,8,49,2.13922,54,0.0396152,2,2.5,2
4,9,50,7.20996,182,0.0396152,2,2.5,2
4,10,51,5.70458,144,0.0396152,2,2.5,1
4,11,52,6.81381,172,0.0396152,1,1,1
4,12,53,1.8223,46,0.0396152,1,3,3
4,13,54,2.05999,52,0.0396152,2,3,3
5,6,55,4.04075,102,0.0396152,2,3.5,3
5,7,56,1.34692,34,0.0396152,1,1,1
5,8,57,1.34692,34,0.0396152,2,3.5,2
5,9,58,4.51613,114,0.0396152,1,2,2
5,10,59,3.48613,88,0.0396152,1,1,1
5,11,60,4.04075,102,0.0396152,1,3,3
5,12,61,1.18846,30,0.0396152,2,3,3
5,13,62,1.34692,34,0.0396152,1,1,1
6,7,63,1.02999,26,0.0396152,1,3,3
6,8,64,1.26769,32,0.0396152,1,1,1
6,9,65,4.35767,110,0.0396152,1,1,1
6,10,66,3.4069,86,0.0396152,2,2,2
6,11,67,3.32767,84,0.0396152,1,3,3
6,12,68,1.02999,26,0.0396152,1,1,1
6,13,69,1.10922,28,0.0396152,1,3,3
7,8,70,0.396152,10,0.0396152,2,3.5,3
7,9,71,1.34692,34,0.0396152,2,3.5,3
7,10,72,1.02999,26,0.0396152,1,2,2
7,11,73,1.50538,38,0.0396152,1,2,2
7,12,74,0.475382,12,0.0396152,1,2,2
7,13,75,0.475382,12,0.0396152,1,2,2
8,9,76,6.65535,168,0.0396152,2,2,2
8,10,77,9.34918,236,0.0396152,1,1,1
8,11,78,1.42615,36,0.0396152,1,2,2
8,12,79,0.475382,12,0.0396152,1,2,2
8,13,80,0.475382,12,0.0396152,1,4,3
9,10,81,12.8353,324,0.0396152,1,1,1
9,11,82,4.83305,122,0.0396152,1,2,2
9,12,83,1.42615,36,0.0396152,1,2,2
9,13,84,1.66384,42,0.0396152,2,3.5,3
10,11,85,3.41872,94,0.0363693,2,3,2
10,12,86,1.10922,28,0.0396152,3,3.33333,3
10,13,87,1.26769,32,0.0396152,1,2,2
11,12,88,1.58461,40,0.0396152,1,2,2
11,13,89,1.66384,42,0.0396152,1,2,2
12,13,90,0.633843,16,0.0396152,1,2,2
