source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,2.0571,52,0.0395597,1,1,1,1
0,2,1,0.712074,18,0.0395597,1,2,2,1
0,3,2,1.26591,32,0.0395597,2,3.5,3,1
0,4,3,2.53182,64,0.0395597,2,3.5,3,1
0,5,4,1.58239,40,0.0395597,1,2,2,1
0,6,5,1.34503,34,0.0395597,1,2,2,1
0,7,6,0.553836,14,0.0395597,2,3,3,1
0,8,7,0.632955,16,0.0395597,1,3,3,1
0,9,8,1.97798,50,0.0395597,1,3,3,1
0,10,9,1.58239,40,0.0395597,1,3,3,1
0,11,10,2.0571,52,0.0395597,1,2,2,1
0,12,11,0.870313,22,0.0395597,1,1,1,1
0,13,12,0.949432,24,0.0395597,1,1,1,1
1,2,13,1.02855,26,0.0395597,3,3,2,3
1,3,14,1.81975,46,0.0395597,1,2,2,1
1,4,15,3.71861,94,0.0395597,2,3.5,2,1
1,5,16,2.29446,58,0.0395597,1,2,2,1
1,6,17,1.89886,48,0.0395597,1,3,3,1
1,7,18,0.791194,20,0.0395597,1,3,3,1
1,8,19,0.870313,22,0.0395597,2,3.5,3,2
1,9,20,2.92742,74,0.0395597,3,3.66667,3,3
1,10,21,2.21534,56,0.0395597,2,3.5,3,2
1,11,22,3.00654,76,0.0395597,2,3,1,1
1,12,23,1.18679,30,0.0395597,1,2,2,1
1,13,24,1.26591,32,0.0395597,2,1.5,1,2
2,3,25,0.870313,22,0.0395597,1,2,2,1
2,4,26,1.74063,44,0.0395597,1,2,2,1
2,5,27,1.18679,30,0.0395597,1,2,2,1
2,6,28,0.949432,24,0.0395597,1,2,2,1
2,7,29,0.474716,12,0.0395597,1,1,1,1
2,8,30,0.395597,10,0.0395597,2,3,3,1
2,9,31,1.34503,34,0.0395597,2,3,3,2
2,10,32,1.02855,26,0.0395597,1,3,3,1
2,11,33,1.58239,40,0.0395597,1,1,1,1
2,12,34,0.632955,16,0.0395597,1,1,1,1
2,13,35,0.553836,14,0.0395597,2,3,3,2
3,4,36,4.82628,122,0.0395597,1,2,2,1
3,5,37,2.92742,74,0.0395597,5,4.4,3,5
3,6,38,2.76918,70,0.0395597,2,2,2,2
3,7,39,0.870313,22,0.0395597,3,4.33333,3,2
3,8,40,2.37358,60,0.0395597,1,1,1,1
3,9,41,6.64603,168,0.0395597,1,1,1,1
3,10,42,7.67458,194,0.0395597,2,2,2,2
3,11,43,3.08566,78,0.0395597,1,1,1,1
3,12,44,0.949432,24,0.0395597,3,3,3,3
3,13,45,1.02855,26,0.0395597,3,4,3,3
4,5,46,5.85483,148,0.0395597,3,3.33333,2,3
4,6,47,4.98452,126,0.0395597,4,3.5,3,2
4,7,48,1.74063,44,0.0395597,1,3,3,1
4,8,49,2.13622,54,0.0395597,2,2.5,2,2
4,9,50,7.19986,182,0.0395597,2,2.5,2,2
4,10,51,5.69659,144,0.0395597,1,1,1,1
4,11,52,6.80427,172,0.0395597,1,1,1,1
4,12,53,1.81975,46,0.0395597,1,3,3,1
4,13,54,2.0571,52,0.0395597,3,3.33333,3,3
5,6,55,4.03509,102,0.0395597,4,3.5,3,2
5,7,56,1.34503,34,0.0395597,1,1,1,1
5,8,57,1.34503,34,0.0395597,3,4,2,2
5,9,58,4.5098,114,0.0395597,1,2,2,1
5,10,59,3.48125,88,0.0395597,1,1,1,1
5,11,60,4.03509,102,0.0395597,1,3,3,1
5,12,61,1.18679,30,0.0395597,2,3,3,2
5,13,62,1.34503,34,0.0395597,1,1,1,1
6,7,63,1.02855,26,0.0395597,1,3,3,1
6,8,64,1.26591,32,0.0395597,1,1,1,1
6,9,65,4.35157,110,0.0395597,1,1,1,1
6,10,66,3.40213,86,0.0395597,2,2,2,2
6,11,67,3.32301,84,0.0395597,2,3,3,2
6,12,68,1.02855,26,0.0395597,1,1,1,1
6,13,69,1.10767,28,0.0395597,1,3,3,1
7,8,70,0.395597,10,0.0395597,2,3.5,3,2
7,9,71,1.34503,34,0.0395597,3,3.66667,3,3
7,10,72,1.02855,26,0.0395597,1,2,2,1
7,11,73,1.50327,38,0.0395597,1,2,2,1
7,12,74,0.474716,12,0.0395597,1,2,2,1
7,13,75,0.474716,12,0.0395597,1,2,2,1
8,9,76,6.64603,168,0.0395597,2,2,2,2
8,10,77,9.33609,236,0.0395597,1,1,1,1
8,11,78,1.42415,36,0.0395597,1,2,2,1
8,12,79,0.474716,12,0.0395597,1,2,2,1
8,13,80,0.474716,12,0.0395597,2,3.5,3,2
9,10,81,12.8173,324,0.0395597,1,1,1,1
9,11,82,4.82628,122,0.0395597,2,3,2,2
9,12,83,1.42415,36,0.0395597,1,2,2,1
9,13,84,1.66151,42,0.0395597,2,3.5,3,2
10,11,85,3.71861,94,0.0395597,4,3.25,2,3
10,12,86,1.10767,28,0.0395597,3,3.33333,3,2
10,13,87,1.26591,32,0.0395597,1,2,2,1
11,12,88,1.58239,40,0.0395597,1,2,2,1
11,13,89,1.66151,42,0.0395597,2,2.5,2,2
12,13,90,0.632955,16,0.0395597,1,2,2,1
