source,destination,link_id,used_rate_c,usage,capacity_c
13,5,31,9.74502,0.496225,19.6383
13,1,9,0.984981,0.049249,20
13,0,5,1.64163,0.0820817,20
12,6,37,14.3137,0.732819,19.5323
12,2,15,6.53161,0.33931,19.2497
12,0,3,3.82815,0.198868,19.2497
11,4,25,12.0224,0.615511,19.5323
11,3,21,7.43276,0.380537,19.5323
11,2,13,9.57737,0.490334,19.5323
11,1,7,5.03667,0.257864,19.5323
10,9,41,13.0283,0.65563,19.8714
10,8,39,6.84597,0.344513,19.8714
10,5,29,7.64233,0.389155,19.6383
10,4,23,2.06776,0.104057,19.8714
9,10,40,16.2836,0.81945,19.8714
9,6,35,5.67237,0.290409,19.5323
9,3,19,4.68739,0.23437,20
8,10,38,17.7855,0.895032,19.8714
8,6,33,11.8826,0.608358,19.5323
8,3,17,5.23926,0.261963,20
7,5,27,8.62731,0.439311,19.6383
7,2,11,10.9745,0.548725,20
6,12,36,12.3227,0.630889,19.5323
6,9,34,13.678,0.700273,19.5323
6,8,32,5.40692,0.276819,19.5323
5,13,30,6.44778,0.328327,19.6383
5,10,28,16.4722,0.838781,19.6383
5,7,26,10.3178,0.525394,19.6383
4,11,24,18.8334,0.964217,19.5323
4,10,22,19.8714,1,19.8714
3,11,20,16.0531,0.821873,19.5323
3,9,18,15.6898,0.784492,20
3,8,16,13.9714,0.698568,20
2,12,14,10.6462,0.553057,19.2497
2,11,12,14.3765,0.736038,19.5323
2,7,10,10.8208,0.541041,20
1,13,8,10.6741,0.533706,20
1,11,6,16.0042,0.81937,19.5323
1,0,1,7.05554,0.352777,20
0,13,4,9.31191,0.465596,20
0,12,2,13.4614,0.699305,19.2497
0,1,0,7.34893,0.367447,20
