source,destination,link_id,used_rate,usage,link_capa
13,5,31,8.37871,0.418936,20
13,1,9,0.581683,0.0290842,20
13,0,5,1.28713,0.0643564,20
12,6,37,13.6015,0.680074,20
12,2,15,5.94059,0.29703,20
12,0,3,3.39109,0.169554,20
11,4,25,12.0297,0.601485,20
11,3,21,8.10644,0.405322,20
11,2,13,7.95792,0.397896,20
11,1,7,4.45545,0.222772,20
10,9,41,12.302,0.615099,20
10,8,39,7.09158,0.354579,20
10,5,29,9.72772,0.486386,20
10,4,23,1.74505,0.0872525,20
9,10,40,16.4604,0.82302,20
9,6,35,6.5099,0.325495,20
9,3,19,4.5297,0.226485,20
8,10,38,17.3515,0.867574,20
8,6,33,11.4109,0.570545,20
8,3,17,4.39356,0.219678,20
7,5,27,5.7797,0.288985,20
7,2,11,9.2698,0.46349,20
6,12,36,11.4604,0.57302,20
6,9,34,14.5421,0.727104,20
6,8,32,5.07426,0.253713,20
5,13,30,5.53218,0.276609,20
5,10,28,16.6337,0.831683,20
5,7,26,8.7005,0.435025,20
4,11,24,17.6856,0.884282,20
4,10,22,20,1,20
3,11,20,15.953,0.797649,20
3,9,18,15.8787,0.793936,20
3,8,16,12.599,0.62995,20
2,12,14,10.2723,0.513614,20
2,11,12,13.5272,0.676361,20
2,7,10,7.83416,0.391708,20
1,13,8,9.97525,0.498762,20
1,11,6,15.5322,0.776609,20
1,0,1,6.23762,0.311881,20
0,13,4,8.32921,0.41646,20
0,12,2,12.5619,0.628094,20
0,1,0,7.0297,0.351485,20
