source,destination,link_id,used_rate,usage,link_capa
13,5,31,10.2604,0.513021,20
13,1,9,0.979167,0.0489583,20
13,0,5,1.63021,0.0815104,20
12,6,37,14.8281,0.741406,20
12,2,15,6.76563,0.338281,20
12,0,3,4.10938,0.205469,20
11,4,25,12.4896,0.624479,20
11,3,21,8.20833,0.410417,20
11,2,13,9.38021,0.46901,20
11,1,7,4.66667,0.233333,20
10,9,41,13.599,0.679948,20
10,8,39,5.83854,0.291927,20
10,5,29,8.22917,0.411458,20
10,4,23,1.63542,0.0817708,20
9,10,40,16.8021,0.840104,20
9,6,35,6.19792,0.309896,20
9,3,19,4.76563,0.238281,20
8,10,38,17.4792,0.873958,20
8,6,33,12.6406,0.632031,20
8,3,17,4.57812,0.228906,20
7,5,27,8.52604,0.426302,20
7,2,11,11.7031,0.585156,20
6,12,36,12.9635,0.648177,20
6,9,34,14.2708,0.713542,20
6,8,32,5.96354,0.298177,20
5,13,30,6.71354,0.335677,20
5,10,28,16.6615,0.833073,20
5,7,26,10.9844,0.549219,20
4,11,24,19.2813,0.964063,20
4,10,22,20,1,20
3,11,20,16.401,0.820052,20
3,9,18,15.9115,0.795573,20
3,8,16,14.0677,0.703385,20
2,12,14,11.0677,0.553385,20
2,11,12,14.8802,0.74401,20
2,7,10,10.8073,0.540365,20
1,13,8,10.6771,0.533854,20
1,11,6,15.901,0.795052,20
1,0,1,7.33333,0.366667,20
0,13,4,9.77604,0.488802,20
0,12,2,13.625,0.68125,20
0,1,0,7.5625,0.378125,20
