source,destination,link_id,used_rate_c,usage,capacity_c
13,5,31,9.46485,0.484574,19.5323
13,1,9,0.986359,0.0493179,20
13,0,5,1.6999,0.0849948,20
12,6,37,14.5715,0.753498,19.3385
12,2,15,6.37286,0.320705,19.8714
12,0,3,3.63764,0.1898,19.1656
11,4,25,12.242,0.629975,19.4326
11,3,21,8.74432,0.449982,19.4326
11,2,13,8.81427,0.443566,19.8714
11,1,7,4.52606,0.232911,19.4326
10,9,41,12.5708,0.632609,19.8714
10,8,39,5.98811,0.301343,19.8714
10,5,29,9.46485,0.484574,19.5323
10,4,23,1.86779,0.0939936,19.8714
9,10,40,16.7121,0.841014,19.8714
9,6,35,6.05806,0.313264,19.3385
9,3,19,4.69395,0.234697,20
8,10,38,17.4327,0.877274,19.8714
8,6,33,11.9133,0.616038,19.3385
8,3,17,4.43512,0.221756,20
7,5,27,7.48513,0.383218,19.5323
7,2,11,10.9549,0.551289,19.8714
6,12,36,12.2071,0.631231,19.3385
6,9,34,14.6765,0.758924,19.3385
6,8,32,5.19762,0.26877,19.3385
5,13,30,6.44981,0.330212,19.5323
5,10,28,16.7611,0.858121,19.5323
5,7,26,10.4372,0.534356,19.5323
4,11,24,18.8877,0.971962,19.4326
4,10,22,19.8714,1,19.8714
3,11,20,16.3764,0.842727,19.4326
3,9,18,15.9916,0.79958,20
3,8,16,13.9,0.694998,20
2,12,14,10.9619,0.551641,19.8714
2,11,12,14.4106,0.725194,19.8714
2,7,10,9.5418,0.480177,19.8714
1,13,8,10.3952,0.519762,20
1,11,6,15.8937,0.817888,19.4326
1,0,1,6.75061,0.337531,20
0,13,4,9.3879,0.469395,20
0,12,2,13.1864,0.688024,19.1656
0,1,0,7.13536,0.356768,20
