source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,1.99081,52,0.0382848,1,1,1
0,2,1,0.689127,18,0.0382848,1,2,2
0,3,2,1.22511,32,0.0382848,1,3,3
0,4,3,2.45023,64,0.0382848,2,3.5,3
0,5,4,1.53139,40,0.0382848,1,2,2
0,6,5,1.30168,34,0.0382848,1,2,2
0,7,6,0.535988,14,0.0382848,2,3,3
0,8,7,0.612557,16,0.0382848,1,3,3
0,9,8,1.91424,50,0.0382848,1,3,3
0,10,9,1.53139,40,0.0382848,1,3,3
0,11,10,1.99081,52,0.0382848,1,2,2
0,12,11,0.842266,22,0.0382848,1,1,1
0,13,12,0.918836,24,0.0382848,1,1,1
1,2,13,0.995406,26,0.0382848,2,2.5,2
1,3,14,1.7611,46,0.0382848,1,2,2
1,4,15,3.59877,94,0.0382848,1,2,2
1,5,16,2.22052,58,0.0382848,1,2,2
1,6,17,1.83767,48,0.0382848,1,3,3
1,7,18,0.765697,20,0.0382848,1,3,3
1,8,19,0.842266,22,0.0382848,2,3.5,3
1,9,20,2.83308,74,0.0382848,4,4,3
1,10,21,2.14395,56,0.0382848,1,3,3
1,11,22,2.90965,76,0.0382848,1,1,1
1,12,23,1.14855,30,0.0382848,1,2,2
1,13,24,1.22511,32,0.0382848,2,1.5,1
2,3,25,0.842266,22,0.0382848,1,2,2
2,4,26,1.68453,44,0.0382848,1,2,2
2,5,27,1.14855,30,0.0382848,1,2,2
2,6,28,0.918836,24,0.0382848,1,2,2
2,7,29,0.459418,12,0.0382848,1,1,1
2,8,30,0.382848,10,0.0382848,2,3,3
2,9,31,1.30168,34,0.0382848,2,3,3
2,10,32,0.995406,26,0.0382848,1,3,3
2,11,33,1.53139,40,0.0382848,1,1,1
2,12,34,0.612557,16,0.0382848,1,1,1
2,13,35,0.535988,14,0.0382848,2,3,3
3,4,36,4.67075,122,0.0382848,2,2.5,2
3,5,37,2.83308,74,0.0382848,5,4.4,3
3,6,38,2.67994,70,0.0382848,2,2,2
3,7,39,0.842266,22,0.0382848,2,4,3
3,8,40,2.29709,60,0.0382848,1,1,1
3,9,41,6.43185,168,0.0382848,1,1,1
3,10,42,7.42726,194,0.0382848,2,2,2
3,11,43,2.98622,78,0.0382848,1,1,1
3,12,44,0.918836,24,0.0382848,2,3,3
3,13,45,0.995406,26,0.0382848,2,4,3
4,5,46,5.66616,148,0.0382848,2,3,2
4,6,47,4.82389,126,0.0382848,3,3.33333,3
4,7,48,1.68453,44,0.0382848,1,3,3
4,8,49,2.06738,54,0.0382848,2,2.5,2
4,9,50,6.96784,182,0.0382848,2,2.5,2
4,10,51,5.26411,144,0.0365564,1,1,1
4,11,52,6.58499,172,0.0382848,1,1,1
4,12,53,1.7611,46,0.0382848,1,3,3
4,13,54,1.99081,52,0.0382848,2,3.5,3
5,6,55,3.90505,102,0.0382848,4,3.5,3
5,7,56,1.30168,34,0.0382848,1,1,1
5,8,57,1.30168,34,0.0382848,1,2,2
5,9,58,4.36447,114,0.0382848,1,2,2
5,10,59,3.36907,88,0.0382848,1,1,1
5,11,60,3.90505,102,0.0382848,1,3,3
5,12,61,1.14855,30,0.0382848,2,3,3
5,13,62,1.30168,34,0.0382848,1,1,1
6,7,63,0.995406,26,0.0382848,1,3,3
6,8,64,1.22511,32,0.0382848,1,1,1
6,9,65,4.21133,110,0.0382848,1,1,1
6,10,66,3.2925,86,0.0382848,2,2,2
6,11,67,3.21593,84,0.0382848,2,3,3
6,12,68,0.995406,26,0.0382848,1,1,1
6,13,69,1.07198,28,0.0382848,1,3,3
7,8,70,0.382848,10,0.0382848,2,3.5,3
7,9,71,1.30168,34,0.0382848,2,3.5,3
7,10,72,0.995406,26,0.0382848,1,2,2
7,11,73,1.45482,38,0.0382848,1,2,2
7,12,74,0.459418,12,0.0382848,1,2,2
7,13,75,0.459418,12,0.0382848,1,2,2
8,9,76,6.43185,168,0.0382848,2,2,2
8,10,77,9.03522,236,0.0382848,1,1,1
8,11,78,1.37825,36,0.0382848,1,2,2
8,12,79,0.459418,12,0.0382848,1,2,2
8,13,80,0.459418,12,0.0382848,2,3.5,3
9,10,81,12.4043,324,0.0382848,1,1,1
9,11,82,4.67075,122,0.0382848,1,2,2
9,12,83,1.37825,36,0.0382848,1,2,2
9,13,84,1.60796,42,0.0382848,2,3.5,3
10,11,85,3.59877,94,0.0382848,4,3.25,2
10,12,86,1.07198,28,0.0382848,3,3.33333,3
10,13,87,1.22511,32,0.0382848,1,2,2
11,12,88,1.53139,40,0.0382848,1,2,2
11,13,89,1.60796,42,0.0382848,1,2,2
12,13,90,0.612557,16,0.0382848,1,2,2
