source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,1.88406,52,0.0362319,1,1,1,1
0,2,1,0.652174,18,0.0362319,1,2,2,1
0,3,2,1.15942,32,0.0362319,2,3.5,3,1
0,4,3,2.31884,64,0.0362319,2,3.5,3,1
0,5,4,1.44928,40,0.0362319,1,2,2,1
0,6,5,1.23188,34,0.0362319,1,2,2,1
0,7,6,0.507246,14,0.0362319,2,3,3,1
0,8,7,0.57971,16,0.0362319,1,3,3,1
0,9,8,1.81159,50,0.0362319,1,3,3,1
0,10,9,1.44928,40,0.0362319,1,3,3,1
0,11,10,1.88406,52,0.0362319,1,2,2,1
0,12,11,0.797101,22,0.0362319,1,1,1,1
0,13,12,0.869565,24,0.0362319,1,1,1,1
1,2,13,0.942029,26,0.0362319,2,2.5,2,2
1,3,14,1.66667,46,0.0362319,1,2,2,1
1,4,15,3.4058,94,0.0362319,1,2,2,1
1,5,16,2.10145,58,0.0362319,1,2,2,1
1,6,17,1.73913,48,0.0362319,1,3,3,1
1,7,18,0.724638,20,0.0362319,1,3,3,1
1,8,19,0.797101,22,0.0362319,2,3.5,3,2
1,9,20,2.68116,74,0.0362319,2,3.5,3,2
1,10,21,2.02899,56,0.0362319,1,3,3,1
1,11,22,2.75362,76,0.0362319,1,1,1,1
1,12,23,1.08696,30,0.0362319,1,2,2,1
1,13,24,1.15942,32,0.0362319,1,1,1,1
2,3,25,0.797101,22,0.0362319,1,2,2,1
2,4,26,1.5942,44,0.0362319,1,2,2,1
2,5,27,1.08696,30,0.0362319,1,2,2,1
2,6,28,0.869565,24,0.0362319,1,2,2,1
2,7,29,0.434783,12,0.0362319,1,1,1,1
2,8,30,0.362319,10,0.0362319,2,3,3,1
2,9,31,1.23188,34,0.0362319,2,3,3,1
2,10,32,0.942029,26,0.0362319,1,3,3,1
2,11,33,1.44928,40,0.0362319,1,1,1,1
2,12,34,0.57971,16,0.0362319,1,1,1,1
2,13,35,0.507246,14,0.0362319,2,3,3,1
3,4,36,4.42029,122,0.0362319,2,2.5,2,1
3,5,37,2.68116,74,0.0362319,3,4.33333,3,1
3,6,38,2.53623,70,0.0362319,2,2,2,2
3,7,39,0.797101,22,0.0362319,1,3,3,1
3,8,40,2.17391,60,0.0362319,1,1,1,1
3,9,41,6.08696,168,0.0362319,1,1,1,1
3,10,42,7.02899,194,0.0362319,2,2,2,1
3,11,43,2.82609,78,0.0362319,1,1,1,1
3,12,44,0.869565,24,0.0362319,2,3,3,1
3,13,45,0.942029,26,0.0362319,2,3.5,3,1
4,5,46,5.36232,148,0.0362319,2,3,2,1
4,6,47,4.56522,126,0.0362319,3,3.33333,3,1
4,7,48,1.5942,44,0.0362319,1,3,3,1
4,8,49,1.95652,54,0.0362319,2,2.5,2,1
4,9,50,6.5942,182,0.0362319,2,2.5,2,1
4,10,51,5.21739,144,0.0362319,1,1,1,1
4,11,52,6.23188,172,0.0362319,1,1,1,1
4,12,53,1.66667,46,0.0362319,1,3,3,1
4,13,54,1.88406,52,0.0362319,2,3.5,3,1
5,6,55,3.69565,102,0.0362319,2,3.5,3,2
5,7,56,1.23188,34,0.0362319,1,1,1,1
5,8,57,1.23188,34,0.0362319,1,2,2,1
5,9,58,4.13043,114,0.0362319,1,2,2,1
5,10,59,3.18841,88,0.0362319,1,1,1,1
5,11,60,3.69565,102,0.0362319,1,3,3,1
5,12,61,1.08696,30,0.0362319,2,3,3,1
5,13,62,1.23188,34,0.0362319,1,1,1,1
6,7,63,0.942029,26,0.0362319,1,3,3,1
6,8,64,1.15942,32,0.0362319,1,1,1,1
6,9,65,3.98551,110,0.0362319,1,1,1,1
6,10,66,3.11594,86,0.0362319,2,2,2,1
6,11,67,3.04348,84,0.0362319,2,3,3,1
6,12,68,0.942029,26,0.0362319,1,1,1,1
6,13,69,1.01449,28,0.0362319,1,3,3,1
7,8,70,0.362319,10,0.0362319,2,3.5,3,2
7,9,71,1.23188,34,0.0362319,3,3.66667,3,2
7,10,72,0.942029,26,0.0362319,1,2,2,1
7,11,73,1.37681,38,0.0362319,1,2,2,1
7,12,74,0.434783,12,0.0362319,1,2,2,1
7,13,75,0.434783,12,0.0362319,1,2,2,1
8,9,76,6.08696,168,0.0362319,2,2,2,2
8,10,77,8.55072,236,0.0362319,1,1,1,1
8,11,78,1.30435,36,0.0362319,1,2,2,1
8,12,79,0.434783,12,0.0362319,1,2,2,1
8,13,80,0.434783,12,0.0362319,2,3.5,3,2
9,10,81,11.7391,324,0.0362319,1,1,1,1
9,11,82,4.42029,122,0.0362319,1,2,2,1
9,12,83,1.30435,36,0.0362319,1,2,2,1
9,13,84,1.52174,42,0.0362319,2,3.5,3,1
10,11,85,3.4058,94,0.0362319,3,3,2,1
10,12,86,1.01449,28,0.0362319,1,3,3,1
10,13,87,1.15942,32,0.0362319,1,2,2,1
11,12,88,1.44928,40,0.0362319,1,2,2,1
11,13,89,1.52174,42,0.0362319,1,2,2,1
12,13,90,0.57971,16,0.0362319,1,2,2,1
