source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,59.8632,384,0.155894,8,2.625,1
2,3,1,34.9804,215,0.162699,2,1.5,1
6,7,2,34.4923,212,0.162699,5,1.8,1
9,2,3,32.0518,197,0.162699,3,2.33333,1
8,10,4,26.0319,160,0.162699,2,2,1
1,7,5,26.0319,160,0.162699,2,1.5,1
1,4,6,23.4287,144,0.162699,4,2.5,1
0,6,7,22.4525,138,0.162699,2,1.5,1
2,4,8,20.1747,124,0.162699,2,1.5,1
5,7,9,18.7104,115,0.162699,1,1,1
0,9,10,18.7104,115,0.162699,2,1.5,1
9,10,11,58.1468,364,0.159744,4,1.75,1
4,7,12,17.5715,108,0.162699,1,1,1
3,4,13,17.0834,105,0.162699,2,1.5,1
8,7,14,16.2699,100,0.162699,2,1.5,1
10,2,15,16.1072,99,0.162699,1,1,1
4,5,16,15.4565,95,0.162699,2,1.5,1
1,2,17,42.5176,278,0.152941,4,1.75,1
10,1,18,43.2781,266,0.162699,6,2.16667,1
8,9,19,38.824,263,0.14762,7,2.28571,1
0,8,20,41.7441,258,0.161799,4,1.75,1
8,6,21,32.5952,247,0.131964,5,2,1
1,5,22,36.9568,237,0.155936,7,2.14286,1
1,3,23,31.1895,237,0.131601,5,2.4,1
