source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,25.9391
10,7,20,19.1508,0.743772,25.7482
10,6,18,7.84974,0.296116,26.509
10,2,16,17.9776,0.666776,26.962
10,1,14,20.8268,0.812192,25.6427
10,9,5,14.1117,0.536944,26.2815
9,8,57,4.08938,0.157653,25.9391
9,7,12,24.2346,0.941215,25.7482
9,6,10,20.7039,0.781012,26.509
9,2,8,26.1788,0.97095,26.962
9,1,6,19.2179,0.749447,25.6427
9,10,4,26.0447,0.990988,26.2815
9,0,3,0,0,27.3779
8,7,66,24.5028,0.951629,25.7482
8,6,64,26.509,1,26.509
8,5,62,26.7925,1,26.7925
8,1,60,25.6427,1,25.6427
8,10,58,25.9391,1,25.9391
8,9,56,25.9391,1,25.9391
8,0,1,17.877,0.652974,27.3779
7,8,67,5.76536,0.223913,25.7482
7,6,55,7.96647,0.300519,26.509
7,5,53,12.1455,0.453319,26.7925
7,4,51,8.71506,0.327111,26.6425
7,0,47,0,0,27.3779
7,1,33,12.3687,0.482346,25.6427
7,10,21,11.8547,0.46041,25.7482
7,9,13,6.88267,0.267307,25.7482
6,8,65,4.08938,0.154264,26.509
6,7,54,20.6369,0.778485,26.509
6,4,49,15.743,0.590897,26.6425
6,0,25,1.01676,0.0371378,27.3779
6,10,19,19.6871,0.742657,26.509
6,9,11,8.03351,0.303048,26.509
5,8,63,0,0,26.7925
5,7,52,17.9888,0.671414,26.7925
5,4,45,12.4357,0.466763,26.6425
5,3,43,14.4134,0.537965,26.7925
5,2,39,12.4246,0.460818,26.962
5,1,31,14.8827,0.580386,25.6427
4,7,50,18.9274,0.710419,26.6425
4,6,48,3.59776,0.135038,26.6425
4,5,44,12.7374,0.478086,26.6425
4,3,41,13.1846,0.494871,26.6425
4,2,37,9.62009,0.356801,26.962
4,1,29,8.581,0.334637,25.6427
3,5,42,8.18994,0.305681,26.7925
3,4,40,14.0782,0.528411,26.6425
3,2,35,0,0,26.962
3,1,27,0,0,25.6427
2,5,38,17.1843,0.637354,26.962
2,4,36,16.6257,0.616633,26.962
2,3,34,19.2179,0.712775,26.962
2,1,23,3.72067,0.145097,25.6427
2,10,17,0,0,26.962
2,9,9,0,0,26.962
1,8,61,0.870666,0.0339537,25.6427
1,7,32,25.6427,1,25.6427
1,5,30,25.6427,1,25.6427
1,4,28,25.6427,1,25.6427
1,3,26,25.6427,1,25.6427
1,2,22,25.6427,1,25.6427
1,10,15,21.2625,0.829184,25.6427
1,9,7,10.7933,0.42091,25.6427
0,7,46,23.3296,0.852132,27.3779
0,6,24,25.2625,0.922735,27.3779
0,9,2,23.8212,0.870089,27.3779
0,8,0,26.4134,0.964771,27.3779
