source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,1,0,64.6672,384,0.168404,7,2.42857,1,4
2,3,1,36.2069,215,0.168404,2,1.5,1,2
6,7,2,35.7017,212,0.168404,4,1.75,1,2
9,2,3,33.1756,197,0.168404,3,2.33333,1,3
8,10,4,26.9447,160,0.168404,1,1,1,1
1,7,5,26.9447,160,0.168404,3,2,1,2
1,4,6,24.2502,144,0.168404,2,2,1,1
0,6,7,23.2398,138,0.168404,2,1.5,1,1
2,4,8,20.8821,124,0.168404,2,1.5,1,1
5,7,9,19.3665,115,0.168404,1,1,1,1
0,9,10,19.3665,115,0.168404,1,1,1,1
9,10,11,61.2991,364,0.168404,5,1.8,1,4
4,7,12,18.1877,108,0.168404,1,1,1,1
3,4,13,17.6824,105,0.168404,2,1.5,1,1
8,7,14,16.8404,100,0.168404,2,1.5,1,2
10,2,15,16.672,99,0.168404,1,1,1,1
4,5,16,15.9984,95,0.168404,2,1.5,1,1
1,2,17,46.8164,278,0.168404,5,2.6,1,2
10,1,18,44.7955,266,0.168404,5,2,1,2
8,9,19,44.2903,263,0.168404,4,1.75,1,2
0,8,20,43.4483,258,0.168404,4,1.75,1,3
8,6,21,41.5958,247,0.168404,5,2.2,1,3
1,5,22,39.9118,237,0.168404,6,2.16667,1,4
1,3,23,39.9118,237,0.168404,5,2.8,1,3
