source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,20.7738,0.692461,30
10,6,18,10.4651,0.348837,30
10,2,16,20.6776,0.689255,30
10,1,14,23.9856,0.799519,30
10,9,5,10.405,0.346833,30
9,8,57,4.40256,0.146752,30
9,7,12,27.9551,0.931837,30
9,6,10,23.9134,0.797113,30
9,2,8,26.247,0.8749,30
9,1,6,21.1347,0.704491,30
9,10,4,28.0393,0.934644,30
9,0,3,3.84924,0.128308,30
8,7,66,27.5942,0.919808,30
8,6,64,28.7971,0.959904,30
8,5,62,29.7474,0.99158,30
8,1,60,29.2663,0.975542,30
8,10,58,29.3985,0.979952,30
8,9,56,29.9038,0.996793,30
8,0,1,23.0233,0.767442,30
7,8,67,8.40818,0.280273,30
7,6,55,11.3312,0.377707,30
7,5,53,14.0858,0.469527,30
7,4,51,14.8196,0.493985,30
7,0,47,0,0,30
7,1,33,15.6375,0.521251,30
7,10,21,9.5028,0.31676,30
7,9,13,2.32157,0.0773856,30
6,8,65,2.20128,0.073376,30
6,7,54,23.312,0.777065,30
6,4,49,21.9647,0.732157,30
6,0,25,0,0,30
6,10,19,20.7979,0.693264,30
6,9,11,14.9759,0.499198,30
5,8,63,0,0,30
5,7,52,19.3665,0.645549,30
5,4,45,14.6151,0.487169,30
5,3,43,15.5172,0.517242,30
5,2,39,12.0529,0.401764,30
5,1,31,17.2494,0.57498,30
4,7,50,19.2823,0.642743,30
4,6,48,7.87891,0.26263,30
4,5,44,13.7129,0.457097,30
4,3,41,19.3905,0.646351,30
4,2,37,14.3625,0.478749,30
4,1,29,7.68643,0.256214,30
3,5,42,10.5132,0.350441,30
3,4,40,15.1564,0.505213,30
3,2,35,0,0,30
3,1,27,0,0,30
2,5,38,18.5004,0.61668,30
2,4,36,17.899,0.596632,30
2,3,34,20.6897,0.689655,30
2,1,23,4.00562,0.133521,30
2,10,17,0.745782,0.0248594,30
2,9,9,0,0,30
1,8,61,3.39213,0.113071,30
1,7,32,26.4635,0.882117,30
1,5,30,28.7851,0.959503,30
1,4,28,26.4876,0.882919,30
1,3,26,28.5084,0.950281,30
1,2,22,28.0754,0.935847,30
1,10,15,24.599,0.819968,30
1,9,7,21.0265,0.700883,30
0,7,46,28.4002,0.946672,30
0,6,24,30,1,30
0,9,2,26.0906,0.869687,30
0,8,0,28.4363,0.947876,30
