source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,1,0,65.6485,384,0.17096,8,2.625,1,6
2,3,1,36.7563,215,0.17096,3,1.66667,1,3
6,7,2,36.2434,212,0.17096,6,2,1,4
9,2,3,33.679,197,0.17096,4,2.5,1,3
8,10,4,27.3535,160,0.17096,2,2,1,2
1,7,5,27.3535,160,0.17096,3,1.66667,1,3
1,4,6,24.6182,144,0.17096,5,2.2,1,3
0,6,7,23.5924,138,0.17096,2,1.5,1,2
2,4,8,21.199,124,0.17096,2,1.5,1,2
5,7,9,19.6603,115,0.17096,1,1,1,1
0,9,10,19.6603,115,0.17096,2,1.5,1,1
9,10,11,62.2293,364,0.17096,7,2.28571,1,6
4,7,12,18.4636,108,0.17096,1,1,1,1
3,4,13,17.9508,105,0.17096,2,1.5,1,2
8,7,14,17.096,100,0.17096,4,1.75,1,4
10,2,15,16.925,99,0.17096,1,1,1,1
4,5,16,16.2412,95,0.17096,2,1.5,1,2
1,2,17,47.5268,278,0.17096,11,2.72727,1,6
10,1,18,45.4752,266,0.17096,7,2.28571,1,6
8,9,19,44.9624,263,0.17096,9,2.33333,1,7
0,8,20,44.1076,258,0.17096,4,1.75,1,4
8,6,21,42.227,247,0.17096,6,2.16667,1,5
1,5,22,40.5174,237,0.17096,8,2.375,1,7
1,3,23,40.5174,237,0.17096,12,2.91667,1,8
