source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,21.2147,0.707155,30
10,6,18,14.1491,0.471637,30
10,2,16,20.6915,0.689717,30
10,1,14,21.5875,0.719583,30
10,9,5,15.6043,0.520145,30
9,8,57,6.40408,0.213469,30
9,7,12,26.7168,0.890559,30
9,6,10,24.7023,0.823411,30
9,2,8,26.8431,0.894769,30
9,1,6,21.1004,0.703347,30
9,10,4,28.0337,0.934457,30
9,0,3,0,0,30
8,7,66,28.8214,0.960713,30
8,6,64,28.8575,0.961916,30
8,5,62,29.1942,0.973141,30
8,1,60,28.647,0.954902,30
8,10,58,30,1,30
8,9,56,29.1943,0.973142,30
8,0,1,21.5875,0.719582,30
7,8,67,4.40168,0.146723,30
7,6,55,7.53457,0.251152,30
7,5,53,14.8647,0.49549,30
7,4,51,15.2195,0.507315,30
7,0,47,0,0,30
7,1,33,14.8887,0.496291,30
7,10,21,15.3518,0.511726,30
7,9,13,6.02525,0.200842,30
6,8,65,4.40168,0.146723,30
6,7,54,23.6681,0.788936,30
6,4,49,20.2525,0.675084,30
6,0,25,2.00241,0.0667469,30
6,10,19,20.6193,0.687312,30
6,9,11,9.21826,0.307275,30
5,8,63,0,0,30
5,7,52,19.3626,0.64542,30
5,4,45,13.2231,0.44077,30
5,3,43,16.9453,0.564843,30
5,2,39,14.107,0.470234,30
5,1,31,15.2435,0.508118,30
4,7,50,21.0764,0.702545,30
4,6,48,5.94107,0.198036,30
4,5,44,17.4203,0.580678,30
4,3,41,15.1834,0.506112,30
4,2,37,11.8942,0.396472,30
4,1,29,9.4648,0.315493,30
3,5,42,8.9116,0.297053,30
3,4,40,13.8906,0.463019,30
3,2,35,0.73361,0.0244537,30
3,1,27,0,0,30
2,5,38,17.5887,0.58629,30
2,4,36,19.3867,0.646222,30
2,3,34,20.1022,0.670074,30
2,1,23,4.00481,0.133494,30
2,10,17,1.67167,0.0557225,30
2,9,9,0,0,30
1,8,61,2.00241,0.0667469,30
1,7,32,27.8593,0.928643,30
1,5,30,27.4384,0.914612,30
1,4,28,27.6308,0.921026,30
1,3,26,29.7294,0.990981,30
1,2,22,28.0517,0.935058,30
1,10,15,24.3415,0.811384,30
1,9,7,16.2417,0.54139,30
0,7,46,26.5845,0.886148,30
0,6,24,28.1058,0.936861,30
0,9,2,26.7047,0.890158,30
0,8,0,28.2321,0.941071,30
