source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,26.1839
10,7,20,20.3082,0.780674,26.0137
10,6,18,7.26883,0.271301,26.7925
10,2,16,20.0273,0.731513,27.3779
10,1,14,22.579,0.883694,25.5507
10,9,5,13.6481,0.514846,26.509
9,8,57,4.28403,0.163614,26.1839
9,7,12,26.0137,1,26.0137
9,6,10,23.8197,0.889046,26.7925
9,2,8,27.3779,1,27.3779
9,1,6,21.4436,0.839257,25.5507
9,10,4,26.509,1,26.509
9,0,3,0,0,28.3056
8,7,66,26.0137,1,26.0137
8,6,64,26.7925,1,26.7925
8,5,62,27.6367,1,27.6367
8,1,60,25.5507,1,25.5507
8,10,58,26.1839,1,26.1839
8,9,56,26.1839,1,26.1839
8,0,1,19.3367,0.68314,28.3056
7,8,67,8.18181,0.31452,26.0137
7,6,55,7.83578,0.292462,26.7925
7,5,53,14.8406,0.536989,27.6367
7,4,51,13.1147,0.486415,26.962
7,0,47,0,0,28.3056
7,1,33,14.842,0.580883,25.5507
7,10,21,9.97267,0.383363,26.0137
7,9,13,2.25907,0.0868415,26.0137
6,8,65,2.14202,0.0799485,26.7925
6,7,54,24.4518,0.912639,26.7925
6,4,49,17.5575,0.651195,26.962
6,0,25,1.06515,0.0376304,28.3056
6,10,19,18.8568,0.703809,26.7925
6,9,11,12.934,0.48275,26.7925
5,8,63,0,0,27.6367
5,7,52,18.8451,0.681887,27.6367
5,4,45,13.3097,0.493647,26.962
5,3,43,15.0995,0.515368,29.2985
5,2,39,15.6262,0.57076,27.3779
5,1,31,12.8872,0.504379,25.5507
4,7,50,18.7632,0.695911,26.962
4,6,48,10.8517,0.40248,26.962
4,5,44,15.5677,0.577393,26.962
4,3,41,15.1032,0.515496,29.2985
4,2,37,7.46779,0.272767,27.3779
4,1,29,8.98946,0.351828,25.5507
3,5,42,6.35584,0.216934,29.2985
3,4,40,14.7483,0.503382,29.2985
3,2,35,2.61022,0.0953404,27.3779
3,1,27,0,0,25.5507
2,5,38,15.0995,0.551521,27.3779
2,4,36,20.3199,0.742202,27.3779
2,3,34,20.1327,0.735362,27.3779
2,1,23,5.09168,0.199278,25.5507
2,10,17,0,0,27.3779
2,9,9,0,0,27.3779
1,8,61,0,0,25.5507
1,7,32,25.5507,1,25.5507
1,5,30,25.5507,1,25.5507
1,4,28,25.5507,1,25.5507
1,3,26,25.5507,1,25.5507
1,2,22,25.5507,1,25.5507
1,10,15,25.1658,0.984937,25.5507
1,9,7,16.4622,0.644296,25.5507
0,7,46,24.9902,0.882871,28.3056
0,6,24,26.0905,0.921743,28.3056
0,9,2,25.3882,0.896931,28.3056
0,8,0,27.6707,0.977569,28.3056
