source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,17.8524,0.595081,30
10,6,18,12.5777,0.419257,30
10,2,16,16.8525,0.561749,30
10,1,14,18.0657,0.602191,30
10,9,5,11.7118,0.390394,30
9,8,57,5.74926,0.191642,30
9,7,12,22.1106,0.737019,30
9,6,10,21.4139,0.713797,30
9,2,8,22.3454,0.744846,30
9,1,6,17.9894,0.599647,30
9,10,4,23.1027,0.77009,30
9,0,3,1.53614,0.0512045,30
8,7,66,23.769,0.7923,30
8,6,64,24.7709,0.825697,30
8,5,62,24.811,0.827034,30
8,1,60,25.038,0.834601,30
8,10,58,23.9236,0.797453,30
8,9,56,24.2866,0.809553,30
8,0,1,16.5002,0.550008,30
7,8,67,4.68277,0.156092,30
7,6,55,8.95557,0.298519,30
7,5,53,14.6089,0.486965,30
7,4,51,11.701,0.390035,30
7,0,47,0,0,30
7,1,33,11.3615,0.378718,30
7,10,21,9.08962,0.302987,30
7,9,13,4.98804,0.166268,30
6,8,65,2.41085,0.0803618,30
6,7,54,20.6233,0.687445,30
6,4,49,18.4884,0.616281,30
6,0,25,0.59293,0.0197643,30
6,10,19,18.2888,0.609627,30
6,9,11,9.5348,0.317827,30
5,8,63,0,0,30
5,7,52,16.2028,0.540093,30
5,4,45,11.3958,0.379859,30
5,3,43,14.3125,0.477083,30
5,2,39,12.0914,0.403048,30
5,1,31,11.6844,0.38948,30
4,7,50,16.6,0.553335,30
4,6,48,3.84425,0.128142,30
4,5,44,12.9662,0.432205,30
4,3,41,15.4455,0.51485,30
4,2,37,10.6825,0.356083,30
4,1,29,6.6768,0.22256,30
3,5,42,5.3706,0.17902,30
3,4,40,11.0954,0.369847,30
3,2,35,4.89606,0.163202,30
3,1,27,0,0,30
2,5,38,15.6608,0.522025,30
2,4,36,15.287,0.509566,30
2,3,34,17.2331,0.574436,30
2,1,23,6.35392,0.211797,30
2,10,17,2.94508,0.0981692,30
2,9,9,0,0,30
1,8,61,1.19662,0.0398874,30
1,7,32,23.6506,0.788354,30
1,5,30,22.8434,0.761447,30
1,4,28,22.1996,0.739987,30
1,3,26,23.2612,0.775373,30
1,2,22,22.6732,0.755772,30
1,10,15,22.1125,0.737084,30
1,9,7,17.1245,0.570816,30
0,7,46,22.5,0.749999,30
0,6,24,22.7514,0.758381,30
0,9,2,21.8669,0.728898,30
0,8,0,23.5078,0.783592,30
