source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,1,0,57.5973,384,0.149993,4,2,1,4
2,3,1,32.6644,215,0.151927,3,1.66667,1,3
6,7,2,32.2086,212,0.151927,5,1.8,1,2
9,2,3,28.7986,197,0.146186,3,2.33333,1,1
8,10,4,24.3084,160,0.151927,1,1,1,1
1,7,5,24.3084,160,0.151927,2,1.5,1,1
1,4,6,21.8775,144,0.151927,1,1,1,1
0,6,7,20.966,138,0.151927,1,1,1,1
2,4,8,18.839,124,0.151927,2,1.5,1,1
5,7,9,17.4716,115,0.151927,1,1,1,1
0,9,10,17.4716,115,0.151927,2,1.5,1,1
9,10,11,55.3015,364,0.151927,4,1.75,1,4
4,7,12,16.4081,108,0.151927,1,1,1,1
3,4,13,15.9524,105,0.151927,2,1.5,1,1
8,7,14,15.1927,100,0.151927,2,1.5,1,1
10,2,15,15.0408,99,0.151927,1,1,1,1
4,5,16,14.4331,95,0.151927,2,1.5,1,1
1,2,17,42.2358,278,0.151927,5,2,1,3
10,1,18,40.4127,266,0.151927,4,2,1,4
8,9,19,39.9569,263,0.151927,4,2,1,3
0,8,20,39.1972,258,0.151927,4,2,1,2
8,6,21,37.526,247,0.151927,5,2,1,2
1,5,22,36.0068,237,0.151927,4,2,1,3
1,3,23,36.0068,237,0.151927,6,3.16667,1,2
