source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,26.2815
10,7,20,17.6811,0.675269,26.1839
10,6,18,8.37669,0.310685,26.962
10,2,16,17.5874,0.642393,27.3779
10,1,14,21.7506,0.84075,25.8704
10,9,5,10.3227,0.38745,26.6425
9,8,57,2.06319,0.0785035,26.2815
9,7,12,21.1209,0.806639,26.1839
9,6,10,19.808,0.734662,26.962
9,2,8,25.5219,0.93221,27.3779
9,1,6,15.5811,0.602275,25.8704
9,10,4,21.9449,0.823678,26.6425
9,0,3,0,0,27.9415
8,7,66,25.2172,0.96308,26.1839
8,6,64,26.962,1,26.962
8,5,62,25.7162,0.92036,27.9415
8,1,60,25.8704,1,25.8704
8,10,58,25.8468,0.983459,26.2815
8,9,56,26.2815,1,26.2815
8,0,1,14.4055,0.51556,27.9415
7,8,67,7.77716,0.297021,26.1839
7,6,55,9.50877,0.352673,26.962
7,5,53,8.5743,0.306867,27.9415
7,4,51,3.16178,0.116433,27.1554
7,0,47,0,0,27.9415
7,1,33,11.4279,0.441737,25.8704
7,10,21,16.2309,0.619881,26.1839
7,9,13,5.68048,0.216946,26.1839
6,8,65,2.06319,0.0765222,26.962
6,7,54,23.5324,0.872799,26.962
6,4,49,15.0251,0.553302,27.1554
6,0,25,0.676568,0.0242138,27.9415
6,10,19,17.1419,0.635779,26.962
6,9,11,6.45753,0.239505,26.962
5,8,63,0,0,27.9415
5,7,52,17.3328,0.620326,27.9415
5,4,45,10.6408,0.39185,27.1554
5,3,43,12.9619,0.463896,27.9415
5,2,39,11.4279,0.417415,27.3779
5,1,31,11.4279,0.441737,25.8704
4,7,50,16.2778,0.599431,27.1554
4,6,48,1.73161,0.0637667,27.1554
4,5,44,14.3184,0.527277,27.1554
4,3,41,12.2016,0.449327,27.1554
4,2,37,11.0461,0.403468,27.3779
4,1,29,2.30435,0.0890725,25.8704
3,5,42,3.16512,0.113277,27.9415
3,4,40,12.6605,0.466224,27.1554
3,2,35,0,0,27.3779
3,1,27,5.71397,0.220868,25.8704
2,5,38,14.7237,0.537795,27.3779
2,4,36,17.6945,0.646308,27.3779
2,3,34,18.6759,0.682153,27.3779
2,1,23,5.71397,0.220868,25.8704
2,10,17,0,0,27.3779
2,9,9,0,0,27.3779
1,8,61,2.86034,0.110564,25.8704
1,7,32,25.0061,0.966591,25.8704
1,5,30,25.8704,1,25.8704
1,4,28,24.3195,0.940051,25.8704
1,3,26,25.8704,1,25.8704
1,2,22,25.5219,0.986529,25.8704
1,10,15,18.5185,0.715816,25.8704
1,9,7,8.19248,0.316674,25.8704
0,7,46,20.9434,0.749546,27.9415
0,6,24,22.531,0.806364,27.9415
0,9,2,21.6434,0.774598,27.9415
0,8,0,26.9823,0.96567,27.9415
