source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0,195,0,1,2,2
0,2,1,0,158,0,0,0~,1
0,3,2,0,174,0,0,0~,3
0,4,3,0,101,0,0,0~,2
0,5,4,0,198,0,0,0~,1
0,6,5,0,158,0,0,0~,2
0,7,6,0,182,0,0,0~,3
0,8,7,0,154,0,0,0~,2
0,9,8,0,175,0,0,0~,2
0,10,9,0,122,0,0,0~,1
0,11,10,0,114,0,0,0~,3
1,2,11,0,179,0,0,0~,1
1,3,12,0,117,0,0,0~,3
1,4,13,0,105,0,0,0~,2
1,5,14,0,159,0,0,0~,2
1,6,15,0,198,0,1,4,2
1,7,16,0,189,0,0,0~,1
1,8,17,0,166,0,0,0~,3
1,9,18,0,142,0,0,0~,2
1,10,19,0,137,0,0,0~,1
1,11,20,0,163,0,1,2,2
2,3,21,0,131,0,0,0~,4
2,4,22,0,159,0,1,3,3
2,5,23,0,164,0,0,0~,2
2,6,24,0,128,0,1,3,3
2,7,25,0,195,0,0,0~,2
2,8,26,0,130,0,0,0~,3
2,9,27,0,105,0,0,0~,1
2,10,28,0,173,0,0,0~,2
2,11,29,0,157,0,0,0~,3
3,4,30,0,194,0,1,1,1
3,5,31,0,125,0,0,0~,3
3,6,32,0,110,0,0,0~,1
3,7,33,0,132,0,1,2,2
3,8,34,0,159,0,0,0~,2
3,9,35,0,109,0,0,0~,3
3,10,36,0,126,0,0,0~,2
3,11,37,0,100,0,0,0~,1
4,5,38,0,124,0,0,0~,2
4,6,39,0,106,0,0,0~,2
4,7,40,0,136,0,0,0~,3
4,8,41,0,144,0,0,0~,1
4,9,42,0,168,0,0,0~,4
4,10,43,0,119,0,0,0~,1
4,11,44,0,127,0,0,0~,2
5,6,45,0,105,0,0,0~,2
5,7,46,0,147,0,0,0~,3
5,8,47,0,140,0,0,0~,1
5,9,48,0,198,0,0,0~,3
5,10,49,0,104,0,0,0~,1
5,11,50,0,113,0,0,0~,3
6,7,51,0,169,0,0,0~,2
6,8,52,0,187,0,0,0~,3
6,9,53,0,196,0,0,0~,3
6,10,54,0,193,0,0,0~,1
6,11,55,0,151,0,0,0~,1
7,8,56,0,106,0,0,0~,4
7,9,57,0,125,0,0,0~,1
7,10,58,0,194,0,0,0~,2
7,11,59,0,194,0,0,0~,1
8,9,60,0,123,0,0,0~,4
8,10,61,0,181,0,0,0~,2
8,11,62,0,193,0,1,3,3
9,10,63,0,181,0,1,3,3
9,11,64,0,195,0,1,2,2
10,11,65,0,141,0,0,0~,2
