source,destination,link_id,used_rate,usage,link_capa
11,7,33,113.692,0.733496,155
11,6,29,25.3641,0.16364,155
11,3,17,24.0783,0.155344,155
10,6,27,139.286,0.89862,155
10,5,25,59.4582,0.383601,155
10,4,21,87.3939,0.563832,155
10,1,9,77.3782,0.499214,155
10,0,1,0,0,155
9,7,31,85.8103,0.553615,155
9,2,11,19.5983,0.126441,155
8,5,23,16.6342,0.107317,155
8,4,19,80.8295,0.521481,155
7,11,32,155,1,155
7,9,30,96.5569,0.622948,155
7,1,7,20.4781,0.132117,155
6,11,28,127.01,0.81942,155
6,10,26,82.6973,0.533531,155
6,3,15,41.484,0.267639,155
5,0,35,16.729,0.107929,155
5,10,24,100.279,0.646961,155
5,8,22,105.436,0.680231,155
4,10,20,88.2872,0.569595,155
4,8,18,94.6079,0.610374,155
4,3,13,135.009,0.871027,155
3,11,16,126.482,0.816015,155
3,6,14,72.9929,0.470922,155
3,4,12,95.3388,0.615089,155
2,9,10,152.523,0.98402,155
2,1,5,96.4893,0.622511,155
2,0,3,131.463,0.848149,155
1,10,8,153.782,0.992141,155
1,7,6,151.589,0.977995,155
1,2,4,91.4543,0.590028,155
0,5,34,140.843,0.908662,155
0,2,2,119.796,0.772878,155
0,10,0,145.269,0.937216,155
