source,destination,link_id,used_rate_c,usage,capacity_c
11,7,33,111.674,0.761067,146.733
11,6,29,26.3618,0.174289,151.254
11,3,17,16.0849,0.109044,147.508
10,6,27,136.205,0.900509,151.254
10,5,25,60.029,0.40224,149.237
10,4,21,85.9495,0.600983,143.015
10,1,9,73.3479,0.499872,146.733
10,0,1,0,0,146.01
9,7,31,78.1404,0.532534,146.733
9,2,11,14.7907,0.101299,146.01
8,5,23,19.1217,0.12813,149.237
8,4,19,78.1691,0.54658,143.015
7,11,32,146.733,1,146.733
7,9,30,93.2059,0.635206,146.733
7,1,7,18.5037,0.126104,146.733
6,11,28,124.405,0.822495,151.254
6,10,26,81.9617,0.541883,151.254
6,3,15,41.414,0.280757,147.508
5,0,35,18.9746,0.129954,146.01
5,10,24,99.9721,0.669889,149.237
5,8,22,104.728,0.701758,149.237
4,10,20,83.6768,0.585092,143.015
4,8,18,95.7882,0.669777,143.015
4,3,13,132.348,0.897226,147.508
3,11,16,125.386,0.850027,147.508
3,6,14,70.9463,0.480966,147.508
3,4,12,94.0067,0.637299,147.508
2,9,10,146.01,1,146.01
2,1,5,91.4245,0.623066,146.733
2,0,3,126.988,0.869717,146.01
1,10,8,146.733,1,146.733
1,7,6,146.733,1,146.733
1,2,4,84.6084,0.576613,146.733
0,5,34,139.082,0.952547,146.01
0,2,2,120.221,0.823377,146.01
0,10,0,141.272,0.967546,146.01
