source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,27.7995,195,0.142562,2,2,2
0,2,1,22.5247,158,0.142562,1,1,1
0,3,2,24.8057,174,0.142562,2,3,3
0,4,3,14.3987,101,0.142562,1,2,2
0,5,4,28.2272,198,0.142562,1,1,1
0,6,5,22.5247,158,0.142562,1,2,2
0,7,6,25.9462,182,0.142562,3,3.33333,3
0,8,7,21.9545,154,0.142562,1,2,2
0,9,8,24.9483,175,0.142562,1,2,2
0,10,9,17.3925,122,0.142562,1,1,1
0,11,10,16.252,114,0.142562,2,3.5,3
1,2,11,25.5185,179,0.142562,1,1,1
1,3,12,16.6797,117,0.142562,2,3,3
1,4,13,14.969,105,0.142562,1,2,2
1,5,14,22.6673,159,0.142562,1,2,2
1,6,15,28.2272,198,0.142562,2,2.5,2
1,7,16,26.9441,189,0.142562,1,1,1
1,8,17,23.6652,166,0.142562,2,3.5,3
1,9,18,20.2437,142,0.142562,2,2,2
1,10,19,19.5309,137,0.142562,1,1,1
1,11,20,23.2375,163,0.142562,1,2,2
2,3,21,16.0692,131,0.122666,3,4,4
2,4,22,22.6673,159,0.142562,2,3.5,3
2,5,23,23.3801,164,0.142562,1,2,2
2,6,24,18.2479,128,0.142562,3,3.33333,3
2,7,25,27.7995,195,0.142562,1,2,2
2,8,26,18.533,130,0.142562,1,3,3
2,9,27,14.969,105,0.142562,1,1,1
2,10,28,24.6631,173,0.142562,2,2,2
2,11,29,22.3822,157,0.142562,1,3,3
3,4,30,27.6569,194,0.142562,1,1,1
3,5,31,17.8202,125,0.142562,2,3,3
3,6,32,15.6818,110,0.142562,1,1,1
3,7,33,18.8181,132,0.142562,1,2,2
3,8,34,22.6673,159,0.142562,1,2,2
3,9,35,15.5392,109,0.142562,1,3,3
3,10,36,17.9628,126,0.142562,1,2,2
3,11,37,14.2562,100,0.142562,1,1,1
4,5,38,17.6776,124,0.142562,2,2,2
4,6,39,15.1115,106,0.142562,1,2,2
4,7,40,19.3884,136,0.142562,2,3,3
4,8,41,20.5289,144,0.142562,1,1,1
4,9,42,23.9503,168,0.142562,2,4,4
4,10,43,16.9648,119,0.142562,1,1,1
4,11,44,18.1053,127,0.142562,1,2,2
5,6,45,14.969,105,0.142562,1,2,2
5,7,46,20.9565,147,0.142562,1,3,3
5,8,47,19.9586,140,0.142562,1,1,1
5,9,48,28.2272,198,0.142562,2,3.5,3
5,10,49,14.8264,104,0.142562,1,1,1
5,11,50,16.1095,113,0.142562,1,3,3
6,7,51,24.0929,169,0.142562,1,2,2
6,8,52,26.659,187,0.142562,2,3,3
6,9,53,27.9421,196,0.142562,1,3,3
6,10,54,27.5144,193,0.142562,1,1,1
6,11,55,21.5268,151,0.142562,1,1,1
7,8,56,15.1115,106,0.142562,1,4,4
7,9,57,17.8202,125,0.142562,1,1,1
7,10,58,27.6569,194,0.142562,2,2.5,2
7,11,59,27.6569,194,0.142562,1,1,1
8,9,60,17.5351,123,0.142562,3,4.66667,4
8,10,61,25.8036,181,0.142562,2,2,2
8,11,62,27.5144,193,0.142562,1,3,3
9,10,63,25.1223,181,0.138797,2,3,3
9,11,64,26.8732,195,0.137811,1,2,2
10,11,65,20.1012,141,0.142562,1,2,2
