source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,28.7583,195,0.147479,2,2,2
0,2,1,23.3016,158,0.147479,1,1,1
0,3,2,25.6613,174,0.147479,2,3,3
0,4,3,14.8953,101,0.147479,3,2.66667,2
0,5,4,29.2008,198,0.147479,1,1,1
0,6,5,23.3016,158,0.147479,1,2,2
0,7,6,26.8411,182,0.147479,2,3,3
0,8,7,22.7117,154,0.147479,1,2,2
0,9,8,25.8088,175,0.147479,1,2,2
0,10,9,17.9924,122,0.147479,1,1,1
0,11,10,16.8126,114,0.147479,4,3.75,3
1,2,11,26.3987,179,0.147479,1,1,1
1,3,12,12.4246,117,0.106193,2,3,3
1,4,13,15.4853,105,0.147479,1,2,2
1,5,14,23.4491,159,0.147479,2,2.5,2
1,6,15,29.2008,198,0.147479,2,2.5,2
1,7,16,27.8735,189,0.147479,1,1,1
1,8,17,24.4814,166,0.147479,3,3.33333,3
1,9,18,20.942,142,0.147479,2,2,2
1,10,19,20.2046,137,0.147479,1,1,1
1,11,20,24.039,163,0.147479,1,2,2
2,3,21,17.3877,131,0.132731,3,4,4
2,4,22,23.4491,159,0.147479,3,3.33333,3
2,5,23,24.1865,164,0.147479,1,2,2
2,6,24,18.3906,128,0.143677,3,3.33333,3
2,7,25,28.7583,195,0.147479,2,2,2
2,8,26,19.1722,130,0.147479,1,3,3
2,9,27,15.4853,105,0.147479,1,1,1
2,10,28,25.5138,173,0.147479,2,2,2
2,11,29,23.1541,157,0.147479,2,3,3
3,4,30,28.6108,194,0.147479,1,1,1
3,5,31,18.4348,125,0.147479,2,3,3
3,6,32,16.2226,110,0.147479,1,1,1
3,7,33,19.4672,132,0.147479,1,2,2
3,8,34,23.4491,159,0.147479,1,2,2
3,9,35,16.0752,109,0.147479,1,3,3
3,10,36,18.5823,126,0.147479,1,2,2
3,11,37,14.7479,100,0.147479,1,1,1
4,5,38,18.2873,124,0.147479,2,2,2
4,6,39,15.6327,106,0.147479,1,2,2
4,7,40,20.0571,136,0.147479,3,3.33333,3
4,8,41,21.2369,144,0.147479,1,1,1
4,9,42,24.7764,168,0.147479,3,4,4
4,10,43,17.55,119,0.147479,1,1,1
4,11,44,18.7298,127,0.147479,2,2.5,2
5,6,45,15.4853,105,0.147479,1,2,2
5,7,46,21.6794,147,0.147479,1,3,3
5,8,47,20.647,140,0.147479,1,1,1
5,9,48,29.2008,198,0.147479,2,3.5,3
5,10,49,15.3378,104,0.147479,1,1,1
5,11,50,16.6651,113,0.147479,1,3,3
6,7,51,24.9239,169,0.147479,1,2,2
6,8,52,27.5785,187,0.147479,2,3,3
6,9,53,28.9058,196,0.147479,1,3,3
6,10,54,28.4634,193,0.147479,1,1,1
6,11,55,22.2693,151,0.147479,1,1,1
7,8,56,15.6327,106,0.147479,1,4,4
7,9,57,18.4348,125,0.147479,1,1,1
7,10,58,28.6108,194,0.147479,2,2.5,2
7,11,59,28.6108,194,0.147479,1,1,1
8,9,60,18.1399,123,0.147479,5,4.8,4
8,10,61,26.6936,181,0.147479,1,2,2
8,11,62,28.4634,193,0.147479,1,3,3
9,10,63,20.4474,181,0.112969,2,3,3
9,11,64,28.5155,195,0.146233,1,2,2
10,11,65,20.7945,141,0.147479,1,2,2
