source,destination,link_id,used_rate,usage,link_capa
11,7,33,111.674,0.720477,155
11,6,29,27.2443,0.17577,155
11,3,17,23.469,0.151413,155
10,6,27,136.205,0.878743,155
10,5,25,60.029,0.387284,155
10,4,21,85.9495,0.554513,155
10,1,9,75.2283,0.485344,155
10,0,1,0,0,155
9,7,31,87.3877,0.563792,155
9,2,11,14.7907,0.0954239,155
8,5,23,19.1217,0.123366,155
8,4,19,80.0496,0.516449,155
7,11,32,155,1,155
7,9,30,93.2059,0.601329,155
7,1,7,24.7274,0.159532,155
6,11,28,124.405,0.802615,155
6,10,26,81.9617,0.528785,155
6,3,15,41.414,0.267187,155
5,0,35,18.9746,0.122417,155
5,10,24,99.9721,0.644981,155
5,8,22,104.728,0.675664,155
4,10,20,85.5573,0.551982,155
4,8,18,95.7882,0.617988,155
4,3,13,132.348,0.853859,155
3,11,16,125.386,0.808941,155
3,6,14,70.9463,0.457718,155
3,4,12,94.0067,0.606495,155
2,9,10,150.914,0.97364,155
2,1,5,91.4245,0.589836,155
2,0,3,126.988,0.819275,155
1,10,8,152.957,0.98682,155
1,7,6,151.976,0.980493,155
1,2,4,86.4888,0.557992,155
0,5,34,139.082,0.897301,155
0,2,2,120.221,0.775622,155
0,10,0,141.272,0.91143,155
