source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,28.4515,195,0.145905,2,2,2,1
0,2,1,23.053,158,0.145905,1,1,1,1
0,3,2,25.3875,174,0.145905,2,3,3,2
0,4,3,14.7364,101,0.145905,2,2.5,2,1
0,5,4,28.8892,198,0.145905,1,1,1,1
0,6,5,23.053,158,0.145905,1,2,2,1
0,7,6,26.5548,182,0.145905,2,3,3,2
0,8,7,22.4694,154,0.145905,1,2,2,1
0,9,8,25.5334,175,0.145905,1,2,2,1
0,10,9,17.8004,122,0.145905,2,1.5,1,1
0,11,10,16.6332,114,0.145905,4,4,3,2
1,2,11,26.117,179,0.145905,1,1,1,1
1,3,12,17.0709,117,0.145905,2,3,3,2
1,4,13,15.3201,105,0.145905,1,2,2,1
1,5,14,23.1989,159,0.145905,1,2,2,1
1,6,15,28.8892,198,0.145905,2,2.5,2,1
1,7,16,27.5761,189,0.145905,1,1,1,1
1,8,17,24.2203,166,0.145905,3,3.33333,3,2
1,9,18,20.7185,142,0.145905,2,2,2,2
1,10,19,19.989,137,0.145905,1,1,1,1
1,11,20,23.7826,163,0.145905,1,2,2,1
2,3,21,19.1136,131,0.145905,3,4.33333,4,1
2,4,22,23.1989,159,0.145905,3,3.33333,3,1
2,5,23,23.9285,164,0.145905,1,2,2,1
2,6,24,18.6759,128,0.145905,3,3.33333,3,2
2,7,25,28.4515,195,0.145905,2,2,2,2
2,8,26,18.9677,130,0.145905,1,3,3,1
2,9,27,15.3201,105,0.145905,1,1,1,1
2,10,28,25.2416,173,0.145905,2,2,2,1
2,11,29,22.9071,157,0.145905,2,3,3,2
3,4,30,28.3056,194,0.145905,1,1,1,1
3,5,31,18.2382,125,0.145905,2,3,3,1
3,6,32,16.0496,110,0.145905,1,1,1,1
3,7,33,19.2595,132,0.145905,1,2,2,1
3,8,34,23.1989,159,0.145905,1,2,2,1
3,9,35,15.9037,109,0.145905,1,3,3,1
3,10,36,18.3841,126,0.145905,1,2,2,1
3,11,37,14.5905,100,0.145905,1,1,1,1
4,5,38,18.0922,124,0.145905,2,2,2,2
4,6,39,15.466,106,0.145905,1,2,2,1
4,7,40,19.8431,136,0.145905,2,3,3,1
4,8,41,21.0104,144,0.145905,1,1,1,1
4,9,42,24.5121,168,0.145905,3,4,4,1
4,10,43,17.3627,119,0.145905,1,1,1,1
4,11,44,18.53,127,0.145905,2,2.5,2,2
5,6,45,15.3201,105,0.145905,1,2,2,1
5,7,46,21.4481,147,0.145905,1,3,3,1
5,8,47,20.4267,140,0.145905,1,1,1,1
5,9,48,28.8892,198,0.145905,2,3.5,3,2
5,10,49,15.1741,104,0.145905,1,1,1,1
5,11,50,16.4873,113,0.145905,1,3,3,1
6,7,51,24.658,169,0.145905,1,2,2,1
6,8,52,27.2843,187,0.145905,2,3,3,1
6,9,53,28.5974,196,0.145905,1,3,3,1
6,10,54,28.1597,193,0.145905,1,1,1,1
6,11,55,22.0317,151,0.145905,1,1,1,1
7,8,56,15.466,106,0.145905,1,4,4,1
7,9,57,18.2382,125,0.145905,1,1,1,1
7,10,58,28.3056,194,0.145905,2,2.5,2,2
7,11,59,28.3056,194,0.145905,1,1,1,1
8,9,60,17.9463,123,0.145905,3,4.66667,4,2
8,10,61,26.4088,181,0.145905,1,2,2,1
8,11,62,28.1597,193,0.145905,1,3,3,1
9,10,63,26.4088,181,0.145905,2,3.5,3,1
9,11,64,28.4515,195,0.145905,1,2,2,1
10,11,65,20.5726,141,0.145905,1,2,2,1
