source,destination,link_id,used_rate_c,usage,capacity_c
11,7,33,110.225,0.738594,149.237
11,6,29,29.4161,0.194482,151.254
11,3,17,23.4328,0.15252,153.638
10,6,27,127.224,0.901202,141.172
10,5,25,60.0484,0.425356,141.172
10,4,21,77.9526,0.515377,151.254
10,1,9,68.0812,0.453256,150.205
10,0,1,0,0,152.394
9,7,31,74.6783,0.500402,149.237
9,2,11,20.4781,0.136335,150.205
8,5,23,22.5995,0.145803,155
8,4,19,72.7199,0.480781,151.254
7,11,32,149.237,1,149.237
7,9,30,85.3066,0.571619,149.237
7,1,7,21.5812,0.143679,150.205
6,11,28,121.115,0.800741,151.254
6,10,26,75.5201,0.534951,141.172
6,3,15,38.9763,0.25369,153.638
5,0,35,27.2381,0.178735,152.394
5,10,24,94.2445,0.667586,141.172
5,8,22,101.429,0.65438,155
4,10,20,76.7646,0.507523,151.254
4,8,18,91.3312,0.603828,151.254
4,3,13,123.802,0.805806,153.638
3,11,16,121.907,0.793471,153.638
3,6,14,66.1013,0.430242,153.638
3,4,12,89.6058,0.583229,153.638
2,9,10,150.205,1,150.205
2,1,5,86.9471,0.578857,150.205
2,0,3,117.466,0.770808,152.394
1,10,8,145.723,0.97016,150.205
1,7,6,146.317,0.974114,150.205
1,2,4,76.906,0.512008,150.205
0,5,34,135.031,0.886067,152.394
0,2,2,116.985,0.767653,152.394
0,10,0,137.492,0.902215,152.394
