source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,30.2746,195,0.155254,2,2,2
0,2,1,24.5302,158,0.155254,1,1,1
0,3,2,14.5319,174,0.0835166,4,3.5,3
0,4,3,15.6807,101,0.155254,3,2.66667,2
0,5,4,30.7404,198,0.155254,2,1.5,1
0,6,5,21.6977,158,0.137327,4,3.5,2
0,7,6,28.2563,182,0.155254,2,3,3
0,8,7,23.9092,154,0.155254,3,2.66667,2
0,9,8,27.1695,175,0.155254,2,3,2
0,10,9,18.941,122,0.155254,2,1.5,1
0,11,10,7.31132,114,0.0641344,9,4.55556,3
1,2,11,27.7905,179,0.155254,1,1,1
1,3,12,11.54,117,0.0986322,3,3,3
1,4,13,16.3017,105,0.155254,1,2,2
1,5,14,24.6854,159,0.155254,3,3,2
1,6,15,18.9275,198,0.0955937,8,4.5,2
1,7,16,29.3431,189,0.155254,2,2,1
1,8,17,25.7722,166,0.155254,5,4,3
1,9,18,22.0461,142,0.155254,2,2,2
1,10,19,21.2698,137,0.155254,3,2.66667,1
1,11,20,17.1912,163,0.105468,11,5.18182,2
2,3,21,17.883,131,0.136511,9,4.33333,4
2,4,22,24.6854,159,0.155254,4,3.5,3
2,5,23,25.4617,164,0.155254,3,2.66667,2
2,6,24,17.4047,128,0.135974,8,4.25,3
2,7,25,30.2746,195,0.155254,2,2,2
2,8,26,20.1831,130,0.155254,5,3.8,3
2,9,27,16.3017,105,0.155254,2,2,1
2,10,28,26.859,173,0.155254,3,2.33333,2
2,11,29,23.1943,157,0.147734,2,3,3
3,4,30,30.1193,194,0.155254,1,1,1
3,5,31,19.4068,125,0.155254,3,3,3
3,6,32,17.078,110,0.155254,1,1,1
3,7,33,20.4936,132,0.155254,2,2.5,2
3,8,34,24.6854,159,0.155254,1,2,2
3,9,35,16.9227,109,0.155254,2,3.5,3
3,10,36,19.562,126,0.155254,2,2,2
3,11,37,15.5254,100,0.155254,2,1.5,1
4,5,38,19.2515,124,0.155254,2,2,2
4,6,39,16.457,106,0.155254,2,2,2
4,7,40,21.1146,136,0.155254,6,4,3
4,8,41,22.3566,144,0.155254,1,1,1
4,9,42,26.0827,168,0.155254,6,4.66667,4
4,10,43,18.4753,119,0.155254,1,1,1
4,11,44,19.7173,127,0.155254,4,3,2
5,6,45,16.3017,105,0.155254,3,3.33333,2
5,7,46,22.8224,147,0.155254,7,4.57143,3
5,8,47,21.7356,140,0.155254,1,1,1
5,9,48,30.7404,198,0.155254,9,5.33333,3
5,10,49,16.1465,104,0.155254,1,1,1
5,11,50,17.5437,113,0.155254,5,4.2,3
6,7,51,26.238,169,0.155254,2,2.5,2
6,8,52,29.0326,187,0.155254,2,3,3
6,9,53,30.4299,196,0.155254,2,3.5,3
6,10,54,29.9641,193,0.155254,1,1,1
6,11,55,23.4434,151,0.155254,2,1.5,1
7,8,56,16.457,106,0.155254,8,5,4
7,9,57,19.4068,125,0.155254,1,1,1
7,10,58,25.1518,194,0.129648,6,3.83333,2
7,11,59,30.1193,194,0.155254,1,1,1
8,9,60,5.47268,123,0.0444933,9,5.44444,4
8,10,61,28.101,181,0.155254,2,2,2
8,11,62,29.9641,193,0.155254,6,4.16667,3
9,10,63,6.97934,181,0.0385599,4,3.5,3
9,11,64,30.2746,195,0.155254,1,2,2
10,11,65,21.8909,141,0.155254,4,3,2
