source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,29.7471,195,0.152549,2,2,2,2
0,2,1,24.1028,158,0.152549,1,1,1,1
0,3,2,26.5436,174,0.152549,5,3.6,3,4
0,4,3,15.4075,101,0.152549,2,2.5,2,2
0,5,4,30.2048,198,0.152549,1,1,1,1
0,6,5,24.1028,158,0.152549,2,3,2,2
0,7,6,27.764,182,0.152549,2,3,3,2
0,8,7,23.4926,154,0.152549,2,2.5,2,1
0,9,8,26.6962,175,0.152549,2,3,2,2
0,10,9,18.611,122,0.152549,2,1.5,1,1
0,11,10,17.3906,114,0.152549,7,4.42857,3,6
1,2,11,27.3064,179,0.152549,1,1,1,1
1,3,12,17.8483,117,0.152549,3,3,3,3
1,4,13,16.0177,105,0.152549,1,2,2,1
1,5,14,24.2554,159,0.152549,2,2.5,2,2
1,6,15,30.2048,198,0.152549,4,3.5,2,2
1,7,16,28.8319,189,0.152549,1,1,1,1
1,8,17,25.3232,166,0.152549,5,4,3,4
1,9,18,21.662,142,0.152549,2,2,2,2
1,10,19,20.8993,137,0.152549,3,2.66667,1,2
1,11,20,24.8656,163,0.152549,1,2,2,1
2,3,21,19.984,131,0.152549,5,4.4,4,4
2,4,22,24.2554,159,0.152549,4,3.5,3,4
2,5,23,25.0181,164,0.152549,2,2.5,2,2
2,6,24,19.5263,128,0.152549,7,4.14286,3,4
2,7,25,29.7471,195,0.152549,1,2,2,1
2,8,26,19.8314,130,0.152549,4,3.75,3,2
2,9,27,16.0177,105,0.152549,2,2,1,1
2,10,28,26.3911,173,0.152549,2,2,2,2
2,11,29,23.9503,157,0.152549,2,3,3,1
3,4,30,29.5946,194,0.152549,1,1,1,1
3,5,31,19.0687,125,0.152549,2,3,3,1
3,6,32,16.7804,110,0.152549,1,1,1,1
3,7,33,20.1365,132,0.152549,2,2.5,2,2
3,8,34,24.2554,159,0.152549,1,2,2,1
3,9,35,16.6279,109,0.152549,2,3.5,3,2
3,10,36,19.2212,126,0.152549,1,2,2,1
3,11,37,15.2549,100,0.152549,2,1.5,1,2
4,5,38,18.9161,124,0.152549,2,2,2,2
4,6,39,16.1702,106,0.152549,2,2,2,1
4,7,40,20.7467,136,0.152549,4,3.5,3,4
4,8,41,21.9671,144,0.152549,1,1,1,1
4,9,42,25.6283,168,0.152549,4,4.25,4,3
4,10,43,18.1534,119,0.152549,1,1,1,1
4,11,44,19.3738,127,0.152549,3,2.66667,2,3
5,6,45,16.0177,105,0.152549,2,3,2,1
5,7,46,22.4248,147,0.152549,3,4,3,2
5,8,47,21.3569,140,0.152549,1,1,1,1
5,9,48,30.2048,198,0.152549,4,4,3,4
5,10,49,15.8651,104,0.152549,1,1,1,1
5,11,50,17.2381,113,0.152549,2,3.5,3,2
6,7,51,25.7809,169,0.152549,2,2.5,2,1
6,8,52,28.5268,187,0.152549,1,3,3,1
6,9,53,29.8997,196,0.152549,2,3.5,3,2
6,10,54,29.442,193,0.152549,1,1,1,1
6,11,55,23.035,151,0.152549,2,1.5,1,2
7,8,56,16.1702,106,0.152549,2,4,4,1
7,9,57,19.0687,125,0.152549,1,1,1,1
7,10,58,29.5946,194,0.152549,3,3,2,2
7,11,59,29.5946,194,0.152549,1,1,1,1
8,9,60,18.7636,123,0.152549,4,4.75,4,4
8,10,61,27.6115,181,0.152549,2,2,2,2
8,11,62,29.442,193,0.152549,1,3,3,1
9,10,63,27.6115,181,0.152549,4,3.5,3,3
9,11,64,29.7471,195,0.152549,1,2,2,1
10,11,65,21.5095,141,0.152549,1,2,2,1
