source,destination,link_id,used_rate,usage,link_capa
11,7,33,117.017,0.754951,155
11,6,29,31.0893,0.200576,155
11,3,17,24.9775,0.161145,155
10,6,27,126.897,0.818689,155
10,5,25,57.7413,0.372524,155
10,4,21,78.9512,0.509363,155
10,1,9,62.7926,0.405113,155
10,0,1,0,0,155
9,7,31,81.2396,0.524127,155
9,2,11,20.2053,0.130356,155
8,5,23,20.7355,0.133777,155
8,4,19,71.7789,0.46309,155
7,11,32,155,1,155
7,9,30,89.5841,0.577962,155
7,1,7,26.7078,0.172308,155
6,11,28,125.613,0.810407,155
6,10,26,69.0997,0.445805,155
6,3,15,45.1269,0.291142,155
5,0,35,17.9168,0.115592,155
5,10,24,97.5657,0.629456,155
5,8,22,96.8401,0.624775,155
4,10,20,76.6907,0.494779,155
4,8,18,91.8167,0.592366,155
4,3,13,121.566,0.7843,155
3,11,16,122.432,0.789881,155
3,6,14,69.1556,0.446165,155
3,4,12,88.412,0.5704,155
2,9,10,146.516,0.945265,155
2,1,5,88.998,0.574181,155
2,0,3,115.706,0.746489,155
1,10,8,141.911,0.915556,155
1,7,6,147.13,0.949226,155
1,2,4,79.2303,0.511163,155
0,5,34,128.683,0.830212,155
0,2,2,111.548,0.719662,155
0,10,0,134.934,0.870544,155
