source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,10,0,165.645,3580,0.0462696,2,4,3
2,0,1,128.167,2770,0.0462696,2,3.5,3
4,10,2,80.7404,1745,0.0462696,2,3,3
7,6,3,127.982,2766,0.0462696,3,3,2
7,8,4,553.801,11969,0.0462696,2,5.5,4
4,7,5,760.533,16437,0.0462696,1,1,1
5,2,6,1257.93,27187,0.0462696,1,1,1
7,10,7,448.075,9684,0.0462696,1,2,2
7,9,8,1059.85,22906,0.0462696,1,1,1
3,0,9,75.9747,1642,0.0462696,2,4,4
4,0,10,38.4963,832,0.0462696,1,2,2
0,6,11,29.1498,630,0.0462696,2,3,3
2,3,12,1304,31363,0.0415778,2,4.5,3
6,8,13,176.889,3823,0.0462696,3,3.66667,3
4,5,14,154.402,3337,0.0462696,2,2,2
3,5,15,355.998,7694,0.0462696,1,2,2
11,8,16,1853.98,40069,0.0462696,1,1,1
6,11,17,208.537,4507,0.0462696,2,3,3
9,8,18,252.03,5447,0.0462696,5,5.8,5
11,3,19,743.182,16062,0.0462696,2,4,4
6,10,20,90.0406,1946,0.0462696,1,2,2
3,6,21,192.713,4165,0.0462696,1,1,1
5,8,22,865.01,18695,0.0462696,2,2.5,2
0,5,23,36.5067,789,0.0462696,1,2,2
8,9,24,239.168,5169,0.0462696,6,5.83333,5
1,8,25,406.386,8783,0.0462696,1,2,2
0,9,26,10.7808,233,0.0462696,5,5.2,4
9,3,27,237.27,5128,0.0462696,2,1.5,1
11,6,28,468.711,10130,0.0462696,2,3,3
1,11,29,1718.92,37150,0.0462696,1,1,1
6,7,30,128.768,2783,0.0462696,3,3,2
6,4,31,133.858,2893,0.0462696,1,1,1
8,7,32,1580.89,34167,0.0462696,4,6,4
8,2,33,5660.02,122327,0.0462696,1,1,1
10,4,34,358.774,7754,0.0462696,2,3,3
6,3,35,183.32,3962,0.0462696,1,1,1
5,6,36,223.991,4841,0.0462696,1,1,1
0,11,37,256.241,5538,0.0462696,1,2,2
2,10,38,235.142,5082,0.0462696,3,6,4
2,8,39,1105.01,23882,0.0462696,1,1,1
10,8,40,596.369,12889,0.0462696,3,5.66667,5
6,9,41,56.125,1213,0.0462696,2,2.5,2
8,6,42,318.983,6894,0.0462696,3,3.66667,3
10,3,43,345.588,7469,0.0462696,1,1,1
9,2,44,322.083,6961,0.0462696,2,4.5,4
9,0,45,29.8902,646,0.0462696,4,5,4
10,2,46,1127.64,24371,0.0462696,1,4,4
5,11,47,617.329,13342,0.0462696,1,2,2
11,7,48,2041.37,44119,0.0462696,2,4.5,3
7,0,49,61.8624,1337,0.0462696,1,3,3
7,5,50,550.886,11906,0.0462696,2,3.5,3
5,3,51,498.37,10771,0.0462696,1,2,2
11,5,52,465.241,10055,0.0462696,1,2,2
9,4,53,133.395,2883,0.0462696,3,3,2
1,4,54,2594.2,56067,0.0462696,1,1,1
8,1,55,832.436,17991,0.0462696,2,2.5,2
4,3,56,67.276,1454,0.0462696,1,2,2
0,2,57,144.731,3128,0.0462696,2,3.5,3
1,7,58,3193.34,69016,0.0462696,4,4.25,2
7,4,59,7476.29,161581,0.0462696,1,1,1
3,11,60,476.114,10290,0.0462696,2,4,4
2,1,61,1699.81,36737,0.0462696,2,2.5,2
5,0,62,92.169,1992,0.0462696,1,2,2
6,1,63,92.5854,2001,0.0462696,2,2,2
4,11,64,698.439,15095,0.0462696,1,2,2
11,10,65,366.918,7930,0.0462696,2,5,5
11,1,66,1180.01,25503,0.0462696,1,1,1
1,2,67,284.188,6142,0.0462696,2,2.5,2
5,7,68,1034.87,22366,0.0462696,3,4,3
4,1,69,1207.13,26089,0.0462696,1,1,1
9,7,70,443.679,9589,0.0462696,1,1,1
8,0,71,49.7861,1076,0.0462696,2,3.5,3
1,5,72,420.776,9094,0.0462696,1,1,1
3,2,73,648.329,14012,0.0462696,1,3,3
2,5,74,669.567,14471,0.0462696,2,2.5,1
11,4,75,1239.05,26779,0.0462696,1,2,2
10,9,76,1209.63,26143,0.0462696,1,1,1
8,10,77,401.898,8686,0.0462696,3,5.66667,5
7,2,78,19663.1,424969,0.0462696,4,4.5,4
10,11,79,748.549,16178,0.0462696,2,5,5
3,1,80,158.427,3424,0.0462696,2,3,3
9,11,81,183.32,3962,0.0462696,5,5.2,4
9,5,82,154.448,3338,0.0462696,2,3.5,3
3,7,83,354.055,7652,0.0462696,2,2.5,2
10,6,84,625.426,13517,0.0462696,1,2,2
11,9,85,287.195,6207,0.0462696,4,5.25,4
1,10,86,120.486,2604,0.0462696,2,4,4
1,0,87,99.2945,2146,0.0462696,1,1,1
