source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,11020,0.305284,36097.6
11,1,6,21236.2,0.853241,24888.9
10,9,28,5811.99,0.197495,29428.6
10,3,16,8657.65,0.330846,26168.2
9,10,29,2442.15,0.0829857,29428.6
9,7,24,12219.6,0.314476,38857.1
9,3,14,11457.5,0.43784,26168.2
8,11,27,17586,0.487179,36097.6
8,2,10,13056.7,0.361705,36097.6
7,9,25,13588.9,0.349713,38857.1
7,4,20,22545.3,0.80379,28048.8
6,5,22,20124.5,0.744765,27021.3
6,4,18,15077.6,0.537551,28048.8
6,3,12,14623.4,0.558822,26168.2
5,6,23,27021.3,1,27021.3
5,2,8,20347.8,0.753029,27021.3
5,1,4,11620.4,0.46689,24888.9
4,7,21,14593.4,0.520285,28048.8
4,6,19,3228.28,0.115095,28048.8
4,1,2,18902.6,0.759478,24888.9
3,10,17,4508.67,0.172296,26168.2
3,9,15,8817.55,0.336956,26168.2
3,6,13,21780.7,0.832334,26168.2
2,8,11,12851.6,0.356025,36097.6
2,5,9,27021.3,1,27021.3
1,11,7,15767,0.633494,24888.9
1,5,5,10697.4,0.429806,24888.9
1,4,3,24888.9,1,24888.9
1,0,0,744.94,0.0299306,24888.9
0,1,1,742.21,0.029821,24888.9
