source,destination,link_id,used_rate,usage,link_capa
11,8,26,9060.08,0.226502,40000
11,1,6,20649,0.516225,40000
10,9,28,5373.99,0.13435,40000
10,3,16,7813.13,0.195328,40000
9,10,29,2877.03,0.0719256,40000
9,7,24,10831.9,0.270798,40000
9,3,14,9075.52,0.226888,40000
8,11,27,17553.6,0.438839,40000
8,2,10,11127.9,0.278199,40000
7,9,25,11831.5,0.295788,40000
7,4,20,19287.5,0.482187,40000
6,5,22,17918.3,0.447958,40000
6,4,18,12171.5,0.304288,40000
6,3,12,12976.1,0.324402,40000
5,6,23,23225.4,0.580636,40000
5,2,8,17539.9,0.438497,40000
5,1,4,7770.19,0.194255,40000
4,7,21,14807.5,0.370189,40000
4,6,19,3409.06,0.0852264,40000
4,1,2,15176.7,0.379417,40000
3,10,17,3934.13,0.0983532,40000
3,9,15,7359,0.183975,40000
3,6,13,18301.1,0.457526,40000
2,8,11,13421.5,0.335536,40000
2,5,9,23281.2,0.582031,40000
1,11,7,13085.5,0.327137,40000
1,5,5,6363.92,0.159098,40000
1,4,3,23802.3,0.595056,40000
1,0,0,631.711,0.0157928,40000
0,1,1,629.396,0.0157349,40000
