source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,10,0,134.913,3580,0.0376851,1,3,3,1
2,0,1,104.388,2770,0.0376851,2,3.5,3,2
4,10,2,65.7604,1745,0.0376851,2,3,3,1
7,6,3,104.237,2766,0.0376851,3,3,2,2
7,8,4,451.053,11969,0.0376851,2,5.5,4,1
4,7,5,619.429,16437,0.0376851,1,1,1,1
5,2,6,1024.54,27187,0.0376851,1,1,1,1
7,10,7,364.942,9684,0.0376851,1,2,2,1
7,9,8,863.214,22906,0.0376851,1,1,1,1
3,0,9,61.8789,1642,0.0376851,2,4,4,2
4,0,10,31.354,832,0.0376851,1,2,2,1
0,6,11,23.7416,630,0.0376851,2,3,3,2
2,3,12,1181.92,31363,0.0376851,2,4.5,3,1
6,8,13,144.07,3823,0.0376851,3,3.66667,3,3
4,5,14,125.755,3337,0.0376851,2,2,2,2
3,5,15,289.949,7694,0.0376851,1,2,2,1
11,8,16,1510,40069,0.0376851,1,1,1,1
6,11,17,169.847,4507,0.0376851,2,3,3,2
9,8,18,205.271,5447,0.0376851,3,5.33333,5,3
11,3,19,605.298,16062,0.0376851,2,4,4,2
6,10,20,73.3351,1946,0.0376851,1,2,2,1
3,6,21,156.958,4165,0.0376851,1,1,1,1
5,8,22,704.522,18695,0.0376851,2,2.5,2,2
0,5,23,29.7335,789,0.0376851,1,2,2,1
8,9,24,194.794,5169,0.0376851,3,5.66667,5,2
1,8,25,330.988,8783,0.0376851,1,2,2,1
0,9,26,8.78062,233,0.0376851,2,4.5,4,2
9,3,27,193.249,5128,0.0376851,2,1.5,1,1
11,6,28,381.75,10130,0.0376851,2,3,3,2
1,11,29,1400,37150,0.0376851,1,1,1,1
6,7,30,104.878,2783,0.0376851,2,2.5,2,2
6,4,31,109.023,2893,0.0376851,1,1,1,1
8,7,32,1287.59,34167,0.0376851,2,5,4,2
8,2,33,4609.9,122327,0.0376851,1,1,1,1
10,4,34,292.21,7754,0.0376851,2,3,3,2
6,3,35,149.308,3962,0.0376851,1,1,1,1
5,6,36,182.433,4841,0.0376851,1,1,1,1
0,11,37,208.7,5538,0.0376851,1,2,2,1
2,10,38,191.515,5082,0.0376851,2,5.5,4,1
2,8,39,899.995,23882,0.0376851,1,1,1,1
10,8,40,485.723,12889,0.0376851,3,5.66667,5,2
6,9,41,45.712,1213,0.0376851,2,2.5,2,1
8,6,42,259.801,6894,0.0376851,3,3.66667,3,3
10,3,43,281.47,7469,0.0376851,1,1,1,1
9,2,44,262.326,6961,0.0376851,2,4.5,4,1
9,0,45,24.3446,646,0.0376851,2,4.5,4,2
10,2,46,918.423,24371,0.0376851,1,4,4,1
5,11,47,502.794,13342,0.0376851,1,2,2,1
11,7,48,1662.63,44119,0.0376851,2,4.5,3,2
7,0,49,50.3849,1337,0.0376851,1,3,3,1
7,5,50,448.678,11906,0.0376851,2,3.5,3,2
5,3,51,405.906,10771,0.0376851,1,2,2,1
11,5,52,378.923,10055,0.0376851,1,2,2,1
9,4,53,108.646,2883,0.0376851,2,2.5,2,2
1,4,54,2112.89,56067,0.0376851,1,1,1,1
8,1,55,677.992,17991,0.0376851,1,2,2,1
4,3,56,54.7941,1454,0.0376851,1,2,2,1
0,2,57,117.879,3128,0.0376851,2,3.5,3,2
1,7,58,2600.87,69016,0.0376851,2,3.5,2,2
7,4,59,6089.19,161581,0.0376851,1,1,1,1
3,11,60,387.779,10290,0.0376851,2,4,4,2
2,1,61,1384.44,36737,0.0376851,2,2.5,2,2
5,0,62,75.0686,1992,0.0376851,1,2,2,1
6,1,63,75.4078,2001,0.0376851,2,2,2,2
4,11,64,568.856,15095,0.0376851,1,2,2,1
11,10,65,298.843,7930,0.0376851,2,5,5,2
11,1,66,961.082,25503,0.0376851,1,1,1,1
1,2,67,231.462,6142,0.0376851,2,2.5,2,2
5,7,68,842.864,22366,0.0376851,3,4,3,3
4,1,69,983.166,26089,0.0376851,1,1,1,1
9,7,70,361.362,9589,0.0376851,1,1,1,1
8,0,71,40.5491,1076,0.0376851,1,3,3,1
1,5,72,342.708,9094,0.0376851,1,1,1,1
3,2,73,528.043,14012,0.0376851,1,3,3,1
2,5,74,545.341,14471,0.0376851,1,1,1,1
11,4,75,1009.17,26779,0.0376851,1,2,2,1
10,9,76,985.201,26143,0.0376851,1,1,1,1
8,10,77,327.332,8686,0.0376851,2,5.5,5,2
7,2,78,16015,424969,0.0376851,5,4.8,4,2
10,11,79,609.669,16178,0.0376851,3,5,5,2
3,1,80,129.034,3424,0.0376851,2,3,3,2
9,11,81,149.308,3962,0.0376851,3,5,4,2
9,5,82,125.793,3338,0.0376851,3,3.66667,3,1
3,7,83,288.366,7652,0.0376851,2,2.5,2,2
10,6,84,509.389,13517,0.0376851,1,2,2,1
11,9,85,233.911,6207,0.0376851,3,5,4,3
1,10,86,98.1319,2604,0.0376851,2,4,4,2
1,0,87,80.8721,2146,0.0376851,1,1,1,1
7,3,88,243.408,6459,0.0376851,2,2.5,2,1
2,6,89,1271.27,33734,0.0376851,1,2,2,1
2,4,90,12423.7,329673,0.0376851,2,3.5,3,1
10,1,91,1557.86,41339,0.0376851,3,4,4,3
0,7,92,38.288,1016,0.0376851,1,3,3,1
11,0,93,74.6918,1982,0.0376851,1,2,2,1
2,9,94,135.742,3602,0.0376851,4,6.25,4,1
10,0,95,35.1225,932,0.0376851,3,5,5,2
0,4,96,66.0996,1754,0.0376851,1,2,2,1
5,1,97,302.083,8016,0.0376851,1,1,1,1
1,9,98,81.9273,2174,0.0376851,4,4,3,2
0,10,99,9.38358,249,0.0376851,3,5,5,1
3,4,100,288.253,7649,0.0376851,1,2,2,1
6,5,101,143.203,3800,0.0376851,1,1,1,1
0,1,102,42.961,1140,0.0376851,1,1,1,1
2,11,103,825.152,21896,0.0376851,1,2,2,1
9,6,104,75.5962,2006,0.0376851,2,2.5,2,1
3,9,105,830.956,22050,0.0376851,2,1.5,1,2
4,9,106,23.7416,630,0.0376851,3,3,2,2
4,8,107,257.766,6840,0.0376851,1,3,3,1
4,2,108,486.627,12913,0.0376851,3,3.33333,3,1
5,4,109,554.046,14702,0.0376851,2,2,2,1
4,6,110,76.3499,2026,0.0376851,1,1,1,1
7,1,111,1676.38,44484,0.0376851,2,3.5,2,1
7,11,112,2683.06,71197,0.0376851,1,3,3,1
3,10,113,243.822,6470,0.0376851,1,1,1,1
10,7,114,1374.3,36468,0.0376851,1,2,2,1
1,3,115,126.622,3360,0.0376851,2,3,3,2
1,6,116,91.537,2429,0.0376851,2,2,2,2
10,5,117,1113.78,29555,0.0376851,1,3,3,1
8,11,118,1808.13,47980,0.0376851,1,1,1,1
9,1,119,35.9892,955,0.0376851,3,4,3,2
8,4,120,1243.53,32998,0.0376851,1,3,3,1
0,8,121,43.3001,1149,0.0376851,1,3,3,1
11,2,122,1303.79,34597,0.0376851,1,2,2,1
6,2,123,294.509,7815,0.0376851,2,3.5,2,1
5,9,124,78.9125,2094,0.0376851,3,4,3,1
0,3,125,15.6393,415,0.0376851,2,4,4,2
2,7,126,14546.1,385991,0.0376851,3,4.66667,4,2
8,5,127,330.611,8773,0.0376851,2,2.5,2,2
3,8,128,232.781,6177,0.0376851,3,4.66667,4,2
6,0,129,28.0754,745,0.0376851,2,3,3,2
9,10,130,231.349,6139,0.0376851,1,1,1,1
8,3,131,440.048,11677,0.0376851,3,4.66667,4,2
