source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,6902.06,0.211122,32692.3
11,1,6,16030.4,0.665877,24074.1
10,9,28,4758.83,0.17083,27857.1
10,3,16,9699.47,0.376102,25789.5
9,10,29,1363.03,0.0489293,27857.1
9,7,24,4664.65,0.152215,30645.2
9,3,14,11840.7,0.459128,25789.5
8,11,27,10764.7,0.329272,32692.3
8,2,10,12099.6,0.345703,35000
7,9,25,13757.7,0.448935,30645.2
7,4,20,25689.7,1,25689.7
6,5,22,26111.1,1,26111.1
6,4,18,24612.9,0.958084,25689.7
6,3,12,6143.95,0.238235,25789.5
5,6,23,26111.1,1,26111.1
5,2,8,27532.2,0.786635,35000
5,1,4,7821.3,0.324885,24074.1
4,7,21,16429.5,0.639539,25689.7
4,6,19,9832.33,0.382735,25689.7
4,1,2,15877.3,0.659518,24074.1
3,10,17,2248.96,0.0872044,25789.5
3,9,15,2063.47,0.080012,25789.5
3,6,13,23942.8,0.928395,25789.5
2,8,11,6194.68,0.176991,35000
2,5,9,29439.5,0.841129,35000
1,11,7,10318.8,0.428626,24074.1
1,5,5,4400.2,0.182777,24074.1
1,4,3,24074.1,1,24074.1
1,0,0,1074.62,0.044638,24074.1
0,1,1,1042.98,0.0433238,24074.1
