source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,10,0,238.952,3580,0.0667465,1,3,3,1
2,0,1,184.888,2770,0.0667465,2,3.5,3,2
4,10,2,116.473,1745,0.0667465,2,3,3,1
7,6,3,184.621,2766,0.0667465,2,2.5,2,1
7,8,4,798.889,11969,0.0667465,1,4,4,1
4,7,5,1097.11,16437,0.0667465,1,1,1,1
5,2,6,1814.64,27187,0.0667465,1,1,1,1
7,10,7,646.373,9684,0.0667465,1,2,2,1
7,9,8,1528.9,22906,0.0667465,1,1,1,1
3,0,9,109.598,1642,0.0667465,2,4,4,2
4,0,10,55.5331,832,0.0667465,1,2,2,1
0,6,11,42.0503,630,0.0667465,2,3,3,2
2,3,12,2093.37,31363,0.0667465,2,4.5,3,2
6,8,13,255.172,3823,0.0667465,1,3,3,1
4,5,14,222.733,3337,0.0667465,2,2,2,2
3,5,15,513.548,7694,0.0667465,1,2,2,1
11,8,16,2674.47,40069,0.0667465,1,1,1,1
6,11,17,300.826,4507,0.0667465,2,3,3,1
9,8,18,363.568,5447,0.0667465,2,5,5,1
11,3,19,1072.08,16062,0.0667465,2,4,4,1
6,10,20,129.889,1946,0.0667465,1,2,2,1
3,6,21,277.999,4165,0.0667465,1,1,1,1
5,8,22,1247.83,18695,0.0667465,2,2.5,2,1
0,5,23,52.663,789,0.0667465,1,2,2,1
8,9,24,345.013,5169,0.0667465,2,5,5,2
1,8,25,586.235,8783,0.0667465,1,2,2,1
0,9,26,15.5519,233,0.0667465,1,4,4,1
9,3,27,342.276,5128,0.0667465,1,1,1,1
11,6,28,676.142,10130,0.0667465,2,3,3,1
1,11,29,2479.63,37150,0.0667465,1,1,1,1
6,7,30,185.756,2783,0.0667465,2,2.5,2,1
6,4,31,193.098,2893,0.0667465,1,1,1,1
8,7,32,2280.53,34167,0.0667465,3,5.66667,4,1
8,2,33,8164.9,122327,0.0667465,1,1,1,1
10,4,34,517.552,7754,0.0667465,2,3,3,2
6,3,35,264.45,3962,0.0667465,1,1,1,1
5,6,36,323.12,4841,0.0667465,1,1,1,1
0,11,37,369.642,5538,0.0667465,1,2,2,1
2,10,38,339.206,5082,0.0667465,1,4,4,1
2,8,39,1594.04,23882,0.0667465,1,1,1,1
10,8,40,860.296,12889,0.0667465,3,5.66667,5,1
6,9,41,80.9635,1213,0.0667465,1,2,2,1
8,6,42,460.15,6894,0.0667465,2,3.5,3,1
10,3,43,498.53,7469,0.0667465,1,1,1,1
9,2,44,464.622,6961,0.0667465,1,4,4,1
9,0,45,43.1182,646,0.0667465,1,4,4,1
10,2,46,1626.68,24371,0.0667465,1,4,4,1
5,11,47,890.532,13342,0.0667465,1,2,2,1
11,7,48,2944.79,44119,0.0667465,2,4.5,3,1
7,0,49,89.2401,1337,0.0667465,1,3,3,1
7,5,50,794.684,11906,0.0667465,2,3.5,3,1
5,3,51,718.927,10771,0.0667465,1,2,2,1
11,5,52,671.136,10055,0.0667465,1,2,2,1
9,4,53,192.43,2883,0.0667465,1,2,2,1
1,4,54,3742.28,56067,0.0667465,1,1,1,1
8,1,55,1200.84,17991,0.0667465,1,2,2,1
4,3,56,97.0494,1454,0.0667465,1,2,2,1
0,2,57,208.783,3128,0.0667465,1,3,3,1
1,7,58,4606.58,69016,0.0667465,2,3.5,2,2
7,4,59,10785,161581,0.0667465,1,1,1,1
3,11,60,686.821,10290,0.0667465,2,4,4,1
2,1,61,2452.07,36737,0.0667465,2,2.5,2,2
5,0,62,132.959,1992,0.0667465,1,2,2,1
6,1,63,133.56,2001,0.0667465,2,2,2,1
4,11,64,1007.54,15095,0.0667465,1,2,2,1
11,10,65,529.3,7930,0.0667465,1,5,5,1
11,1,66,1702.24,25503,0.0667465,1,1,1,1
1,2,67,409.957,6142,0.0667465,1,2,2,1
5,7,68,1492.85,22366,0.0667465,2,3.5,3,1
4,1,69,1741.35,26089,0.0667465,1,1,1,1
9,7,70,640.032,9589,0.0667465,1,1,1,1
8,0,71,71.8192,1076,0.0667465,1,3,3,1
1,5,72,606.993,9094,0.0667465,1,1,1,1
3,2,73,935.252,14012,0.0667465,1,3,3,1
2,5,74,965.889,14471,0.0667465,1,1,1,1
11,4,75,1787.4,26779,0.0667465,1,2,2,1
10,9,76,1744.95,26143,0.0667465,1,1,1,1
8,10,77,579.76,8686,0.0667465,2,5.5,5,1
7,2,78,28365.2,424969,0.0667465,3,4.66667,4,1
10,11,79,1079.82,16178,0.0667465,3,5,5,1
3,1,80,228.54,3424,0.0667465,2,3,3,1
9,11,81,264.45,3962,0.0667465,1,4,4,1
9,5,82,222.8,3338,0.0667465,1,3,3,1
3,7,83,510.744,7652,0.0667465,1,2,2,1
10,6,84,902.212,13517,0.0667465,1,2,2,1
11,9,85,414.296,6207,0.0667465,2,4.5,4,2
1,10,86,173.808,2604,0.0667465,2,4,4,1
1,0,87,143.238,2146,0.0667465,1,1,1,1
7,3,88,431.116,6459,0.0667465,1,2,2,1
2,6,89,2251.63,33734,0.0667465,1,2,2,1
2,4,90,22004.5,329673,0.0667465,3,3.33333,3,1
10,1,91,2759.23,41339,0.0667465,3,4,4,1
0,7,92,67.8144,1016,0.0667465,1,3,3,1
11,0,93,132.292,1982,0.0667465,1,2,2,1
2,9,94,240.421,3602,0.0667465,1,4,4,1
10,0,95,62.2077,932,0.0667465,1,5,5,1
0,4,96,117.073,1754,0.0667465,1,2,2,1
5,1,97,535.04,8016,0.0667465,1,1,1,1
1,9,98,145.107,2174,0.0667465,2,3.5,3,1
0,10,99,16.6199,249,0.0667465,1,5,5,1
3,4,100,510.544,7649,0.0667465,1,2,2,1
6,5,101,253.637,3800,0.0667465,1,1,1,1
0,1,102,76.091,1140,0.0667465,1,1,1,1
2,11,103,1461.48,21896,0.0667465,1,2,2,1
9,6,104,133.893,2006,0.0667465,1,2,2,1
3,9,105,1471.76,22050,0.0667465,1,1,1,1
4,9,106,42.0503,630,0.0667465,1,2,2,1
4,8,107,456.546,6840,0.0667465,1,3,3,1
4,2,108,861.898,12913,0.0667465,3,3.33333,3,2
5,4,109,981.307,14702,0.0667465,2,2,2,2
4,6,110,135.228,2026,0.0667465,1,1,1,1
7,1,111,2969.15,44484,0.0667465,1,2,2,1
7,11,112,4752.15,71197,0.0667465,1,3,3,1
3,10,113,431.85,6470,0.0667465,1,1,1,1
10,7,114,2434.11,36468,0.0667465,1,2,2,1
1,3,115,224.268,3360,0.0667465,2,3,3,1
1,6,116,162.127,2429,0.0667465,2,2,2,1
10,5,117,1972.69,29555,0.0667465,1,3,3,1
8,11,118,3202.5,47980,0.0667465,1,1,1,1
9,1,119,63.7429,955,0.0667465,1,3,3,1
8,4,120,2202.5,32998,0.0667465,2,4,3,1
0,8,121,76.6917,1149,0.0667465,1,3,3,1
11,2,122,2309.23,34597,0.0667465,1,2,2,1
6,2,123,521.624,7815,0.0667465,1,2,2,1
5,9,124,139.767,2094,0.0667465,1,3,3,1
0,3,125,27.6998,415,0.0667465,1,4,4,1
2,7,126,25763.5,385991,0.0667465,4,5,4,1
8,5,127,585.567,8773,0.0667465,2,2.5,2,2
3,8,128,412.293,6177,0.0667465,2,4.5,4,1
6,0,129,49.7261,745,0.0667465,2,3,3,2
9,10,130,409.757,6139,0.0667465,1,1,1,1
8,3,131,779.399,11677,0.0667465,3,4.66667,4,1
