source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,424.456,5981,0.0709675,4,3.25,2
0,2,1,30.3541,816,0.0371987,4,5.25,2
0,3,2,12.2594,563,0.0217751,3,4.33333,2
0,4,3,20.7755,431,0.0482031,4,4.75,3
0,5,4,113.183,1592,0.0710949,3,3.33333,1
0,6,5,31.5661,444,0.0710949,1,1,1
0,7,6,40.9507,576,0.0710949,2,2.5,1
0,8,7,34.9076,491,0.0710949,3,2.66667,2
0,9,8,40.0264,563,0.0710949,5,3.6,2
0,10,9,17.9159,252,0.0710949,1,3,3
0,11,10,49.411,695,0.0710949,3,3.33333,3
0,12,11,23.0347,324,0.0710949,3,3,2
0,13,12,110.624,1556,0.0710949,1,2,2
0,14,13,49.411,695,0.0710949,2,3,2
1,0,14,426.599,7132,0.0598148,4,4,2
1,2,15,187.975,2644,0.0710949,2,1.5,1
1,3,16,159.181,2239,0.0710949,1,2,2
1,4,17,53.6767,755,0.0710949,2,1.5,1
1,5,18,433.821,6102,0.0710949,3,2.66667,1
1,6,19,84.8985,1832,0.046342,14,5.42857,3
1,7,20,305.539,4930,0.0619754,6,4.5,2
1,8,21,10.2648,253,0.0405725,17,6.11765,3
1,9,22,61.0329,1952,0.0312669,21,6.19048,4
1,10,23,53.6767,755,0.0710949,3,4.66667,3
1,11,24,29.2122,1090,0.0268002,12,6,4
1,12,25,40.0264,563,0.0710949,2,3,2
1,13,26,29.7888,419,0.0710949,6,5.16667,3
1,14,27,0,1855,0,10,7.2,3
2,0,28,19.0923,977,0.0195418,8,5.625,2
2,1,29,224.02,3151,0.0710949,2,1.5,1
2,3,30,22.1816,312,0.0710949,1,2,2
2,4,31,17.0628,240,0.0710949,1,1,1
2,5,32,17.9159,252,0.0710949,2,2.5,2
2,6,33,0.799166,38,0.0210307,8,5.125,3
2,7,34,34.2586,1149,0.029816,6,7.33333,1
2,8,35,0,85,0,7,6,2
2,9,36,0,97,0,11,6.27273,3
2,10,37,6.89621,97,0.0710949,2,4.5,4
2,11,38,0,145,0,7,6.57143,3
2,12,39,6.04307,85,0.0710949,2,3.5,3
2,13,40,2.58919,37,0.0699782,3,5,4
2,14,41,0,431,0,5,7,2
3,0,42,36.9624,678,0.0545168,3,4.33333,2
3,1,43,190.179,2675,0.0710949,2,2.5,2
3,2,44,26.3051,370,0.0710949,1,2,2
3,4,45,69.8152,982,0.0710949,1,1,1
3,5,46,65.5495,922,0.0710949,1,1,1
3,6,47,5.11883,72,0.0710949,3,4,3
3,7,48,5.49887,158,0.034803,11,6.81818,3
3,8,49,3.69871,72,0.0513709,8,5.75,4
3,9,50,12.2387,240,0.0509948,7,5.57143,4
3,10,51,10.3088,145,0.0710949,1,3,3
3,11,52,6.36876,145,0.0439225,6,5.66667,5
3,12,53,108.135,1521,0.0710949,1,2,2
3,13,54,11.1619,157,0.0710949,2,3.5,3
3,14,55,0,192,0,6,6.33333,4
4,0,56,0,512,0,7,5.85714,3
4,1,57,64.3409,905,0.0710949,2,1.5,1
4,2,58,20.3331,286,0.0710949,1,1,1
4,3,59,83.6787,1177,0.0710949,1,1,1
4,5,60,5.8663,98,0.0598602,1,2,2
4,6,61,0,37,0,8,5.375,4
4,7,62,0,120,0,1,2,2
4,8,63,0,61,0,3,4.66667,3
4,9,64,0,61,0,6,5.5,4
4,10,65,0,37,0,1,4,4
4,11,66,0,86,0,4,6,4
4,12,67,0,85,0,1,3,3
4,13,68,0,38,0,2,4.5,4
4,14,69,0,86,0,1,3,3
5,0,70,135.294,1903,0.0710949,3,3.33333,1
5,1,71,441.797,7275,0.0607281,3,2.66667,1
5,2,72,16.8603,298,0.0565781,3,2.66667,2
5,3,73,78.631,1106,0.0710949,1,1,1
5,4,74,8.44485,121,0.0697921,3,2.33333,2
5,6,75,6.89621,97,0.0710949,3,3,2
5,7,76,62.1369,874,0.0710949,7,5.57143,2
5,8,77,6.11416,86,0.0710949,7,5,3
5,9,78,40.8796,575,0.0710949,7,4.57143,3
5,10,79,12.8682,181,0.0710949,1,2,2
5,11,80,9.38453,132,0.0710949,6,5.33333,4
5,12,81,11.233,158,0.0710949,1,1,1
5,13,82,17.0628,240,0.0710949,2,2.5,2
5,14,83,18.7691,264,0.0710949,8,6.125,3
6,0,84,38.1069,536,0.0710949,1,1,1
