source,destination,link_id,used_rate_c,usage,capacity_c
14,8,35,274.587,0.500554,548.566
14,7,29,193.417,0.349639,553.191
13,12,43,198.227,0.347131,571.042
13,10,41,237.228,0.370669,640
13,6,25,547.684,1,547.684
12,13,42,264.304,0.462845,571.042
12,10,39,264.585,0.413414,640
12,5,21,460.418,0.837484,549.763
11,9,37,230.88,0.416106,554.859
11,8,33,250.312,0.456303,548.566
10,13,40,264.443,0.413192,640
10,12,38,255.805,0.399696,640
9,11,36,209.938,0.378364,554.859
9,8,31,288.39,0.525717,548.566
9,6,23,445.402,0.813246,547.684
8,14,34,238.676,0.43509,548.566
8,11,32,295.847,0.539309,548.566
8,9,30,309.691,0.564546,548.566
8,7,27,310.966,0.562131,553.191
7,14,28,198.054,0.358021,553.191
7,8,26,327.168,0.591419,553.191
7,2,15,611.465,1,611.465
7,0,5,512.651,0.904339,566.879
6,13,24,547.684,1,547.684
6,9,22,402.545,0.734994,547.684
6,0,3,405.628,0.715546,566.879
5,12,20,471.991,0.858536,549.763
5,3,19,592.267,1,592.267
5,1,11,629.63,1,629.63
5,0,1,566.879,1,566.879
4,3,17,592.267,1,592.267
4,2,13,366.526,0.599423,611.465
4,1,9,629.63,1,629.63
3,5,18,592.267,1,592.267
3,4,16,592.267,1,592.267
2,7,14,611.465,1,611.465
2,4,12,374.15,0.61189,611.465
2,1,7,629.63,1,629.63
1,5,10,629.63,1,629.63
1,4,8,625.122,0.992841,629.63
1,2,6,624.548,0.99193,629.63
0,7,4,475.34,0.838521,566.879
0,6,2,350.248,0.617854,566.879
0,5,0,566.879,1,566.879
