source,destination,link_id,used_rate,usage,link_capa
14,8,35,159.223,0.159223,1000
14,7,29,273.39,0.27339,1000
13,12,43,281.449,0.281449,1000
13,10,41,219.661,0.219661,1000
13,6,25,597.191,0.597191,1000
12,13,42,264.822,0.264822,1000
12,10,39,210.953,0.210953,1000
12,5,21,523.48,0.52348,1000
11,9,37,124.025,0.124025,1000
11,8,33,207.809,0.207809,1000
10,13,40,208.911,0.208911,1000
10,12,38,230.238,0.230238,1000
9,11,36,112.446,0.112446,1000
9,8,31,198.124,0.198124,1000
9,6,23,420.841,0.420841,1000
8,14,34,141.509,0.141509,1000
8,11,32,187.448,0.187448,1000
8,9,30,216.06,0.21606,1000
8,7,27,275.518,0.275518,1000
7,14,28,224.188,0.224188,1000
7,8,26,249.357,0.249357,1000
7,2,15,713.897,0.713897,1000
7,0,5,429.119,0.429119,1000
6,13,24,576.502,0.576502,1000
6,9,22,392.531,0.392531,1000
6,0,3,341.199,0.341199,1000
5,12,20,443.847,0.443847,1000
5,3,19,643.085,0.643085,1000
5,1,11,711.199,0.711199,1000
5,0,1,626.52,0.62652,1000
4,3,17,535.23,0.53523,1000
4,2,13,310.666,0.310666,1000
4,1,9,590.387,0.590387,1000
3,5,18,562.426,0.562426,1000
3,4,16,599.657,0.599657,1000
2,7,14,661.568,0.661568,1000
2,4,12,295.155,0.295155,1000
2,1,7,600.487,0.600487,1000
1,5,10,650.453,0.650453,1000
1,4,8,525.657,0.525657,1000
1,2,6,528.982,0.528982,1000
0,7,4,342.729,0.342729,1000
0,6,2,276.02,0.27602,1000
0,5,0,624.987,0.624987,1000
