source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,287.966,5981,0.0481467,1,2,2,1
0,2,1,39.2877,816,0.0481467,3,4.33333,2,1
0,3,2,27.1066,563,0.0481467,3,4.33333,2,2
0,4,3,20.7512,431,0.0481467,2,3,3,2
0,5,4,76.6496,1592,0.0481467,3,3.33333,1,2
0,6,5,21.3772,444,0.0481467,1,1,1,1
0,7,6,27.7325,576,0.0481467,1,1,1,1
0,8,7,23.6401,491,0.0481467,1,2,2,1
0,9,8,27.1066,563,0.0481467,2,2.5,2,2
0,10,9,12.133,252,0.0481467,1,3,3,1
0,11,10,33.462,695,0.0481467,2,3,3,2
0,12,11,15.5995,324,0.0481467,3,3,2,3
0,13,12,74.9163,1556,0.0481467,1,2,2,1
0,14,13,33.462,695,0.0481467,1,2,2,1
1,0,14,343.383,7132,0.0481467,1,2,2,1
1,2,15,127.3,2644,0.0481467,2,1.5,1,2
1,3,16,107.801,2239,0.0481467,1,2,2,1
1,4,17,36.3508,755,0.0481467,1,1,1,1
1,5,18,293.791,6102,0.0481467,2,2,1,2
1,6,19,88.2048,1832,0.0481467,6,4.83333,3,2
1,7,20,237.363,4930,0.0481467,2,2.5,2,1
1,8,21,12.1811,253,0.0481467,4,5.25,3,3
1,9,22,93.9825,1952,0.0481467,5,5.6,4,3
1,10,23,36.3508,755,0.0481467,2,4,3,2
1,11,24,52.48,1090,0.0481467,3,5,4,2
1,12,25,27.1066,563,0.0481467,2,3,2,2
1,13,26,20.1735,419,0.0481467,3,4,3,3
1,14,27,89.3122,1855,0.0481467,2,3.5,3,2
2,0,28,47.0394,977,0.0481467,2,3,2,2
2,1,29,151.71,3151,0.0481467,2,1.5,1,2
2,3,30,15.0218,312,0.0481467,1,2,2,1
2,4,31,11.5552,240,0.0481467,1,1,1,1
2,5,32,12.133,252,0.0481467,2,2.5,2,1
2,6,33,1.82958,38,0.0481467,3,5.33333,3,3
2,7,34,55.3206,1149,0.0481467,1,1,1,1
2,8,35,4.09247,85,0.0481467,2,5,2,1
2,9,36,4.67023,97,0.0481467,2,5,3,2
2,10,37,4.67023,97,0.0481467,2,4.5,4,1
2,11,38,6.98128,145,0.0481467,2,5.5,3,2
2,12,39,4.09247,85,0.0481467,2,3.5,3,1
2,13,40,1.78143,37,0.0481467,3,5,4,2
2,14,41,20.7512,431,0.0481467,1,2,2,1
3,0,42,32.6435,678,0.0481467,1,2,2,1
3,1,43,128.793,2675,0.0481467,1,2,2,1
3,2,44,17.8143,370,0.0481467,1,2,2,1
3,4,45,47.2801,982,0.0481467,1,1,1,1
3,5,46,44.3913,922,0.0481467,1,1,1,1
3,6,47,3.46657,72,0.0481467,3,4,3,2
3,7,48,7.60719,158,0.0481467,3,5.33333,3,2
3,8,49,3.46657,72,0.0481467,3,5.66667,4,3
3,9,50,11.5552,240,0.0481467,3,5,4,2
3,10,51,6.98128,145,0.0481467,1,3,3,1
3,11,52,6.98128,145,0.0481467,3,6,5,2
3,12,53,73.2312,1521,0.0481467,1,2,2,1
3,13,54,7.55904,157,0.0481467,2,3.5,3,1
3,14,55,9.24418,192,0.0481467,2,6,4,1
4,0,56,24.6511,512,0.0481467,2,3,3,1
4,1,57,43.5728,905,0.0481467,2,1.5,1,2
4,2,58,13.77,286,0.0481467,1,1,1,1
4,3,59,56.6687,1177,0.0481467,1,1,1,1
4,5,60,4.71838,98,0.0481467,1,2,2,1
4,6,61,1.78143,37,0.0481467,4,4.75,4,2
4,7,62,5.77761,120,0.0481467,1,2,2,1
4,8,63,2.93695,61,0.0481467,1,3,3,1
4,9,64,2.93695,61,0.0481467,3,5.66667,4,3
4,10,65,1.78143,37,0.0481467,1,4,4,1
4,11,66,4.14062,86,0.0481467,2,5.5,4,2
4,12,67,4.09247,85,0.0481467,1,3,3,1
4,13,68,1.82958,38,0.0481467,2,4.5,4,2
4,14,69,4.14062,86,0.0481467,1,3,3,1
5,0,70,91.6233,1903,0.0481467,1,1,1,1
5,1,71,350.268,7275,0.0481467,3,2.66667,1,2
5,2,72,14.3477,298,0.0481467,2,2.5,2,1
5,3,73,53.2503,1106,0.0481467,1,1,1,1
5,4,74,5.82576,121,0.0481467,1,2,2,1
5,6,75,4.67023,97,0.0481467,3,3,2,1
5,7,76,42.0803,874,0.0481467,2,3.5,2,2
5,8,77,4.14062,86,0.0481467,3,4.66667,3,3
5,9,78,27.6844,575,0.0481467,3,4,3,2
5,10,79,8.71456,181,0.0481467,1,2,2,1
5,11,80,6.35537,132,0.0481467,3,5,4,2
5,12,81,7.60719,158,0.0481467,1,1,1,1
5,13,82,11.5552,240,0.0481467,2,2.5,2,1
5,14,83,12.7107,264,0.0481467,3,5.33333,3,3
6,0,84,25.8067,536,0.0481467,1,1,1,1
6,1,85,105.393,2189,0.0481467,6,4.5,3,4
6,2,86,2.35919,49,0.0481467,2,4.5,3,2
6,3,87,4.04433,84,0.0481467,3,4,3,2
6,4,88,2.31104,48,0.0481467,2,4.5,4,2
6,5,89,5.77761,120,0.0481467,3,3,2,2
6,7,90,2.93695,61,0.0481467,1,2,2,1
6,8,91,12.7589,265,0.0481467,1,2,2,1
6,9,92,9.29232,193,0.0481467,1,1,1,1
6,10,93,4.67023,97,0.0481467,1,2,2,1
6,11,94,2.8888,60,0.0481467,1,2,2,1
6,12,95,2.93695,61,0.0481467,2,2.5,2,2
6,13,96,3.51471,73,0.0481467,1,1,1,1
6,14,97,9.24418,192,0.0481467,1,3,3,1
7,0,98,33.2694,691,0.0481467,1,1,1,1
7,1,99,283.295,5884,0.0481467,2,2.5,2,2
7,2,100,65.8648,1368,0.0481467,2,3,1,2
7,3,101,9.24418,192,0.0481467,3,4.33333,3,2
7,4,102,6.88499,143,0.0481467,3,4.33333,2,2
7,5,103,50.4096,1047,0.0481467,3,4.33333,2,1
7,6,104,3.51471,73,0.0481467,2,2.5,2,1
7,8,105,9.82194,204,0.0481467,1,1,1,1
7,9,106,8.71456,181,0.0481467,1,2,2,1
7,10,107,4.67023,97,0.0481467,2,4.5,4,1
7,11,108,6.98128,145,0.0481467,1,2,2,1
7,12,109,7.55904,157,0.0481467,4,4.5,3,3
7,13,110,11.6034,241,0.0481467,2,3.5,3,1
7,14,111,24.8437,516,0.0481467,1,1,1,1
8,0,112,28.1177,584,0.0481467,1,2,2,1
8,1,113,14.3959,299,0.0481467,6,5.83333,3,4
8,2,114,5.19985,108,0.0481467,4,6.25,2,1
8,3,115,4.04433,84,0.0481467,4,5.25,4,3
8,4,116,3.51471,73,0.0481467,4,5.75,3,2
8,5,117,5.19985,108,0.0481467,3,4.66667,3,2
8,6,118,15.5033,322,0.0481467,1,2,2,1
8,7,119,12.0367,250,0.0481467,1,1,1,1
8,9,120,9.82194,204,0.0481467,1,1,1,1
8,10,121,3.51471,73,0.0481467,1,4,4,1
8,11,122,13.2885,276,0.0481467,1,1,1,1
8,12,123,2.93695,61,0.0481467,2,4.5,4,2
8,13,124,5.77761,120,0.0481467,1,3,3,1
8,14,125,12.133,252,0.0481467,1,1,1,1
9,0,126,32.6435,678,0.0481467,2,2.5,2,2
9,1,127,112.23,2331,0.0481467,5,5.4,4,4
9,2,128,5.77761,120,0.0481467,2,5,3,1
9,3,129,13.77,286,0.0481467,4,5,4,3
9,4,130,3.51471,73,0.0481467,3,5.33333,4,2
