source,destination,link_id,used_rate_c,usage,capacity_c
14,8,35,331.866,0.610205,543.86
14,7,29,110.281,0.201359,547.684
13,12,43,184.334,0.325561,566.204
13,10,41,263.739,0.414906,635.659
13,6,25,544.379,1,544.379
12,13,42,209.519,0.370042,566.204
12,10,39,212.005,0.333521,635.659
12,5,21,544.529,1,544.529
11,9,37,272.017,0.496432,547.945
11,8,33,173.169,0.318407,543.86
10,13,40,216.411,0.340451,635.659
10,12,38,300.802,0.473212,635.659
9,11,36,197.625,0.360666,547.945
9,8,31,307.653,0.565685,543.86
9,6,23,479.82,0.881409,544.379
8,14,34,167.473,0.307933,543.86
8,11,32,263.358,0.484238,543.86
8,9,30,150.763,0.27721,543.86
8,7,27,351.515,0.64182,547.684
7,14,28,253.668,0.463165,547.684
7,8,26,108.762,0.198586,547.684
7,2,15,587.94,1,587.94
7,0,5,502.556,0.894719,561.692
6,13,24,544.379,1,544.379
6,9,22,489.441,0.899081,544.379
6,0,3,386.01,0.687227,561.692
5,12,20,453.5,0.83283,544.529
5,3,19,580.111,0.989122,586.491
5,1,11,608.247,1,608.247
5,0,1,561.692,1,561.692
4,3,17,558.769,0.952733,586.491
4,2,13,122.839,0.208931,587.94
4,1,9,552.541,0.908414,608.247
3,5,18,586.491,1,586.491
3,4,16,586.491,1,586.491
2,7,14,587.94,1,587.94
2,4,12,96.0032,0.163287,587.94
2,1,7,608.247,1,608.247
1,5,10,608.247,1,608.247
1,4,8,555.148,0.912702,608.247
1,2,6,608.247,1,608.247
0,7,4,442.271,0.787391,561.692
0,6,2,396.466,0.705842,561.692
0,5,0,561.692,1,561.692
