source,destination,link_id,used_rate,usage,link_capa
14,8,35,209.018,0.209018,1000
14,7,29,384.314,0.384314,1000
13,12,43,526.292,0.526292,1000
13,10,41,142.712,0.142712,1000
13,6,25,737.209,0.737209,1000
12,13,42,335.831,0.335831,1000
12,10,39,222.74,0.22274,1000
12,5,21,803.514,0.803514,1000
11,9,37,176.663,0.176663,1000
11,8,33,293.628,0.293628,1000
10,13,40,219.778,0.219778,1000
10,12,38,158.055,0.158055,1000
9,11,36,206.739,0.206739,1000
9,8,31,177.574,0.177574,1000
9,6,23,659.257,0.659257,1000
8,14,34,174.84,0.17484,1000
8,11,32,217.221,0.217221,1000
8,9,30,259.399,0.259399,1000
8,7,27,342.692,0.342692,1000
7,14,28,321.426,0.321426,1000
7,8,26,305.198,0.305198,1000
7,2,15,1000,1,1000
7,0,5,603.332,0.603332,1000
6,13,24,780.881,0.780881,1000
6,9,22,609.256,0.609256,1000
6,0,3,431.884,0.431884,1000
5,12,20,614.319,0.614319,1000
5,3,19,1000,1,1000
5,1,11,1000,1,1000
5,0,1,1000,1,1000
4,3,17,728.17,0.72817,1000
4,2,13,134.738,0.134738,1000
4,1,9,912.352,0.912352,1000
3,5,18,718.98,0.71898,1000
3,4,16,985.645,0.985645,1000
2,7,14,1000,1,1000
2,4,12,154.865,0.154865,1000
2,1,7,919.871,0.919871,1000
1,5,10,1000,1,1000
1,4,8,611.813,0.611813,1000
1,2,6,934.682,0.934682,1000
0,7,4,411.048,0.411048,1000
0,6,2,402.086,0.402086,1000
0,5,0,1000,1,1000
