source,destination,link_id,used_rate_c,usage,capacity_c
36,32,111,2660.36,0.391728,6791.34
36,22,99,5241.74,0.809489,6475.37
36,19,91,3871.56,0.570073,6791.34
35,33,113,2730.29,0.424987,6424.41
35,28,109,3373.05,0.648376,5202.31
35,3,25,1997.14,0.310868,6424.41
35,1,13,1259.83,0.196101,6424.41
34,16,77,2573.8,0.340449,7560
34,15,75,1535.52,0.203111,7560
34,4,35,3658.41,0.718384,5092.55
33,35,112,2730.55,0.425027,6424.41
33,27,107,3221.21,0.426086,7560
33,23,101,3077.25,0.514869,5976.75
32,36,110,2719.06,0.400371,6791.34
32,26,105,3873.27,0.66961,5784.36
32,12,69,3643.01,0.522312,6974.77
31,15,73,801.985,0.106083,7560
31,9,57,1583.88,0.236858,6687.02
30,3,23,1563.6,0.206825,7560
30,1,11,1852.99,0.245105,7560
29,17,83,1861.1,0.246177,7560
29,2,19,2442.52,0.323085,7560
28,35,108,3380.31,0.649771,5202.31
28,25,103,3246.88,0.624124,5202.31
28,22,97,3098.53,0.47851,6475.37
28,21,93,5255.85,0.965262,5445
27,33,106,3183.97,0.421159,7560
27,8,53,1970.52,0.260651,7560
27,4,33,2720.06,0.534126,5092.55
26,32,104,3900.01,0.674233,5784.36
26,19,89,2771.81,0.479191,5784.36
26,18,85,3713.2,0.597033,6219.42
26,7,49,2568.79,0.444093,5784.36
26,6,45,2753.15,0.475965,5784.36
25,28,102,3234.41,0.621727,5202.31
25,1,9,2694.62,0.356431,7560
24,15,71,986.59,0.130501,7560
24,9,55,1485.64,0.222167,6687.02
23,33,100,3114.75,0.521144,5976.75
23,22,95,3472.58,0.536275,6475.37
23,12,67,5220.11,0.748428,6974.77
23,4,31,3503.57,0.687978,5092.55
22,36,98,5227.81,0.807337,6475.37
22,28,96,3125.97,0.482747,6475.37
22,23,94,3459.09,0.534191,6475.37
21,28,92,5248.15,0.963847,5445
21,19,87,2478.23,0.455139,5445
21,6,43,2475.06,0.454557,5445
21,2,17,3376.78,0.620161,5445
20,17,81,2420.25,0.320139,7560
20,6,41,3343.51,0.442264,7560
20,2,15,1860.97,0.246161,7560
19,36,90,3886.38,0.572256,6791.34
19,26,88,2784.16,0.481325,5784.36
19,21,86,2451.06,0.45015,5445
18,26,84,3709.42,0.596425,6219.42
18,17,79,3449.73,0.55467,6219.42
18,10,61,2964.7,0.476684,6219.42
18,5,39,3253.99,0.523198,6219.42
18,0,7,3015.75,0.484893,6219.42
17,29,82,1873.39,0.247803,7560
17,20,80,2437.34,0.3224,7560
17,18,78,3420.34,0.549945,6219.42
16,34,76,2595.55,0.343327,7560
16,8,51,3765.71,0.49811,7560
15,34,74,1547.51,0.204696,7560
15,31,72,802.717,0.106179,7560
15,24,70,975.028,0.128972,7560
14,12,65,3115.49,0.44668,6974.77
14,4,29,5092.55,1,5092.55
14,0,5,4100.12,0.542344,7560
13,10,59,2690.84,0.355932,7560
13,5,37,2278.95,0.301448,7560
13,0,3,3414.82,0.451696,7560
12,32,68,3752.34,0.537988,6974.77
12,23,66,5219.58,0.748351,6974.77
12,14,64,3012.36,0.431894,6974.77
12,11,63,3880.07,0.556301,6974.77
11,12,62,3885.74,0.557114,6974.77
11,7,47,3704.71,0.490041,7560
10,18,60,3023.87,0.486199,6219.42
10,13,58,2631.67,0.348104,7560
9,31,56,1571.79,0.235051,6687.02
9,24,54,1492.56,0.223202,6687.02
9,4,27,3688.9,0.724372,5092.55
8,27,52,1977.2,0.261534,7560
8,16,50,3779.02,0.49987,7560
8,3,21,3297.96,0.436238,7560
7,26,48,2563.7,0.443213,5784.36
7,11,46,3710.38,0.490791,7560
7,0,1,3511.91,0.464538,7560
6,26,44,2776.43,0.479988,5784.36
6,21,42,2478.77,0.455237,5445
6,20,40,3316.54,0.438696,7560
5,18,38,3220.06,0.517743,6219.42
5,13,36,2312.88,0.305936,7560
4,34,34,3661.28,0.718948,5092.55
4,27,32,2674.98,0.525274,5092.55
4,23,30,3555.1,0.698097,5092.55
4,14,28,5092.55,1,5092.55
4,9,26,3681.75,0.722967,5092.55
3,35,24,1967.2,0.306207,6424.41
3,30,22,1573.56,0.208143,7560
3,8,20,3317.94,0.438881,7560
2,29,18,2423.81,0.32061,7560
2,21,16,3392.53,0.623055,5445
2,20,14,1863.93,0.246551,7560
1,35,12,1282.26,0.199592,6424.41
1,30,10,1843.03,0.243787,7560
1,25,8,2682.15,0.354782,7560
0,18,6,2886.8,0.464158,6219.42
0,14,4,4203.25,0.555986,7560
0,13,2,3440.07,0.455035,7560
0,7,0,3512.48,0.464614,7560
