switch_id,used_rules,usage
36,751,1.12763
35,809,1.21471
34,544,0.816817
33,592,0.888889
32,584,0.876877
31,339,0.509009
30,368,0.552553
29,364,0.546547
28,1218,1.82883
27,583,0.875375
26,961,1.44294
25,484,0.726727
24,356,0.534535
23,906,1.36036
22,800,1.2012
21,1089,1.63514
20,561,0.842342
19,642,0.963964
18,849,1.27477
17,549,0.824324
16,316,0.474474
15,519,0.779279
14,581,0.872372
13,360,0.540541
12,727,1.09159
11,312,0.468468
10,382,0.573574
9,766,1.15015
8,501,0.752252
7,456,0.684685
6,627,0.941441
5,246,0.369369
4,1292,1.93994
3,511,0.767267
2,566,0.84985
1,543,0.815315
0,561,0.842342
