switch_id,used_rules,usage
36,435,0.653153
35,509,0.764264
34,273,0.40991
33,372,0.558559
32,329,0.493994
31,179,0.268769
30,203,0.304805
29,216,0.324324
28,759,1.13964
27,350,0.525526
26,543,0.815315
25,276,0.414414
24,210,0.315315
23,574,0.861862
22,510,0.765766
21,685,1.02853
20,337,0.506006
19,381,0.572072
18,532,0.798799
17,347,0.521021
16,201,0.301802
15,275,0.412913
14,374,0.561562
13,187,0.280781
12,427,0.641141
11,209,0.313814
10,217,0.325826
9,475,0.713213
8,305,0.457958
7,271,0.406907
6,379,0.569069
5,143,0.214715
4,784,1.17718
3,305,0.457958
2,348,0.522523
1,309,0.463964
0,386,0.57958
