source,destination,link_id,used_rate,usage,link_capa
36,32,111,1656.47,0.219109,7560
36,22,99,3321.48,0.43935,7560
36,19,91,2345.29,0.310224,7560
35,33,113,1649.05,0.218128,7560
35,28,109,2176.05,0.287837,7560
35,3,25,1366.33,0.180731,7560
35,1,13,776.242,0.102677,7560
34,16,77,1785.36,0.236159,7560
34,15,75,769.132,0.101737,7560
34,4,35,2500.07,0.330697,7560
33,35,112,1613.93,0.213482,7560
33,27,107,2019.09,0.267076,7560
33,23,101,1918.56,0.253778,7560
32,36,110,1680.85,0.222335,7560
32,26,105,2357.68,0.311862,7560
32,12,69,2438.19,0.322512,7560
31,15,73,357.663,0.0473099,7560
31,9,57,972.355,0.128618,7560
30,3,23,794.001,0.105027,7560
30,1,11,945.356,0.125047,7560
29,17,83,1103.89,0.146018,7560
29,2,19,1473.12,0.194857,7560
28,35,108,2191.97,0.289943,7560
28,25,103,1898.82,0.251167,7560
28,22,97,1938.33,0.256393,7560
28,21,93,3455.96,0.457138,7560
27,33,106,1974.03,0.261115,7560
27,8,53,1247.72,0.165042,7560
27,4,33,1628.23,0.215375,7560
26,32,104,2405.9,0.318241,7560
26,19,89,1689.85,0.223526,7560
26,18,85,2589.1,0.342474,7560
26,7,49,1409.47,0.186438,7560
26,6,45,1597.08,0.211254,7560
25,28,102,1876.02,0.248151,7560
25,1,9,1470.53,0.194515,7560
24,15,71,539.146,0.0713156,7560
24,9,55,877.493,0.11607,7560
23,33,100,1928.51,0.255094,7560
23,22,95,2399.1,0.317341,7560
23,12,67,3294.59,0.435792,7560
23,4,31,2354.2,0.311401,7560
22,36,98,3255.37,0.430604,7560
22,28,96,1977.67,0.261597,7560
22,23,94,2425.88,0.320883,7560
21,28,92,3455.34,0.457056,7560
21,19,87,1562.25,0.206647,7560
21,6,43,1633.6,0.216084,7560
21,2,17,2123.11,0.280834,7560
20,17,81,1419.65,0.187784,7560
20,6,41,1918.68,0.253794,7560
20,2,15,1099.28,0.145408,7560
19,36,90,2387.03,0.315744,7560
19,26,88,1702.52,0.225201,7560
19,21,86,1507.86,0.199452,7560
18,26,84,2583.06,0.341675,7560
18,17,79,2255.88,0.298397,7560
18,10,61,1582.64,0.209344,7560
18,5,39,2224.59,0.294258,7560
18,0,7,1844.1,0.243929,7560
17,29,82,1144.36,0.151371,7560
17,20,80,1460.68,0.193211,7560
17,18,78,2174.39,0.287617,7560
16,34,76,1813.14,0.239833,7560
16,8,51,2478.89,0.327896,7560
15,34,74,760.054,0.100536,7560
15,31,72,362.055,0.0478909,7560
15,24,70,543.832,0.0719354,7560
14,12,65,1698.55,0.224676,7560
14,4,29,3383.06,0.447495,7560
14,0,5,3000.82,0.396934,7560
13,10,59,1521.93,0.201313,7560
13,5,37,1327.48,0.175592,7560
13,0,3,2325.73,0.307636,7560
12,32,68,2414.35,0.319358,7560
12,23,66,3285.33,0.434568,7560
12,14,64,1695.6,0.224285,7560
12,11,63,2401.27,0.317629,7560
11,12,62,2365.23,0.312861,7560
11,7,47,2202.71,0.291363,7560
10,18,60,1735.38,0.229547,7560
10,13,58,1369.19,0.18111,7560
9,31,56,967.963,0.128037,7560
9,24,54,872.807,0.115451,7560
9,4,27,2262.79,0.29931,7560
8,27,52,1223.54,0.161844,7560
8,16,50,2506.67,0.33157,7560
8,3,21,2016.64,0.266752,7560
7,26,48,1423.35,0.188274,7560
7,11,46,2166.66,0.286595,7560
7,0,1,2099.43,0.277702,7560
6,26,44,1624.8,0.21492,7560
6,21,42,1628.63,0.215427,7560
6,20,40,1895.93,0.250784,7560
5,18,38,2144.7,0.283691,7560
5,13,36,1407.37,0.18616,7560
4,34,34,2481.37,0.328224,7560
4,27,32,1607.35,0.212612,7560
4,23,30,2346.62,0.310399,7560
4,14,28,3439.3,0.454934,7560
4,9,26,2253.71,0.298109,7560
3,35,24,1376.8,0.182117,7560
3,30,22,779.928,0.103165,7560
3,8,20,2020.24,0.267228,7560
2,29,18,1432.65,0.189504,7560
2,21,16,2181.85,0.288604,7560
2,20,14,1081.01,0.142991,7560
1,35,12,784.967,0.103832,7560
1,30,10,959.428,0.126909,7560
1,25,8,1447.74,0.191499,7560
0,18,6,1846.72,0.244275,7560
0,14,4,2947.53,0.389885,7560
0,13,2,2398.57,0.317271,7560
0,7,0,2077.26,0.27477,7560
