switch_id,used_rules,usage
36,7339,11.0195
35,10966,16.4655
34,8153,12.2417
33,8538,12.8198
32,6425,9.64715
31,4176,6.27027
30,4434,6.65766
29,3677,5.52102
28,12844,19.2853
27,10451,15.6922
26,11537,17.3228
25,6556,9.84384
24,4240,6.36637
23,7261,10.9024
22,6772,10.1682
21,12399,18.6171
20,5958,8.94595
19,8103,12.1667
18,8821,13.2447
17,6052,9.08709
16,4823,7.24174
15,7231,10.8574
14,6667,10.0105
13,4229,6.34985
12,7382,11.0841
11,3273,4.91441
10,3459,5.19369
9,7016,10.5345
8,8429,12.6562
7,5685,8.53604
6,7312,10.979
5,2667,4.0045
4,13470,20.2252
3,7609,11.4249
2,5869,8.81231
1,7474,11.2222
0,6737,10.1156
