switch_id,used_rules,usage
36,1603,2.40691
35,2015,3.02553
34,1418,2.12913
33,1513,2.27177
32,1174,1.76276
31,729,1.09459
30,799,1.1997
29,699,1.04955
28,2623,3.93844
27,1546,2.32132
26,2020,3.03303
25,1162,1.74474
24,823,1.23574
23,1818,2.72973
22,1651,2.47898
21,2314,3.47447
20,1005,1.50901
19,1478,2.21922
18,1583,2.37688
17,1004,1.50751
16,851,1.27778
15,1323,1.98649
14,1042,1.56456
13,728,1.09309
12,1498,2.24925
11,646,0.96997
10,689,1.03453
9,1502,2.25526
8,1294,1.94294
7,1048,1.57357
6,1199,1.8003
5,481,0.722222
4,2563,3.84835
3,1209,1.81532
2,1109,1.66517
1,1369,2.05556
0,1008,1.51351
