source,destination,link_id,used_rate_c,usage,capacity_c
36,32,111,3286.27,0.44489,7386.7
36,22,99,6999.28,1,6999.28
36,19,91,5347.97,0.724,7386.7
35,33,113,1846.81,0.273084,6762.8
35,28,109,3968.16,0.740145,5361.33
35,3,25,3004.2,0.444224,6762.8
35,1,13,1272.8,0.188206,6762.8
34,16,77,4011.58,0.530632,7560
34,15,75,1249.14,0.165231,7560
34,4,35,4148.65,0.79498,5218.56
33,35,112,1627.23,0.240615,6762.8
33,27,107,3367.74,0.445468,7560
33,23,101,2726.19,0.441628,6173.04
32,36,110,4520.42,0.611967,7386.7
32,26,105,3623.41,0.601122,6027.75
32,12,69,5020.64,0.703502,7136.64
31,15,73,373.059,0.0493465,7560
31,9,57,1317.52,0.186897,7049.45
30,3,23,1332.47,0.176252,7560
30,1,11,1530.4,0.202433,7560
29,17,83,2118.23,0.280189,7560
29,2,19,1847.31,0.244353,7560
28,35,108,4033.93,0.752411,5361.33
28,25,103,3350.79,0.624993,5361.33
28,22,97,6259.43,0.894296,6999.28
28,21,93,5644.8,1,5644.8
27,33,106,2920.45,0.386303,7560
27,8,53,2573.11,0.340358,7560
27,4,33,2477.76,0.474798,5218.56
26,32,104,5168.61,0.85747,6027.75
26,19,89,3944.44,0.65438,6027.75
26,18,85,6475.37,1,6475.37
26,7,49,3874.5,0.642778,6027.75
26,6,45,2819.35,0.467729,6027.75
25,28,102,4027.24,0.751163,5361.33
25,1,9,1238.11,0.163772,7560
24,15,71,429.405,0.0567996,7560
24,9,55,863.071,0.122431,7049.45
23,33,100,3430.43,0.555712,6173.04
23,22,95,5398.47,0.771289,6999.28
23,12,67,7017.98,0.983374,7136.64
23,4,31,5218.56,1,5218.56
22,36,98,6999.28,1,6999.28
22,28,96,5940.6,0.848744,6999.28
22,23,94,6001.36,0.857425,6999.28
21,28,92,5644.8,1,5644.8
21,19,87,3422.45,0.606302,5644.8
21,6,43,2292.07,0.406051,5644.8
21,2,17,3265.16,0.578437,5644.8
20,17,81,1616.33,0.2138,7560
20,6,41,1916.54,0.25351,7560
20,2,15,1793.24,0.237201,7560
19,36,90,4691.05,0.635067,7386.7
19,26,88,5483.59,0.909725,6027.75
19,21,86,2800.22,0.496071,5644.8
18,26,84,6475.37,1,6475.37
18,17,79,4200.58,0.648701,6475.37
18,10,61,2843.34,0.4391,6475.37
18,5,39,4416.75,0.682084,6475.37
18,0,7,3435.63,0.530569,6475.37
17,29,82,1936.46,0.256145,7560
17,20,80,1896.22,0.250823,7560
17,18,78,3953.79,0.610589,6475.37
16,34,76,4370.07,0.578051,7560
16,8,51,5098.15,0.674358,7560
15,34,74,1555.52,0.205757,7560
15,31,72,586.081,0.077524,7560
15,24,70,204.172,0.0270068,7560
14,12,65,3386.08,0.474464,7136.64
14,4,29,5218.56,1,5218.56
14,0,5,5825.33,0.770546,7560
13,10,59,2364.49,0.312763,7560
13,5,37,2874.16,0.38018,7560
13,0,3,6071.73,0.803139,7560
12,32,68,5113.76,0.71655,7136.64
12,23,66,6849.12,0.959712,7136.64
12,14,64,3426.91,0.480186,7136.64
12,11,63,4961.5,0.695215,7136.64
11,12,62,4926.58,0.690322,7136.64
11,7,47,4221.33,0.558377,7560
10,18,60,2731.8,0.421875,6475.37
10,13,58,2527.17,0.334282,7560
9,31,56,1108.07,0.157185,7049.45
9,24,54,881.097,0.124988,7049.45
9,4,27,3358.45,0.643558,5218.56
8,27,52,2096.62,0.277331,7560
8,16,50,5009.19,0.662592,7560
8,3,21,4829.15,0.638777,7560
7,26,48,3970.74,0.658744,6027.75
7,11,46,4186.41,0.553758,7560
7,0,1,5829.72,0.771128,7560
6,26,44,2697.05,0.447439,6027.75
6,21,42,2656.11,0.470542,5644.8
6,20,40,1885.71,0.249433,7560
5,18,38,4391.38,0.678165,6475.37
5,13,36,3220.66,0.426013,7560
4,34,34,5218.56,1,5218.56
4,27,32,2349.96,0.450307,5218.56
4,23,30,5218.56,1,5218.56
4,14,28,5218.56,1,5218.56
4,9,26,2974.15,0.569917,5218.56
3,35,24,3368.93,0.498157,6762.8
3,30,22,1632.68,0.215963,7560
3,8,20,4167.98,0.55132,7560
2,29,18,2101.98,0.278039,7560
2,21,16,3419.13,0.605714,5644.8
2,20,14,1629.41,0.21553,7560
1,35,12,1154.86,0.170766,6762.8
1,30,10,1399.07,0.185062,7560
1,25,8,1439.81,0.190451,7560
0,18,6,4174.94,0.644742,6475.37
0,14,4,5797.58,0.766876,7560
0,13,2,5372.98,0.710711,7560
0,7,0,5784.6,0.765159,7560
