source,destination,link_id,used_rate,usage,link_capa
36,32,111,3591.59,0.475078,7560
36,22,99,7560,1,7560
36,19,91,5912.6,0.78209,7560
35,33,113,1951.13,0.258086,7560
35,28,109,4956.46,0.655617,7560
35,3,25,3187.06,0.421569,7560
35,1,13,1519.69,0.201017,7560
34,16,77,4726.47,0.625195,7560
34,15,75,1856.23,0.245533,7560
34,4,35,7560,1,7560
33,35,112,2167.69,0.286731,7560
33,27,107,3499.66,0.462918,7560
33,23,101,2599.37,0.343832,7560
32,36,110,4088.98,0.540871,7560
32,26,105,4045.97,0.535181,7560
32,12,69,5709.77,0.75526,7560
31,15,73,373.059,0.0493465,7560
31,9,57,1658.15,0.219332,7560
30,3,23,1364.98,0.180552,7560
30,1,11,1704.93,0.22552,7560
29,17,83,2393.71,0.316629,7560
29,2,19,2492.08,0.329641,7560
28,35,108,4428.34,0.58576,7560
28,25,103,3866.08,0.511386,7560
28,22,97,6160.68,0.814905,7560
28,21,93,7560,1,7560
27,33,106,2993.74,0.395997,7560
27,8,53,2459.38,0.325314,7560
27,4,33,2788.58,0.36886,7560
26,32,104,5300.34,0.701103,7560
26,19,89,4483.85,0.593101,7560
26,18,85,7560,1,7560
26,7,49,3456.25,0.457176,7560
26,6,45,3410.26,0.451093,7560
25,28,102,4060.44,0.537095,7560
25,1,9,1442.09,0.190752,7560
24,15,71,499.229,0.0660356,7560
24,9,55,1374.34,0.181791,7560
23,33,100,3321.85,0.439399,7560
23,22,95,6837.52,0.904434,7560
23,12,67,7560,1,7560
23,4,31,7560,1,7560
22,36,98,7560,1,7560
22,28,96,5438.2,0.719339,7560
22,23,94,7560,1,7560
21,28,92,7560,1,7560
21,19,87,4752.05,0.628577,7560
21,6,43,2881.25,0.381118,7560
21,2,17,4133.73,0.54679,7560
20,17,81,1669.05,0.220774,7560
20,6,41,2062.93,0.272874,7560
20,2,15,1961.04,0.259397,7560
19,36,90,5415.21,0.716297,7560
19,26,88,5817.16,0.769465,7560
19,21,86,3916.13,0.518007,7560
18,26,84,7560,1,7560
18,17,79,4925.69,0.651546,7560
18,10,61,3076.45,0.406938,7560
18,5,39,4740.75,0.627083,7560
18,0,7,4953.94,0.655283,7560
17,29,82,2385.83,0.315587,7560
17,20,80,2043.5,0.270304,7560
17,18,78,4559.12,0.603059,7560
16,34,76,4899.48,0.648079,7560
16,8,51,4766.37,0.630472,7560
15,34,74,1683.23,0.222649,7560
15,31,72,373.059,0.0493465,7560
15,24,70,672.23,0.0889193,7560
14,12,65,3225.42,0.426642,7560
14,4,29,7560,1,7560
14,0,5,7560,1,7560
13,10,59,3037.8,0.401825,7560
13,5,37,3248.31,0.429671,7560
13,0,3,5654.56,0.747958,7560
12,32,68,4952.8,0.655132,7560
12,23,66,7560,1,7560
12,14,64,3225.42,0.426642,7560
12,11,63,5421.9,0.717182,7560
11,12,62,4664.93,0.617054,7560
11,7,47,4681.73,0.619276,7560
10,18,60,3474.49,0.459588,7560
10,13,58,2639.76,0.349175,7560
9,31,56,1658.15,0.219332,7560
9,24,54,1201.34,0.158908,7560
9,4,27,4261.29,0.563663,7560
8,27,52,1780.46,0.23551,7560
8,16,50,4939.37,0.653356,7560
8,3,21,4813.54,0.636712,7560
7,26,48,3846.65,0.508817,7560
7,11,46,3924.75,0.519147,7560
7,0,1,5863.1,0.775542,7560
6,26,44,2940.91,0.38901,7560
6,21,42,3393.41,0.448864,7560
6,20,40,2020.11,0.26721,7560
5,18,38,4901.11,0.648295,7560
5,13,36,3087.95,0.408459,7560
4,34,34,7560,1,7560
4,27,32,2961.58,0.391743,7560
4,23,30,7560,1,7560
4,14,28,7560,1,7560
4,9,26,4088.29,0.540779,7560
3,35,24,3503.87,0.463475,7560
3,30,22,1554.08,0.205567,7560
3,8,20,4307.63,0.569792,7560
2,29,18,2499.96,0.330683,7560
2,21,16,4457.48,0.589614,7560
2,20,14,1629.41,0.21553,7560
1,35,12,1514.44,0.200323,7560
1,30,10,1515.83,0.200506,7560
1,25,8,1636.45,0.216461,7560
0,18,6,4762.11,0.629908,7560
0,14,4,7560,1,7560
0,13,2,6212.96,0.82182,7560
0,7,0,5496.53,0.727054,7560
