source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,140737,55916,2.51693,16,2.375,1,13
0,6,1,50009,19869,2.51693,14,2.28571,1,13
0,7,2,49334.4,19601,2.51693,10,2,1,9
0,8,3,46545.7,18493,2.51693,9,1.88889,1,9
6,0,4,38028.4,15109,2.51693,10,2,1,10
3,0,5,36055.1,14325,2.51693,10,2,1,10
9,0,6,35846.2,14242,2.51693,10,2,1,10
2,0,7,32012.9,12719,2.51693,11,2.09091,1,10
8,0,8,31381.1,12468,2.51693,13,2.23077,1,12
7,0,9,25091.3,9969,2.51693,16,2.375,1,15
7,6,10,24119.8,9583,2.51693,4,1.75,1,4
0,4,11,86466.8,34354,2.51693,13,2.23077,1,9
7,9,12,22305.1,8862,2.51693,5,1.8,1,5
5,4,13,18182.3,7224,2.51693,6,1.83333,1,6
5,6,14,13971.5,5551,2.51693,4,1.75,1,4
4,1,15,12023.4,4777,2.51693,9,2,1,7
1,2,16,11336.3,4504,2.51693,3,1.66667,1,3
1,4,17,10905.9,4333,2.51693,2,1.5,1,1
1,3,18,10062.7,3998,2.51693,3,1.66667,1,3
3,1,19,9506.46,3777,2.51693,5,1.8,1,4
5,1,20,9234.63,3669,2.51693,2,1.5,1,1
6,1,21,8781.59,3489,2.51693,3,1.66667,1,3
0,3,22,74622.1,29648,2.51693,10,2,1,9
1,6,23,8169.97,3246,2.51693,1,1,1,1
6,7,24,8079.36,3210,2.51693,3,1.66667,1,3
9,8,25,7837.74,3114,2.51693,4,1.75,1,4
1,9,26,7550.8,3000,2.51693,1,1,1,1
4,2,27,7402.31,2941,2.51693,4,1.75,1,4
1,5,28,7138.03,2836,2.51693,2,1.5,1,2
4,5,29,7052.45,2802,2.51693,1,1,1,1
8,1,30,7027.28,2792,2.51693,7,1.85714,1,6
1,8,31,6604.44,2624,2.51693,1,1,1,1
2,1,32,6430.77,2555,2.51693,4,1.75,1,4
4,0,33,72510.4,28809,2.51693,13,2.23077,1,8
2,3,34,5884.59,2338,2.51693,1,1,1,1
1,7,35,5429.03,2157,2.51693,1,1,1,1
5,9,36,5008.7,1990,2.51693,1,1,1,1
7,4,37,4920.61,1955,2.51693,2,1.5,1,2
6,4,38,4877.82,1938,2.51693,1,1,1,1
4,3,39,4814.9,1913,2.51693,4,1.75,1,4
6,3,40,4751.97,1888,2.51693,3,1.66667,1,3
5,3,41,4653.81,1849,2.51693,3,1.66667,1,3
4,6,42,4641.23,1844,2.51693,1,1,1,1
8,3,43,4580.82,1820,2.51693,1,1,1,1
1,0,44,66356.5,26364,2.51693,11,2.09091,1,9
9,1,45,4533,1801,2.51693,2,1.5,1,2
6,5,46,4495.25,1786,2.51693,1,1,1,1
4,9,47,4392.05,1745,2.51693,1,1,1,1
4,7,48,4369.4,1736,2.51693,1,1,1,1
8,9,49,4326.61,1719,2.51693,1,1,1,1
4,8,50,4324.09,1718,2.51693,1,1,1,1
3,4,51,4170.56,1657,2.51693,1,1,1,1
6,9,52,3634.45,1444,2.51693,1,1,1,1
3,6,53,3626.9,1441,2.51693,1,1,1,1
8,4,54,3302.22,1312,2.51693,3,1.66667,1,3
0,2,55,60459.3,24021,2.51693,10,2,1,9
7,1,56,3297.18,1310,2.51693,4,1.75,1,4
6,8,57,3141.13,1248,2.51693,1,1,1,1
8,6,58,3093.31,1229,2.51693,1,1,1,1
8,2,59,3022.84,1201,2.51693,1,1,1,1
3,9,60,2919.64,1160,2.51693,1,1,1,1
9,4,61,2786.25,1107,2.51693,1,1,1,1
3,5,62,2766.11,1099,2.51693,1,1,1,1
5,8,63,2685.57,1067,2.51693,1,1,1,1
3,2,64,2612.58,1038,2.51693,1,1,1,1
3,8,65,2461.56,978,2.51693,1,1,1,1
0,5,66,56021.9,22258,2.51693,10,2,1,10
2,4,67,2358.37,937,2.51693,1,1,1,1
9,3,68,2343.27,931,2.51693,1,1,1,1
6,2,69,2207.35,877,2.51693,1,1,1,1
5,2,70,2096.61,833,2.51693,2,1.5,1,2
8,5,71,2016.06,801,2.51693,1,1,1,1
5,7,72,2011.03,799,2.51693,1,1,1,1
9,6,73,1892.73,752,2.51693,1,1,1,1
9,5,74,1764.37,701,2.51693,1,1,1,1
7,3,75,1759.34,699,2.51693,1,1,1,1
8,7,76,1756.82,698,2.51693,1,1,1,1
0,9,77,53127.5,21108,2.51693,12,2.16667,1,12
3,7,78,1661.18,660,2.51693,1,1,1,1
9,7,79,1605.8,638,2.51693,1,1,1,1
2,6,80,1462.34,581,2.51693,1,1,1,1
9,2,81,1243.37,494,2.51693,1,1,1,1
7,5,82,1228.26,488,2.51693,1,1,1,1
2,8,83,1218.2,484,2.51693,1,1,1,1
7,8,84,1084.8,431,2.51693,1,1,1,1
2,9,85,765.148,304,2.51693,1,1,1,1
2,5,86,727.394,289,2.51693,1,1,1,1
7,2,87,362.439,144,2.51693,2,1.5,1,2
5,0,88,50522.4,20073,2.51693,13,2.30769,1,11
2,7,89,317.134,126,2.51693,1,1,1,1
