source,destination,link_id,used_rate_c,usage,capacity_c
9,0,50,39698.4,0.874931,45373.1
9,2,48,9885.86,0.177637,55652.2
9,3,46,10553.3,0.177801,59354.8
9,5,44,7172.91,0.122495,58556.7
9,7,42,9519.97,0.175732,54173.2
9,4,40,11757.5,0.20334,57821.8
9,6,4,9318.47,0.167441,55652.2
9,1,2,18177.6,0.334147,54400
9,8,0,12198.6,0.213475,57142.9
8,0,86,39638.6,0.873613,45373.1
8,7,85,7687.47,0.141905,54173.2
8,1,81,19915.5,0.366094,54400
8,5,69,3341.76,0.0570689,58556.7
8,3,59,8288.49,0.139643,59354.8
8,4,38,14367.3,0.248476,57821.8
8,6,31,13054.7,0.234576,55652.2
8,2,9,5875.3,0.105572,55652.2
8,9,1,7976.98,0.139597,57142.9
7,8,84,10386.9,0.191734,54173.2
7,4,82,14357.4,0.248305,57821.8
7,3,61,8234.49,0.138733,59354.8
7,9,43,12926.4,0.238613,54173.2
7,0,36,39874.5,0.878814,45373.1
7,1,35,20843.3,0.383149,54400
7,6,33,15106.8,0.271451,55652.2
7,5,25,6975.16,0.119118,58556.7
7,2,11,8579.77,0.154168,55652.2
6,1,74,18991.8,0.349113,54400
6,0,72,40129.9,0.884442,45373.1
6,5,71,3849.79,0.0657446,58556.7
6,3,63,8675.84,0.146169,59354.8
6,7,32,12430.1,0.223353,55652.2
6,8,30,10746.2,0.193096,55652.2
6,4,28,10703.3,0.185108,57821.8
6,2,15,6465.92,0.116184,55652.2
6,9,5,7192.23,0.129235,55652.2
5,6,70,15539.4,0.265374,58556.7
5,8,68,12752.5,0.21778,58556.7
5,0,66,39826.8,0.877762,45373.1
5,3,65,15033.4,0.253281,59354.8
5,9,45,12267.1,0.209491,58556.7
5,1,26,20406.3,0.375116,54400
5,7,24,12431,0.212291,58556.7
5,4,22,16630.5,0.287617,57821.8
5,2,13,14498.4,0.260518,55652.2
4,0,88,40414.1,0.890706,45373.1
4,7,83,10605.6,0.183418,57821.8
4,1,79,20561.4,0.377967,54400
4,9,41,10517.5,0.181895,57821.8
4,8,39,12523.7,0.216592,57821.8
4,6,29,15456.4,0.267311,57821.8
4,5,23,8766.51,0.151613,57821.8
4,3,19,10288.2,0.173334,59354.8
4,2,7,10390.5,0.186703,55652.2
3,5,64,5060.42,0.0852571,59354.8
3,6,62,10732,0.180812,59354.8
3,7,60,7503.05,0.12641,59354.8
3,8,58,7601.3,0.128065,59354.8
3,2,57,7642.84,0.137332,55652.2
3,9,47,6302.84,0.106189,59354.8
3,1,20,18898.7,0.347403,54400
3,4,18,12103.7,0.203921,59354.8
3,0,16,39798.1,0.877129,45373.1
2,3,56,11841,0.212767,55652.2
2,1,54,18922.7,0.347844,54400
2,0,52,39641.8,0.873685,45373.1
2,9,49,4693.03,0.0843278,55652.2
2,6,14,9901.65,0.17792,55652.2
2,5,12,4233.18,0.076065,55652.2
2,7,10,8866.29,0.159316,55652.2
2,8,8,8374.55,0.15048,55652.2
2,4,6,13520.7,0.242949,55652.2
1,8,80,10992.7,0.202071,54400
1,4,78,10539.7,0.193745,54400
1,0,76,40567.3,0.894082,45373.1
1,6,75,15291.6,0.281096,54400
1,2,55,13856.8,0.25472,54400
1,7,34,13962.4,0.256661,54400
1,5,27,8327.83,0.153085,54400
1,3,21,12748.9,0.234354,54400
1,9,3,12734.3,0.234086,54400
0,4,89,45373.1,1,45373.1
0,8,87,45373.1,1,45373.1
0,1,77,45373.1,1,45373.1
0,6,73,45373.1,1,45373.1
0,5,67,45373.1,1,45373.1
0,2,53,45373.1,1,45373.1
0,9,51,45373.1,1,45373.1
0,7,37,45373.1,1,45373.1
0,3,17,45373.1,1,45373.1
