source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,121657,55916,2.17571,12,2.16667,1
0,6,1,43229.2,19869,2.17571,12,2.16667,1
0,7,2,42646.1,19601,2.17571,9,1.88889,1
0,8,3,40235.4,18493,2.17571,9,1.88889,1
6,0,4,32872.8,15109,2.17571,5,1.8,1
3,0,5,31167.1,14325,2.17571,6,1.83333,1
9,0,6,30986.5,14242,2.17571,7,1.85714,1
2,0,7,27672.9,12719,2.17571,7,1.85714,1
8,0,8,27126.8,12468,2.17571,7,1.85714,1
7,0,9,21689.7,9969,2.17571,7,2,1
7,6,10,20849.9,9583,2.17571,4,1.75,1
0,4,11,71795.8,34354,2.08988,9,1.88889,1
7,9,12,19281.2,8862,2.17571,5,1.8,1
5,4,13,15717.3,7224,2.17571,4,1.75,1
5,6,14,12077.4,5551,2.17571,3,1.66667,1
4,1,15,10393.4,4777,2.17571,6,1.83333,1
1,2,16,9799.41,4504,2.17571,1,1,1
1,4,17,9427.36,4333,2.17571,1,1,1
1,3,18,8698.5,3998,2.17571,3,1.66667,1
3,1,19,8217.67,3777,2.17571,3,1.66667,1
5,1,20,7982.69,3669,2.17571,1,1,1
6,1,21,7591.06,3489,2.17571,3,1.66667,1
0,3,22,54484,29648,1.8377,9,1.88889,1
1,6,23,7062.36,3246,2.17571,1,1,1
6,7,24,6984.04,3210,2.17571,1,1,1
9,8,25,6775.17,3114,2.17571,2,1.5,1
1,9,26,6527.14,3000,2.17571,1,1,1
4,2,27,6398.77,2941,2.17571,3,1.66667,1
1,5,28,6170.32,2836,2.17571,1,1,1
4,5,29,6096.35,2802,2.17571,1,1,1
8,1,30,6074.59,2792,2.17571,4,1.75,1
1,8,31,5709.07,2624,2.17571,1,1,1
2,1,32,5558.94,2555,2.17571,2,1.5,1
4,0,33,62680.1,28809,2.17571,8,1.875,1
2,3,34,5086.82,2338,2.17571,1,1,1
1,7,35,4693.01,2157,2.17571,1,1,1
5,9,36,4329.67,1990,2.17571,1,1,1
7,4,37,4253.52,1955,2.17571,1,1,1
6,4,38,4216.53,1938,2.17571,1,1,1
4,3,39,4162.14,1913,2.17571,1,1,1
6,3,40,4107.74,1888,2.17571,1,1,1
5,3,41,4022.89,1849,2.17571,3,1.66667,1
4,6,42,4012.01,1844,2.17571,1,1,1
8,3,43,3959.8,1820,2.17571,1,1,1
1,0,44,57360.5,26364,2.17571,8,1.875,1
9,1,45,3918.46,1801,2.17571,1,1,1
6,5,46,3885.82,1786,2.17571,1,1,1
4,9,47,3796.62,1745,2.17571,1,1,1
4,7,48,3777.04,1736,2.17571,1,1,1
8,9,49,3740.05,1719,2.17571,1,1,1
4,8,50,3737.87,1718,2.17571,1,1,1
3,4,51,3605.16,1657,2.17571,1,1,1
6,9,52,3141.73,1444,2.17571,1,1,1
3,6,53,3135.2,1441,2.17571,1,1,1
8,4,54,2854.53,1312,2.17571,1,1,1
0,2,55,28618.6,24021,1.1914,9,1.88889,1
7,1,56,2850.18,1310,2.17571,5,1.8,1
6,8,57,2715.29,1248,2.17571,1,1,1
8,6,58,2673.95,1229,2.17571,1,1,1
8,2,59,2613.03,1201,2.17571,1,1,1
3,9,60,2523.83,1160,2.17571,1,1,1
9,4,61,2408.51,1107,2.17571,2,1.5,1
3,5,62,2391.11,1099,2.17571,1,1,1
5,8,63,2321.48,1067,2.17571,1,1,1
3,2,64,2258.39,1038,2.17571,1,1,1
3,8,65,2127.85,978,2.17571,1,1,1
0,5,66,13764.8,22258,0.618421,9,1.88889,1
2,4,67,2038.64,937,2.17571,1,1,1
9,3,68,2025.59,931,2.17571,1,1,1
6,2,69,1908.1,877,2.17571,1,1,1
5,2,70,1812.37,833,2.17571,1,1,1
8,5,71,1742.75,801,2.17571,1,1,1
5,7,72,1738.39,799,2.17571,1,1,1
9,6,73,1636.14,752,2.17571,1,1,1
9,5,74,1525.17,701,2.17571,1,1,1
7,3,75,1520.82,699,2.17571,1,1,1
8,7,76,1518.65,698,2.17571,1,1,1
0,9,77,6603.82,21108,0.312858,11,2.09091,1
3,7,78,1435.97,660,2.17571,1,1,1
9,7,79,1388.1,638,2.17571,1,1,1
2,6,80,1264.09,581,2.17571,1,1,1
9,2,81,1074.8,494,2.17571,1,1,1
7,5,82,1061.75,488,2.17571,1,1,1
2,8,83,1053.04,484,2.17571,1,1,1
7,8,84,937.732,431,2.17571,1,1,1
2,9,85,661.417,304,2.17571,1,1,1
2,5,86,628.781,289,2.17571,1,1,1
7,2,87,313.303,144,2.17571,1,1,1
5,0,88,43673.1,20073,2.17571,7,1.85714,1
2,7,89,274.14,126,2.17571,1,1,1
