source,destination,link_id,used_rate,usage,link_capa
9,0,50,32491.6,0.406145,80000
9,2,48,7921.06,0.0990133,80000
9,3,46,9463.56,0.118294,80000
9,5,44,4790.72,0.059884,80000
9,7,42,4441.09,0.0555136,80000
9,4,40,11018.6,0.137733,80000
9,6,4,4798.22,0.0599777,80000
9,1,2,9130.54,0.114132,80000
9,8,0,7541.39,0.0942673,80000
8,0,86,32201.5,0.402519,80000
8,7,85,7709.57,0.0963696,80000
8,1,81,14698.4,0.18373,80000
8,5,69,4398.86,0.0549858,80000
8,3,59,5442.08,0.068026,80000
8,4,38,5667.95,0.0708494,80000
8,6,31,10007.7,0.125096,80000
8,2,9,5401.78,0.0675223,80000
8,9,1,8023.58,0.100295,80000
7,8,84,6116.25,0.0764531,80000
7,4,82,8513.28,0.106416,80000
7,3,61,7118.44,0.0889806,80000
7,9,43,11997,0.149962,80000
7,0,36,31160.7,0.389509,80000
7,1,35,16330.4,0.20413,80000
7,6,33,12547.3,0.156841,80000
7,5,25,7391.38,0.0923923,80000
7,2,11,9089.56,0.113619,80000
6,1,74,17095.5,0.213694,80000
6,0,72,32574.9,0.407186,80000
6,5,71,5847.22,0.0730902,80000
6,3,63,6655.98,0.0831998,80000
6,7,32,7037.48,0.0879685,80000
6,8,30,3604.89,0.0450611,80000
6,4,28,10484.8,0.13106,80000
6,2,15,4931.98,0.0616497,80000
6,9,5,9110.18,0.113877,80000
5,6,70,11895.9,0.148699,80000
5,8,68,10198.6,0.127483,80000
5,0,66,31935.2,0.39919,80000
5,3,65,12728,0.1591,80000
5,9,45,9577.17,0.119715,80000
5,1,26,11127.4,0.139093,80000
5,7,24,9443.1,0.118039,80000
5,4,22,12320.5,0.154006,80000
5,2,13,8860.1,0.110751,80000
4,0,88,32668.4,0.408355,80000
4,7,83,9315.74,0.116447,80000
4,1,79,16196,0.20245,80000
4,9,41,11476.8,0.143461,80000
4,8,39,8683.17,0.10854,80000
4,6,29,10025.5,0.125319,80000
4,5,23,8564.88,0.107061,80000
4,3,19,9585.81,0.119823,80000
4,2,7,8512.7,0.106409,80000
3,5,64,4771.14,0.0596393,80000
3,6,62,7301.51,0.0912689,80000
3,7,60,4770,0.059625,80000
3,8,58,4721.83,0.0590229,80000
3,2,57,4929.12,0.0616139,80000
3,9,47,8014.58,0.100182,80000
3,1,20,14830.6,0.185383,80000
3,4,18,8472.09,0.105901,80000
3,0,16,31722.1,0.396526,80000
2,3,56,11370.5,0.142131,80000
2,1,54,12858.2,0.160727,80000
2,0,52,31108.3,0.388854,80000
2,9,49,5164.88,0.064561,80000
2,6,14,5579.7,0.0697462,80000
2,5,12,2099.72,0.0262465,80000
2,7,10,2162.46,0.0270308,80000
2,8,8,5006.02,0.0625752,80000
2,4,6,7122.51,0.0890313,80000
1,8,80,9589.67,0.119871,80000
1,4,78,11699.3,0.146242,80000
1,0,76,32944.9,0.411811,80000
1,6,75,8491.62,0.106145,80000
1,2,55,11065.8,0.138323,80000
1,7,34,7809.12,0.097614,80000
1,5,27,11324.2,0.141553,80000
1,3,21,11783.1,0.147288,80000
1,9,3,10840.4,0.135505,80000
0,4,89,51973.8,0.649672,80000
0,8,87,49555.5,0.619444,80000
0,1,77,53935.6,0.674195,80000
0,6,73,51263.6,0.640795,80000
0,5,67,50163,0.627038,80000
0,2,53,51226.1,0.640327,80000
0,9,51,50292.1,0.628651,80000
0,7,37,50422.9,0.630286,80000
0,3,17,50904.1,0.636301,80000
