source,destination,link_id,used_rate_c,usage,capacity_c
9,0,50,14242,0.29536,48219.2
9,2,48,494,0.00690147,71578.9
9,3,46,931,0.0121327,76734.7
9,5,44,701,0.00979338,71578.9
9,7,42,638,0.00954152,66865.7
9,4,40,1107,0.0159262,69508.2
9,6,4,752,0.0105059,71578.9
9,1,2,1801,0.0234705,76734.7
9,8,0,3114,0.0421026,73962.3
8,0,86,12468,0.258569,48219.2
8,7,85,698,0.0104388,66865.7
8,1,81,2792,0.0363851,76734.7
8,5,69,801,0.0111904,71578.9
8,3,59,1820,0.0237181,76734.7
8,4,38,1312,0.0188755,69508.2
8,6,31,1229,0.0166166,73962.3
8,2,9,1201,0.0167787,71578.9
8,9,1,1719,0.0232416,73962.3
7,8,84,431,0.00644576,66865.7
7,4,82,1955,0.0281262,69508.2
7,3,61,699,0.00910931,76734.7
7,9,43,8862,0.132534,66865.7
7,0,36,9969,0.206743,48219.2
7,1,35,1310,0.0170718,76734.7
7,6,33,9583,0.143317,66865.7
7,5,25,488,0.00681765,71578.9
7,2,11,144,0.00201176,71578.9
6,1,74,3489,0.0454684,76734.7
6,0,72,15109,0.31334,48219.2
6,5,71,1786,0.0249515,71578.9
6,3,63,1888,0.0246043,76734.7
6,7,32,3210,0.0480067,66865.7
6,8,30,1248,0.0168735,73962.3
6,4,28,1938,0.0278816,69508.2
6,2,15,877,0.0122522,71578.9
6,9,5,1444,0.0201735,71578.9
5,6,70,5551,0.0775507,71578.9
5,8,68,1067,0.0149066,71578.9
5,0,66,20073,0.416287,48219.2
5,3,65,1849,0.024096,76734.7
5,9,45,1990,0.0278015,71578.9
5,1,26,3669,0.0478141,76734.7
5,7,24,799,0.0111625,71578.9
5,4,22,7224,0.10393,69508.2
5,2,13,833,0.0116375,71578.9
4,0,88,28809,0.597459,48219.2
4,7,83,1736,0.0249755,69508.2
4,1,79,4777,0.0622535,76734.7
4,9,41,1745,0.025105,69508.2
4,8,39,1718,0.0247165,69508.2
4,6,29,1844,0.0265292,69508.2
4,5,23,2802,0.0403118,69508.2
4,3,19,1913,0.0249301,76734.7
4,2,7,2941,0.0410875,71578.9
3,5,64,1099,0.0143221,76734.7
3,6,62,1441,0.018779,76734.7
3,7,60,660,0.00860106,76734.7
3,8,58,978,0.0127452,76734.7
3,2,57,1038,0.0145015,71578.9
3,9,47,1160,0.015117,76734.7
3,1,20,3777,0.0492215,76734.7
3,4,18,1657,0.0215939,76734.7
3,0,16,14325,0.297081,48219.2
2,3,56,2338,0.0326632,71578.9
2,1,54,2555,0.0332965,76734.7
2,0,52,12719,0.263775,48219.2
2,9,49,304,0.00424706,71578.9
2,6,14,581,0.00811691,71578.9
2,5,12,289,0.0040375,71578.9
2,7,10,126,0.00176029,71578.9
2,8,8,484,0.00676176,71578.9
2,4,6,937,0.0130904,71578.9
1,8,80,2624,0.0341957,76734.7
1,4,78,4333,0.0564673,76734.7
1,0,76,26364,0.546753,48219.2
1,6,75,3246,0.0423016,76734.7
1,2,55,4504,0.0586957,76734.7
1,7,34,2157,0.0281098,76734.7
1,5,27,2836,0.0369585,76734.7
1,3,21,3998,0.0521016,76734.7
1,9,3,3000,0.0390957,76734.7
0,4,89,34354,0.712455,48219.2
0,8,87,18493,0.38352,48219.2
0,1,77,48219.2,1,48219.2
0,6,73,19869,0.412056,48219.2
0,5,67,22258,0.461601,48219.2
0,2,53,24021,0.498163,48219.2
0,9,51,21108,0.437751,48219.2
0,7,37,19601,0.406498,48219.2
0,3,17,29648,0.614859,48219.2
