source,destination,link_id,used_rate,usage,link_capa
10,2,42,132.077,0.852112,155
10,9,40,131.841,0.850587,155
9,8,93,47.8419,0.308658,155
9,7,91,47.2274,0.304693,155
9,5,81,47.6765,0.30759,155
9,4,77,47.251,0.304845,155
9,3,71,46.6601,0.301033,155
9,1,57,47.7159,0.307844,155
9,0,55,47.6292,0.307285,155
9,10,41,97.827,0.631142,155
9,6,37,47.054,0.303574,155
9,2,17,47.448,0.306116,155
8,9,92,40.018,0.25818,155
8,6,87,12.0472,0.0777236,155
8,5,83,15.5061,0.100039,155
8,0,45,16.6407,0.107359,155
8,7,39,7.29605,0.0470713,155
8,4,29,14.6709,0.0946509,155
8,3,23,11.9526,0.0771136,155
8,2,19,20.5093,0.132318,155
8,1,7,9.81736,0.0633378,155
7,9,90,40.2937,0.25996,155
7,6,89,14.6157,0.0942951,155
7,5,85,16.9401,0.109291,155
7,3,73,15.3879,0.0992767,155
7,2,63,21.6754,0.139841,155
7,8,38,11.4562,0.0739111,155
7,4,31,12.8351,0.0828068,155
7,1,9,12.5041,0.0806719,155
7,0,1,18.3662,0.118492,155
6,7,88,6.81543,0.0439705,155
6,8,86,9.76221,0.062982,155
6,2,65,17.3183,0.111731,155
6,0,47,9.55735,0.0616603,155
6,9,36,39.9234,0.25757,155
6,5,35,6.62633,0.0427505,155
6,4,33,5.2396,0.0338039,155
6,3,25,11.9132,0.0768594,155
6,1,11,5.09778,0.0328889,155
5,7,84,8.15487,0.0526121,155
5,8,82,14.466,0.0933293,155
5,9,80,41.1132,0.265246,155
5,4,79,11.4877,0.0741144,155
5,1,59,13.3945,0.086416,155
5,6,34,13.7806,0.0889068,155
5,3,27,14.9624,0.0965317,155
5,2,21,21.896,0.141265,155
5,0,3,17.7595,0.114577,155
4,5,78,10.2507,0.0661336,155
4,9,76,40.4671,0.261078,155
4,3,75,17.8777,0.11534,155
4,2,67,22.5658,0.145586,155
4,6,32,16.5855,0.107003,155
4,7,30,13.7963,0.0890085,155
4,8,28,16.8692,0.108833,155
4,1,15,10.4635,0.0675061,155
4,0,5,14.206,0.0916518,155
3,4,74,3.10437,0.0200282,155
3,7,72,8.13124,0.0524596,155
3,9,70,39.5767,0.255334,155
3,2,69,16.6013,0.107105,155
3,0,49,9.62039,0.062067,155
3,5,26,10.5738,0.0682178,155
3,6,24,3.67166,0.0236881,155
3,8,22,9.82524,0.0633887,155
3,1,13,5.05051,0.0325839,155
2,3,68,19.6505,0.126777,155
2,4,66,17.8619,0.115238,155
2,6,64,19.6111,0.126523,155
2,7,62,21.5415,0.138977,155
2,1,61,20.6511,0.133233,155
2,0,51,22.1482,0.142891,155
2,10,43,98.0239,0.632413,155
2,5,20,20.6905,0.133487,155
2,8,18,22.1245,0.142739,155
2,9,16,39.6398,0.25574,155
1,2,60,21.116,0.136232,155
1,5,58,10.7944,0.0696411,155
1,9,56,40.1992,0.25935,155
1,0,53,12.0708,0.0778761,155
1,4,14,9.18704,0.0592712,155
1,3,12,18.8074,0.121338,155
1,6,10,14.6867,0.0947526,155
1,7,8,10.1798,0.0656761,155
1,8,6,13.3551,0.0861618,155
0,9,54,40.7744,0.26306,155
0,1,52,11.5035,0.0742161,155
0,2,50,22.0773,0.142434,155
0,3,48,14.923,0.0962776,155
0,6,46,14.0484,0.0906351,155
0,8,44,11.9447,0.0770627,155
0,4,4,11.795,0.0760969,155
0,5,2,12.1102,0.0781302,155
0,7,0,15.4588,0.0997342,155
