source,destination,link_id,used_rate_c,usage,capacity_c
10,2,42,105.728,1,105.728
10,9,40,93.7072,1,93.7072
9,8,93,47.1722,0.338697,139.275
9,7,91,37.1815,0.288552,128.855
9,5,81,47.6765,0.362681,131.456
9,4,77,45.9115,0.337857,135.89
9,3,71,41.972,0.342997,122.368
9,1,57,45.7067,0.33635,135.89
9,0,55,38.5367,0.3019,127.647
9,10,41,93.7072,1,93.7072
9,6,37,45.0448,0.373644,120.556
9,2,17,43.5242,0.41166,105.728
8,9,92,40.018,0.28733,139.275
8,6,87,12.0472,0.0999303,120.556
8,5,83,15.5061,0.117957,131.456
8,0,45,16.6407,0.130365,127.647
8,7,39,6.62633,0.0514245,128.855
8,4,29,14.6709,0.107961,135.89
8,3,23,11.9526,0.0976772,122.368
8,2,19,20.5093,0.193981,105.728
8,1,7,9.81736,0.0722447,135.89
7,9,90,40.2937,0.312705,128.855
7,6,89,14.6157,0.121237,120.556
7,5,85,16.9401,0.128865,131.456
7,3,73,15.3879,0.125751,122.368
7,2,63,21.6754,0.20501,105.728
7,8,38,11.4562,0.0889075,128.855
7,4,31,12.8351,0.0944516,135.89
7,1,9,12.5041,0.0920163,135.89
7,0,1,18.3662,0.143883,127.647
6,7,88,4.80625,0.0398675,120.556
6,8,86,9.76221,0.0809769,120.556
6,2,65,16.5934,0.156943,105.728
6,0,47,8.26518,0.0647503,127.647
6,9,36,36.7098,0.304505,120.556
6,5,35,6.62633,0.0504073,131.456
6,4,33,5.2396,0.0385576,135.89
6,3,25,11.732,0.0958743,122.368
6,1,11,5.09778,0.0375139,135.89
5,7,84,8.15487,0.0620351,131.456
5,8,82,14.466,0.110045,131.456
5,9,80,41.1132,0.312753,131.456
5,4,79,11.4877,0.0845368,135.89
5,1,59,13.3945,0.0985682,135.89
5,6,34,13.7806,0.10483,131.456
5,3,27,14.9624,0.122274,122.368
5,2,21,21.896,0.207097,105.728
5,0,3,17.7595,0.13913,127.647
4,5,78,10.2507,0.0754337,135.89
4,9,76,40.4671,0.297792,135.89
4,3,75,17.8777,0.146097,122.368
4,2,67,22.5658,0.213431,105.728
4,6,32,16.5855,0.122051,135.89
4,7,30,12.4569,0.0916685,135.89
4,8,28,16.8692,0.124138,135.89
4,1,15,10.4635,0.0769992,135.89
4,0,5,12.2678,0.0961069,127.647
3,4,74,3.10437,0.025369,122.368
3,7,72,3.44317,0.0281377,122.368
3,9,70,39.3955,0.321942,122.368
3,2,69,16.6013,0.157018,105.728
3,0,49,5.74387,0.044998,127.647
3,5,26,10.5738,0.0864092,122.368
3,6,24,3.67166,0.030005,122.368
3,8,22,9.82524,0.0802923,122.368
3,1,13,5.05051,0.037166,135.89
2,3,68,15.774,0.149193,105.728
2,4,66,15.9237,0.150609,105.728
2,6,64,18.3189,0.173264,105.728
2,7,62,8.14699,0.0770558,105.728
2,1,61,20.6511,0.151969,135.89
2,0,51,12.3768,0.0969615,127.647
2,10,43,98.0239,0.927129,105.728
2,5,20,20.6905,0.195695,105.728
2,8,18,22.1245,0.209258,105.728
2,9,16,38.9149,0.368064,105.728
1,2,60,21.116,0.15539,135.89
1,5,58,10.7944,0.0794344,135.89
1,9,56,40.1992,0.295821,135.89
1,0,53,12.0708,0.0945638,127.647
1,4,14,9.18704,0.0676062,135.89
1,3,12,18.8074,0.138401,135.89
1,6,10,14.6867,0.108077,135.89
1,7,8,8.17063,0.0601266,135.89
1,8,6,13.3551,0.0982783,135.89
0,9,54,40.7744,0.319431,127.647
0,1,52,11.5035,0.0901195,127.647
0,2,50,22.0773,0.172955,127.647
0,3,48,14.923,0.116908,127.647
0,6,46,14.0484,0.110057,127.647
0,8,44,11.9447,0.0935762,127.647
0,4,4,11.795,0.0924034,127.647
0,5,2,12.1102,0.0948724,127.647
0,7,0,14.1194,0.110612,127.647
