source,destination,link_id,used_rate_c,usage,capacity_c
10,2,42,119.703,1,119.703
10,9,40,107.308,1,107.308
9,8,93,53.4652,0.498242,107.308
9,7,91,45.6171,0.425105,107.308
9,5,81,78.9715,0.735935,107.308
9,4,77,50.5221,0.470815,107.308
9,3,71,44.636,0.307498,145.159
9,1,57,45.1266,0.420534,107.308
9,0,55,48.0696,0.44796,107.308
9,10,41,107.308,1,107.308
9,6,37,55.4272,0.516526,107.308
9,2,17,32.8639,0.274545,119.703
8,9,92,38.75,0.361111,107.308
8,6,87,2.45253,0.0158228,155
8,5,83,23.5443,0.151899,155
8,0,45,23.5443,0.151899,155
8,7,39,4.90506,0.0316455,155
8,4,29,18.6392,0.120253,155
8,3,23,2.45253,0.0168955,145.159
8,2,19,38.2595,0.31962,119.703
8,1,7,6.86708,0.0443038,155
7,9,90,76.0284,0.708509,107.308
7,6,89,3.92405,0.0253164,155
7,5,85,24.5253,0.158228,155
7,3,73,3.43354,0.0236537,145.159
7,2,63,12.7532,0.10654,119.703
7,8,38,5.39557,0.0348101,155
7,4,31,12.7532,0.0822784,155
7,1,9,5.88607,0.0379747,155
7,0,1,30.9019,0.199367,155
6,7,88,3.92405,0.0253164,155
6,8,86,2.45253,0.0158228,155
6,2,65,1.96202,0.0163908,119.703
6,0,47,2.45253,0.0158228,155
6,9,36,18.0356,0.168074,107.308
6,5,35,2.45253,0.0158228,155
6,4,33,5.88607,0.0379747,155
6,3,25,9.31961,0.0642029,145.159
6,1,11,1.96202,0.0126582,155
5,7,84,5.88607,0.0379747,155
5,8,82,17.6582,0.113924,155
5,9,80,49.0506,0.457102,107.308
5,4,79,5.88607,0.0379747,155
5,1,59,8.82911,0.056962,155
5,6,34,3.43354,0.0221519,155
5,3,27,2.45253,0.0168955,145.159
5,2,21,45.6171,0.381085,119.703
5,0,3,24.0348,0.155063,155
4,5,78,5.39557,0.0348101,155
4,9,76,40.2215,0.374824,107.308
4,3,75,19.6202,0.135164,145.159
4,2,67,34.3354,0.286838,119.703
4,6,32,15.6962,0.101266,155
4,7,30,11.7721,0.0759493,155
4,8,28,10.7911,0.0696202,155
4,1,15,5.88607,0.0379747,155
4,0,5,7.35759,0.0474683,155
3,4,74,2.94304,0.0202746,145.159
3,7,72,3.92405,0.0270328,145.159
3,9,70,17.1677,0.118269,145.159
3,2,69,17.1677,0.143419,119.703
3,0,49,2.94304,0.0202746,145.159
3,5,26,1.96202,0.0135164,145.159
3,6,24,1.96202,0.0135164,145.159
3,8,22,2.45253,0.0168955,145.159
3,1,13,1.96202,0.0135164,145.159
2,3,68,3.43354,0.0286838,119.703
2,4,66,4.90506,0.0409769,119.703
2,6,64,6.37658,0.05327,119.703
2,7,62,6.37658,0.05327,119.703
2,1,61,43.655,0.364695,119.703
2,0,51,11.7917,0.0985076,119.703
2,10,43,115.269,0.962958,119.703
2,5,20,4.90506,0.0409769,119.703
2,8,18,57.3892,0.47943,119.703
2,9,16,26.9778,0.225373,119.703
1,2,60,4.90506,0.0409769,119.703
1,5,58,5.39557,0.0348101,155
1,9,56,65.7278,0.612517,107.308
1,0,53,4.90506,0.0316455,155
1,4,14,4.90506,0.0316455,155
1,3,12,37.769,0.260191,145.159
1,6,10,10.3006,0.0664557,155
1,7,8,5.88607,0.0379747,155
1,8,6,6.86708,0.0443038,155
0,9,54,80.443,0.749648,107.308
0,1,52,9.81012,0.0632911,155
0,2,50,22.0728,0.184396,119.703
0,3,48,6.86708,0.0473074,145.159
0,6,46,7.8481,0.0506329,155
0,8,44,13.7342,0.0886075,155
0,4,4,9.81012,0.0632911,155
0,5,2,8.82911,0.056962,155
0,7,0,15.6962,0.101266,155
