source,destination,link_id,used_rate,usage,link_capa
10,8,76,0.85011,0.85011,1
10,5,74,0.779594,0.779594,1
10,2,64,0.685573,0.685573,1
10,3,50,0.771759,0.771759,1
10,7,48,0.775676,0.775676,1
10,6,46,0.807017,0.807017,1
10,1,45,0.767841,0.767841,1
10,0,43,0.0274229,0.0274229,1
9,5,69,0.52887,0.52887,1
9,2,61,0,0,1
9,1,59,0.0509282,0.0509282,1
9,0,57,0,0,1
9,6,55,0.0744336,0.0744336,1
9,3,41,0,0,1
9,7,39,0.289899,0.289899,1
9,8,36,0.760006,0.760006,1
8,10,77,0,0,1
8,6,71,0.0979389,0.0979389,1
8,9,37,0.650314,0.650314,1
8,4,35,0.399591,0.399591,1
8,2,29,0,0,1
8,3,21,0.305569,0.305569,1
8,0,7,0,0,1
7,0,73,0,0,1
7,10,49,0.00783511,0.00783511,1
7,9,38,0.826605,0.826605,1
7,4,33,0.575881,0.575881,1
7,2,27,0.0156702,0.0156702,1
7,5,23,0.642479,0.642479,1
7,3,19,0.532788,0.532788,1
7,1,17,0.442684,0.442684,1
7,6,1,0.763924,0.763924,1
6,4,81,0.67382,0.67382,1
6,8,70,0.830522,0.830522,1
6,9,54,0.822687,0.822687,1
6,3,52,0.677737,0.677737,1
6,10,47,0.00783511,0.00783511,1
6,0,5,0,0,1
6,7,0,0.697325,0.697325,1
5,3,83,0.0940214,0.0940214,1
5,10,75,0,0,1
5,9,68,0.818769,0.818769,1
5,4,31,0.164537,0.164537,1
5,2,25,0,0,1
5,7,22,0.16062,0.16062,1
5,1,15,0.0117527,0.0117527,1
4,6,80,0.763924,0.763924,1
4,3,79,0.646397,0.646397,1
4,2,67,0,0,1
4,8,34,0.822687,0.822687,1
4,7,32,0.654232,0.654232,1
4,5,30,0.677737,0.677737,1
4,1,13,0.231136,0.231136,1
3,5,82,0.654232,0.654232,1
3,4,78,0.595469,0.595469,1
3,6,53,0.763924,0.763924,1
3,10,51,0,0,1
3,9,40,0.818769,0.818769,1
3,8,20,0.814852,0.814852,1
3,7,18,0.654232,0.654232,1
3,1,11,0.246806,0.246806,1
2,4,66,0.775676,0.775676,1
2,10,65,0.662067,0.662067,1
2,9,60,0.842275,0.842275,1
2,8,28,0.842275,0.842275,1
2,7,26,0.775676,0.775676,1
2,5,24,0.775676,0.775676,1
2,1,9,0.767841,0.767841,1
2,0,3,0.0274229,0.0274229,1
1,0,63,0,0,1
1,9,58,0.826605,0.826605,1
1,10,44,0.00391756,0.00391756,1
1,7,16,0.654232,0.654232,1
1,5,14,0.669902,0.669902,1
1,4,12,0.611139,0.611139,1
1,3,10,0.650314,0.650314,1
1,2,8,0.419179,0.419179,1
0,7,72,0.885368,0.885368,1
0,1,62,0.88145,0.88145,1
0,9,56,0.88145,0.88145,1
0,10,42,0.869698,0.869698,1
0,8,6,0.88145,0.88145,1
0,6,4,0.873615,0.873615,1
0,2,2,0.869698,0.869698,1
