source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,4,0,70.5349,184,0.383342,4,4.5,3,3
0,5,1,29.5173,77,0.383342,3,3.66667,3,3
0,7,2,29.5173,77,0.383342,5,4.2,3,5
0,8,3,104.269,272,0.383342,4,3,2,4
0,11,4,52.1345,136,0.383342,7,4.71429,4,6
0,12,5,40.6342,106,0.383342,10,4.7,3,9
0,14,6,122.669,320,0.383342,6,3.5,2,5
0,16,7,18.4004,48,0.383342,6,4.83333,4,6
0,19,8,81.6518,213,0.383342,11,4.90909,3,10
0,21,9,115.386,301,0.383342,16,5,3,12
0,22,10,70.5349,184,0.383342,29,6.44828,4,21
0,24,11,40.6342,106,0.383342,2,1.5,1,2
1,0,12,29.5173,77,0.383342,1,1,1,1
1,3,13,29.5173,77,0.383342,1,2,2,1
1,8,14,156.403,408,0.383342,2,2.5,2,2
1,9,15,78.2017,204,0.383342,10,5.3,3,9
1,10,16,44.4677,116,0.383342,9,4.77778,3,9
1,11,17,78.2017,204,0.383342,6,4.83333,4,5
1,13,18,29.5173,77,0.383342,6,4.5,3,5
1,15,19,122.669,320,0.383342,8,4.75,3,8
1,19,20,122.669,320,0.383342,13,5,3,12
1,22,21,108.102,282,0.383342,18,5.72222,4,15
2,0,22,40.6342,106,0.383342,1,2,2,1
2,1,23,59.418,155,0.383342,2,2.5,2,2
2,3,24,40.6342,106,0.383342,3,3,2,3
2,10,25,59.418,155,0.383342,3,2.66667,2,3
2,15,26,167.52,437,0.383342,4,2.5,2,4
2,18,27,40.6342,106,0.383342,4,4.75,4,4
2,19,28,167.52,437,0.383342,11,4.27273,3,9
2,23,29,186.304,486,0.383342,4,3.75,3,3
3,0,30,18.4004,48,0.383342,1,2,2,1
3,5,31,29.5173,77,0.383342,1,1,1,1
3,6,32,18.4004,48,0.383342,1,2,2,1
3,8,33,104.269,272,0.383342,4,3,2,4
3,15,34,81.6518,213,0.383342,11,4.54545,3,10
3,16,35,18.4004,48,0.383342,6,4.83333,4,6
3,17,36,52.1345,136,0.383342,5,4.6,3,5
3,24,37,40.6342,106,0.383342,1,1,1,1
4,1,38,108.102,282,0.383342,2,3.5,3,2
4,2,39,145.287,379,0.383342,1,3,3,1
4,3,40,70.5349,184,0.383342,2,1.5,1,2
4,6,41,70.5349,184,0.383342,1,2,2,1
