source,destination,link_id,used_rate_c,usage,capacity_c
24,8,88,1193.71,0.915373,1304.07
24,3,86,999.002,0.727759,1372.71
24,2,84,917.456,0.698925,1312.67
24,1,82,656.261,0.393756,1666.67
24,0,80,530.444,0.325207,1631.1
24,14,49,1281.1,1,1281.1
23,22,78,426.646,0.307276,1388.48
23,21,77,568.958,0.428947,1326.41
23,19,69,1089.44,0.834478,1305.54
22,23,79,1358.59,0.978477,1388.48
22,21,75,1291.68,0.973817,1326.41
21,23,76,839.496,0.632911,1326.41
21,22,74,534.664,0.403092,1326.41
21,19,72,1305.54,1,1305.54
21,8,70,1304.07,1,1304.07
21,14,47,1281.1,1,1281.1
20,19,67,1216.46,0.93177,1305.54
20,14,45,1087.82,0.849124,1281.1
19,21,73,1224.21,0.937705,1305.54
19,23,68,1289.01,0.987335,1305.54
19,20,66,1116.71,0.855364,1305.54
19,18,64,1197.67,0.858052,1395.8
19,14,43,1119.8,0.874091,1281.1
18,19,65,789.54,0.565654,1395.8
18,17,63,1300.82,0.932851,1394.45
17,18,62,654.707,0.469508,1394.45
17,14,41,1169.67,0.91302,1281.1
16,15,60,635.129,0.484924,1309.75
16,9,58,299.399,0.226983,1319.04
15,16,61,489.442,0.373691,1309.75
15,11,56,437.571,0.305634,1431.69
15,10,54,547.013,0.402732,1358.26
15,9,52,516.372,0.391477,1319.04
15,8,50,1304.07,1,1304.07
15,14,39,1281.1,1,1281.1
14,24,48,1281.1,1,1281.1
14,21,46,1281.1,1,1281.1
14,20,44,1281.1,1,1281.1
14,19,42,1281.1,1,1281.1
14,17,40,1281.1,1,1281.1
14,15,38,1281.1,1,1281.1
14,13,36,806.739,0.523772,1540.25
14,12,34,803.511,0.521064,1542.06
14,10,32,1358.26,1,1358.26
14,8,30,1304.07,1,1304.07
13,14,37,897.567,0.582742,1540.25
13,12,29,518.951,0.336532,1542.06
12,14,35,886.471,0.574863,1542.06
12,13,28,466.059,0.302232,1542.06
11,15,57,963.971,0.673312,1431.69
11,10,27,434.763,0.320089,1358.26
11,9,23,586.308,0.444498,1319.04
10,15,55,745.228,0.548665,1358.26
10,14,33,1358.26,1,1358.26
10,11,26,559.392,0.411846,1358.26
10,9,24,418.313,0.317135,1319.04
9,16,59,747.132,0.566423,1319.04
9,15,53,768.334,0.582497,1319.04
9,10,25,716.634,0.543302,1319.04
9,11,22,646.313,0.489989,1319.04
9,2,7,1312.67,1,1312.67
8,24,89,1147.36,0.879834,1304.07
8,21,71,1304.07,1,1304.07
8,15,51,1304.07,1,1304.07
8,14,31,1304.07,1,1304.07
8,7,21,1046.1,0.759106,1378.07
8,2,5,1129.13,0.86018,1312.67
7,8,20,1378.07,1,1378.07
7,6,18,648.406,0.481638,1346.25
7,5,17,890.026,0.660475,1347.55
6,7,19,424.441,0.315276,1346.25
6,5,15,858.359,0.636975,1347.55
6,2,3,1312.67,1,1312.67
5,7,16,851.819,0.632122,1347.55
5,6,14,834.934,0.619592,1347.55
5,4,12,916.664,0.616806,1486.15
5,3,10,907.034,0.660762,1372.71
4,5,13,830.066,0.558536,1486.15
4,3,8,878.46,0.639946,1372.71
3,24,87,1372.71,1,1372.71
3,5,11,288.035,0.20983,1372.71
3,4,9,799.194,0.582202,1372.71
2,24,85,893.212,0.680456,1312.67
2,9,6,1312.67,1,1312.67
2,8,4,705.754,0.537649,1312.67
2,6,2,948.985,0.722945,1312.67
1,24,83,765.552,0.459331,1666.67
1,0,1,192.295,0.117893,1631.1
0,24,81,768.312,0.47104,1631.1
0,1,0,378.382,0.23198,1631.1
