source,destination,link_id,used_rate,usage,link_capa
24,8,88,482.248,0.192899,2500
24,3,86,779.271,0.311708,2500
24,2,84,424.197,0.169679,2500
24,1,82,390.94,0.156376,2500
24,0,80,304.535,0.121814,2500
24,14,49,810.271,0.324108,2500
23,22,78,119.945,0.0479779,2500
23,21,77,848.959,0.339584,2500
23,19,69,968.763,0.387505,2500
22,23,79,585.652,0.234261,2500
22,21,75,824.519,0.329807,2500
21,23,76,451.248,0.180499,2500
21,22,74,445.393,0.178157,2500
21,19,72,750.386,0.300155,2500
21,8,70,1177.48,0.47099,2500
21,14,47,1069.59,0.427837,2500
20,19,67,545.941,0.218376,2500
20,14,45,816.619,0.326648,2500
19,21,73,526.226,0.210491,2500
19,23,68,642.433,0.256973,2500
19,20,66,697.908,0.279163,2500
19,18,64,569.253,0.227701,2500
19,14,43,934.483,0.373793,2500
18,19,65,288.312,0.115325,2500
18,17,63,625.398,0.250159,2500
17,18,62,224.548,0.0898193,2500
17,14,41,740.512,0.296205,2500
16,15,60,186.953,0.0747812,2500
16,9,58,40.4165,0.0161666,2500
15,16,61,247.754,0.0991017,2500
15,11,56,165.475,0.06619,2500
15,10,54,145.443,0.0581773,2500
15,9,52,246.132,0.0984527,2500
15,8,50,536.066,0.214426,2500
15,14,39,741.922,0.296769,2500
14,24,48,1035.95,0.414379,2500
14,21,46,815.808,0.326323,2500
14,20,44,613.513,0.245405,2500
14,19,42,758.357,0.303343,2500
14,17,40,675.408,0.270163,2500
14,15,38,1077,0.430799,2500
14,13,36,368.792,0.147517,2500
14,12,34,431.427,0.172571,2500
14,10,32,1048.96,0.419584,2500
14,8,30,1014.33,0.405731,2500
13,14,37,432.203,0.172881,2500
13,12,29,127.563,0.051025,2500
12,14,35,453.187,0.181275,2500
12,13,28,137.367,0.0549468,2500
11,15,57,371.719,0.148688,2500
11,10,27,170.271,0.0681086,2500
11,9,23,199.05,0.0796199,2500
10,15,55,312.964,0.125185,2500
10,14,33,705.879,0.282352,2500
10,11,26,378.914,0.151566,2500
10,9,24,325.378,0.130151,2500
9,16,59,236.01,0.094404,2500
9,15,53,369.885,0.147954,2500
9,10,25,370.45,0.14818,2500
9,11,22,268.597,0.107439,2500
9,2,7,594.822,0.237929,2500
8,24,89,620.814,0.248325,2500
8,21,71,983.505,0.393402,2500
8,15,51,740.476,0.296191,2500
8,14,31,817.818,0.327127,2500
8,7,21,792.461,0.316984,2500
8,2,5,652.166,0.260867,2500
7,8,20,791.649,0.31666,2500
7,6,18,268.879,0.107552,2500
7,5,17,574.155,0.229662,2500
6,7,19,98.3258,0.0393303,2500
6,5,15,457.56,0.183024,2500
6,2,3,706.549,0.28262,2500
5,7,16,334.794,0.133918,2500
5,6,14,397.57,0.159028,2500
5,4,12,629.384,0.251753,2500
5,3,10,273.076,0.10923,2500
4,5,13,353.521,0.141409,2500
4,3,8,446.345,0.178538,2500
3,24,87,674.279,0.269712,2500
3,5,11,39.0411,0.0156164,2500
3,4,9,546.258,0.218503,2500
2,24,85,317.478,0.126991,2500
2,9,6,621.096,0.248438,2500
2,8,4,387.343,0.154937,2500
2,6,2,603.392,0.241357,2500
1,24,83,354.086,0.141634,2500
1,0,1,13.578,0.00543119,2500
0,24,81,356.907,0.142763,2500
0,1,0,101.57,0.0406282,2500
