source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,4,0,76.4145,184,0.415296,1,3,3
0,5,1,31.9778,77,0.415296,2,3.5,3
0,7,2,31.9778,77,0.415296,2,3.5,3
0,8,3,112.961,272,0.415296,1,2,2
0,11,4,56.4803,136,0.415296,2,4,4
0,12,5,44.0214,106,0.415296,2,3.5,3
0,14,6,132.895,320,0.415296,1,2,2
0,16,7,19.9342,48,0.415296,1,4,4
0,19,8,88.458,213,0.415296,4,4,3
0,21,9,125.004,301,0.415296,2,3,3
0,22,10,76.4145,184,0.415296,6,4.66667,4
0,24,11,44.0214,106,0.415296,2,1.5,1
1,0,12,31.9778,77,0.415296,1,1,1
1,3,13,31.9778,77,0.415296,1,2,2
1,8,14,169.441,408,0.415296,1,2,2
1,9,15,84.7204,204,0.415296,1,3,3
1,10,16,48.1743,116,0.415296,2,3.5,3
1,11,17,84.7204,204,0.415296,1,4,4
1,13,18,31.9778,77,0.415296,2,3.5,3
1,15,19,132.895,320,0.415296,2,3.5,3
1,19,20,132.895,320,0.415296,4,4.25,3
1,22,21,117.113,282,0.415296,4,4.5,4
2,0,22,44.0214,106,0.415296,1,2,2
2,1,23,64.3709,155,0.415296,1,2,2
2,3,24,44.0214,106,0.415296,2,2.5,2
2,10,25,64.3709,155,0.415296,2,2.5,2
2,15,26,181.484,437,0.415296,3,2.33333,2
2,18,27,44.0214,106,0.415296,2,4.5,4
2,19,28,46.3449,437,0.106052,4,3.75,3
2,23,29,201.834,486,0.415296,1,3,3
3,0,30,19.9342,48,0.415296,1,2,2
3,5,31,31.9778,77,0.415296,1,1,1
3,6,32,19.9342,48,0.415296,1,2,2
3,8,33,112.961,272,0.415296,1,2,2
3,15,34,88.458,213,0.415296,6,4.33333,3
3,16,35,19.9342,48,0.415296,3,4.33333,4
3,17,36,56.4803,136,0.415296,1,3,3
3,24,37,44.0214,106,0.415296,1,1,1
4,1,38,117.113,282,0.415296,2,3.5,3
4,2,39,157.397,379,0.415296,1,3,3
4,3,40,76.4145,184,0.415296,1,1,1
4,6,41,76.4145,184,0.415296,1,2,2
4,10,42,117.113,282,0.415296,5,5,4
4,11,43,197.681,476,0.415296,5,5.2,5
4,15,44,318.947,768,0.415296,4,4.75,4
4,16,45,76.4145,184,0.415296,4,5.25,5
4,18,46,76.4145,184,0.415296,2,5.5,5
4,20,47,76.4145,184,0.415296,4,4.75,4
4,21,48,436.061,1050,0.415296,6,4.66667,4
4,24,49,157.397,379,0.415296,2,2.5,2
5,1,50,48.1743,116,0.415296,2,3.5,3
5,2,51,64.3709,155,0.415296,2,2.5,2
5,4,52,117.113,282,0.415296,2,1.5,1
5,7,53,48.1743,116,0.415296,1,1,1
5,11,54,84.7204,204,0.415296,3,4.33333,4
5,12,55,64.3709,155,0.415296,4,4.5,4
5,14,56,201.834,486,0.415296,3,3.33333,3
5,15,57,132.895,320,0.415296,4,4,3
5,16,58,31.9778,77,0.415296,3,4.33333,4
5,17,59,84.7204,204,0.415296,2,4,4
5,18,60,31.9778,77,0.415296,3,5,5
5,19,61,132.895,320,0.415296,5,4.6,4
5,20,62,31.9778,77,0.415296,2,4,4
5,21,63,185.637,447,0.415296,4,3.75,3
6,0,64,19.9342,48,0.415296,1,3,3
6,1,65,31.9778,77,0.415296,1,3,3
6,2,66,44.0214,106,0.415296,1,1,1
6,5,67,31.9778,77,0.415296,1,1,1
6,8,68,112.961,272,0.415296,2,2,2
6,11,69,56.4803,136,0.415296,1,3,3
6,12,70,44.0214,106,0.415296,4,4.5,4
6,13,71,19.9342,48,0.415296,3,4,4
6,14,72,132.895,320,0.415296,5,3.4,3
6,16,73,19.9342,48,0.415296,2,3.5,3
6,18,74,6.00013,48,0.125003,6,5.16667,5
6,19,75,88.458,213,0.415296,8,4.375,4
6,24,76,44.0214,106,0.415296,1,2,2
7,1,77,48.1743,116,0.415296,5,4.2,3
7,2,78,64.3709,155,0.415296,1,2,2
7,3,79,31.9778,77,0.415296,2,2.5,2
7,4,80,117.113,282,0.415296,4,3,2
7,6,81,31.9778,77,0.415296,1,1,1
7,8,82,169.441,408,0.415296,1,1,1
7,10,83,48.1743,116,0.415296,2,3.5,3
7,11,84,84.7204,204,0.415296,2,3.5,3
7,12,85,64.3709,155,0.415296,4,4.25,3
7,13,86,31.9778,77,0.415296,4,4.75,3
7,14,87,201.834,486,0.415296,5,3.4,2
7,15,88,132.895,320,0.415296,4,3.75,2
7,18,89,0,77,0,7,5.57143,4
7,19,90,0,320,0,12,5.08333,3
7,21,91,0,447,0,2,3,2
7,22,92,0,282,0,3,4.66667,3
8,2,93,225.921,544,0.415296,2,1.5,1
8,4,94,395.777,953,0.415296,5,3.6,3
8,5,95,169.441,408,0.415296,3,2.66667,2
8,10,96,169.441,408,0.415296,1,2,2
8,12,97,225.921,544,0.415296,4,3,2
8,13,98,112.961,272,0.415296,3,3,2
8,19,99,80.3398,1098,0.0731692,8,3.375,2
8,21,100,625.851,1507,0.415296,1,1,1
8,22,101,242.036,953,0.253973,15,5.06667,2
8,23,102,84.5747,1235,0.0684815,12,4.91667,2
8,24,103,225.921,544,0.415296,1,1,1
9,0,104,56.4803,136,0.415296,1,3,3
9,2,105,112.961,272,0.415296,1,1,1
9,3,106,56.4803,136,0.415296,2,3.5,3
9,4,107,197.681,476,0.415296,3,4.33333,4
9,5,108,84.7204,204,0.415296,1,3,3
9,6,109,56.4803,136,0.415296,1,2,2
9,7,110,84.7204,204,0.415296,2,3,3
9,8,111,282.401,680,0.415296,3,2.33333,2
9,10,112,84.7204,204,0.415296,2,1.5,1
9,13,113,56.4803,136,0.415296,3,3.33333,3
