source,destination,link_id,used_rate_c,usage,capacity_c
24,8,88,1260.5,0.80176,1572.16
24,3,86,1781.35,0.807273,2206.63
24,2,84,623.775,0.335585,1858.77
24,1,82,989.77,0.60965,1623.51
24,0,80,381.657,0.235082,1623.51
24,14,49,1318.39,0.948819,1389.51
23,22,78,142.528,0.0672921,2118.06
23,21,77,797.903,0.492364,1620.55
23,19,69,1199.54,0.790686,1517.09
22,23,79,821.122,0.387677,2118.06
22,21,75,1620.55,1,1620.55
21,23,76,286.409,0.176735,1620.55
21,22,74,665.63,0.410743,1620.55
21,19,72,1517.09,1,1517.09
21,8,70,1572.16,1,1572.16
21,14,47,1389.51,1,1389.51
20,19,67,311.969,0.205636,1517.09
20,14,45,875.28,0.62992,1389.51
19,21,73,237.965,0.156856,1517.09
19,23,68,1517.09,1,1517.09
19,20,66,939.651,0.619376,1517.09
19,18,64,1413.85,0.607433,2327.59
19,14,43,1371.99,0.98739,1389.51
18,19,65,629.437,0.270425,2327.59
18,17,63,1287.42,0.585997,2196.97
17,18,62,305.243,0.138938,2196.97
17,14,41,1389.51,1,1389.51
16,15,60,220.937,0.131507,1680.05
16,9,58,75.9992,0.0385557,1971.15
15,16,61,303.015,0.180361,1680.05
15,11,56,282.401,0.168091,1680.05
15,10,54,249.593,0.132519,1883.45
15,9,52,427.34,0.216797,1971.15
15,8,50,1568.57,0.997715,1572.16
15,14,39,1101.85,0.792982,1389.51
14,24,48,1389.51,1,1389.51
14,21,46,1389.51,1,1389.51
14,20,44,516.295,0.371566,1389.51
14,19,42,1389.51,1,1389.51
14,17,40,1389.51,1,1389.51
14,15,38,1389.51,1,1389.51
14,13,36,612.146,0.440549,1389.51
14,12,34,1272.47,0.915767,1389.51
14,10,32,1883.45,1,1883.45
14,8,30,1572.16,1,1572.16
13,14,37,694.375,0.499727,1389.51
13,12,29,44.0214,0.0176086,2500
12,14,35,1140.82,0.821023,1389.51
12,13,28,0,0,2500
11,15,57,903.684,0.537893,1680.05
11,10,27,225.921,0.119951,1883.45
11,9,23,480.082,0.243554,1971.15
10,15,55,745.211,0.395663,1883.45
10,14,33,1437.42,0.763186,1883.45
10,11,26,518.532,0.27531,1883.45
10,9,24,667.457,0.338612,1971.15
9,16,59,325.177,0.164968,1971.15
9,15,53,875.444,0.444128,1971.15
9,10,25,971.793,0.493007,1971.15
9,11,22,282.401,0.143267,1971.15
9,2,7,1142.56,0.614685,1858.77
8,24,89,1551.82,0.987056,1572.16
8,21,71,1572.16,1,1572.16
8,15,51,1572.16,1,1572.16
8,14,31,1572.16,1,1572.16
8,7,21,1309.84,0.648938,2018.44
8,2,5,991.727,0.53354,1858.77
7,8,20,2018.44,1,2018.44
7,6,18,354.247,0.173269,2044.49
7,5,17,903.269,0.443254,2037.82
6,7,19,138.48,0.067733,2044.49
6,5,15,349.346,0.171432,2037.82
6,2,3,1078.52,0.580236,1858.77
5,7,16,1146.55,0.562637,2037.82
5,6,14,628.343,0.308341,2037.82
5,4,12,819.379,0.402087,2037.82
5,3,10,115.119,0.0521695,2206.63
4,5,13,659.408,0.323586,2037.82
4,3,8,1224.37,0.554861,2206.63
3,24,87,1537.92,0.696955,2206.63
3,5,11,148.261,0.0671887,2206.63
3,4,9,1108.51,0.502352,2206.63
2,24,85,626.676,0.337146,1858.77
2,9,6,986.328,0.530636,1858.77
2,8,4,739.474,0.397831,1858.77
2,6,2,494.284,0.265921,1858.77
1,24,83,833.914,0.51365,1623.51
1,0,1,31.9778,0.0127911,2500
0,24,81,840.559,0.517743,1623.51
0,1,0,0,0,2500
