source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,4,0,76.4145,184,0.415296,1,3,3,1
0,5,1,31.9778,77,0.415296,2,3.5,3,2
0,7,2,31.9778,77,0.415296,2,3.5,3,2
0,8,3,112.961,272,0.415296,1,2,2,1
0,11,4,56.4803,136,0.415296,2,4,4,1
0,12,5,44.0214,106,0.415296,1,3,3,1
0,14,6,132.895,320,0.415296,1,2,2,1
0,16,7,19.9342,48,0.415296,1,4,4,1
0,19,8,88.458,213,0.415296,2,3.5,3,2
0,21,9,125.004,301,0.415296,2,3,3,2
0,22,10,76.4145,184,0.415296,2,4,4,2
0,24,11,44.0214,106,0.415296,1,1,1,1
1,0,12,31.9778,77,0.415296,1,1,1,1
1,3,13,31.9778,77,0.415296,1,2,2,1
1,8,14,169.441,408,0.415296,1,2,2,1
1,9,15,84.7204,204,0.415296,1,3,3,1
1,10,16,48.1743,116,0.415296,2,3.5,3,2
1,11,17,84.7204,204,0.415296,1,4,4,1
1,13,18,31.9778,77,0.415296,1,3,3,1
1,15,19,132.895,320,0.415296,2,3.5,3,2
1,19,20,132.895,320,0.415296,2,3.5,3,2
1,22,21,117.113,282,0.415296,2,4,4,2
2,0,22,44.0214,106,0.415296,1,2,2,1
2,1,23,64.3709,155,0.415296,1,2,2,1
2,3,24,44.0214,106,0.415296,2,2.5,2,2
2,10,25,64.3709,155,0.415296,1,2,2,1
2,15,26,181.484,437,0.415296,3,2.33333,2,1
2,18,27,44.0214,106,0.415296,1,4,4,1
2,19,28,181.484,437,0.415296,4,3.25,3,3
2,23,29,201.834,486,0.415296,1,3,3,1
3,0,30,19.9342,48,0.415296,1,2,2,1
3,5,31,31.9778,77,0.415296,1,1,1,1
3,6,32,19.9342,48,0.415296,1,2,2,1
3,8,33,112.961,272,0.415296,1,2,2,1
3,15,34,88.458,213,0.415296,3,3.66667,3,1
3,16,35,19.9342,48,0.415296,1,4,4,1
3,17,36,56.4803,136,0.415296,1,3,3,1
3,24,37,44.0214,106,0.415296,1,1,1,1
4,1,38,117.113,282,0.415296,2,3.5,3,2
4,2,39,157.397,379,0.415296,1,3,3,1
4,3,40,76.4145,184,0.415296,1,1,1,1
4,6,41,76.4145,184,0.415296,1,2,2,1
4,10,42,117.113,282,0.415296,3,4.66667,4,1
4,11,43,197.681,476,0.415296,3,5,5,1
4,15,44,318.947,768,0.415296,5,4.6,4,1
4,16,45,76.4145,184,0.415296,2,5,5,1
4,18,46,76.4145,184,0.415296,1,5,5,1
4,20,47,76.4145,184,0.415296,2,4.5,4,1
4,21,48,436.061,1050,0.415296,3,4.33333,4,2
4,24,49,157.397,379,0.415296,2,2.5,2,1
5,1,50,48.1743,116,0.415296,1,3,3,1
5,2,51,64.3709,155,0.415296,1,2,2,1
5,4,52,117.113,282,0.415296,2,1.5,1,1
5,7,53,48.1743,116,0.415296,1,1,1,1
5,11,54,84.7204,204,0.415296,1,4,4,1
5,12,55,64.3709,155,0.415296,2,4,4,2
5,14,56,201.834,486,0.415296,2,3,3,2
5,15,57,132.895,320,0.415296,2,3.5,3,2
5,16,58,31.9778,77,0.415296,1,4,4,1
5,17,59,84.7204,204,0.415296,2,4,4,2
5,18,60,31.9778,77,0.415296,3,5,5,2
5,19,61,132.895,320,0.415296,4,5,4,3
5,20,62,31.9778,77,0.415296,2,4,4,2
5,21,63,185.637,447,0.415296,2,3.5,3,2
6,0,64,19.9342,48,0.415296,1,3,3,1
6,1,65,31.9778,77,0.415296,1,3,3,1
6,2,66,44.0214,106,0.415296,1,1,1,1
6,5,67,31.9778,77,0.415296,1,1,1,1
6,8,68,112.961,272,0.415296,1,2,2,1
6,11,69,56.4803,136,0.415296,1,3,3,1
6,12,70,44.0214,106,0.415296,2,4.5,4,1
6,13,71,19.9342,48,0.415296,2,4,4,2
6,14,72,132.895,320,0.415296,4,3.5,3,1
6,16,73,19.9342,48,0.415296,1,3,3,1
6,18,74,19.9342,48,0.415296,2,5,5,1
6,19,75,88.458,213,0.415296,6,4.5,4,2
6,24,76,44.0214,106,0.415296,1,2,2,1
7,1,77,48.1743,116,0.415296,3,4,3,2
7,2,78,64.3709,155,0.415296,1,2,2,1
7,3,79,31.9778,77,0.415296,1,2,2,1
7,4,80,117.113,282,0.415296,2,2.5,2,1
7,6,81,31.9778,77,0.415296,1,1,1,1
7,8,82,169.441,408,0.415296,1,1,1,1
7,10,83,48.1743,116,0.415296,1,3,3,1
7,11,84,84.7204,204,0.415296,2,3.5,3,2
7,12,85,64.3709,155,0.415296,2,3.5,3,2
7,13,86,31.9778,77,0.415296,1,3,3,1
7,14,87,201.834,486,0.415296,2,2.5,2,1
7,15,88,132.895,320,0.415296,2,3,2,1
7,18,89,31.9778,77,0.415296,4,5.25,4,1
7,19,90,132.895,320,0.415296,6,4.83333,3,3
7,21,91,185.637,447,0.415296,1,2,2,1
7,22,92,117.113,282,0.415296,3,5.33333,3,2
8,2,93,225.921,544,0.415296,1,1,1,1
8,4,94,395.777,953,0.415296,3,3.33333,3,3
8,5,95,169.441,408,0.415296,2,2.5,2,2
8,10,96,169.441,408,0.415296,1,2,2,1
8,12,97,225.921,544,0.415296,2,2.5,2,2
8,13,98,112.961,272,0.415296,2,2.5,2,2
8,19,99,455.995,1098,0.415296,5,3.4,2,4
8,21,100,625.851,1507,0.415296,1,1,1,1
8,22,101,395.777,953,0.415296,5,3.6,2,2
8,23,102,512.891,1235,0.415296,3,4,2,3
8,24,103,225.921,544,0.415296,1,1,1,1
9,0,104,56.4803,136,0.415296,1,3,3,1
9,2,105,112.961,272,0.415296,1,1,1,1
9,3,106,56.4803,136,0.415296,2,3.5,3,2
9,4,107,197.681,476,0.415296,2,4.5,4,1
9,5,108,84.7204,204,0.415296,1,3,3,1
9,6,109,56.4803,136,0.415296,1,2,2,1
9,7,110,84.7204,204,0.415296,2,3,3,1
9,8,111,282.401,680,0.415296,2,2.5,2,2
9,10,112,84.7204,204,0.415296,1,1,1,1
9,13,113,56.4803,136,0.415296,1,3,3,1
9,14,114,338.882,816,0.415296,2,2.5,2,1
9,16,115,56.4803,136,0.415296,1,1,1,1
9,17,116,141.201,340,0.415296,3,3.33333,3,2
9,20,117,56.4803,136,0.415296,2,3,3,2
9,21,118,310.641,748,0.415296,5,4.2,3,3
9,22,119,197.681,476,0.415296,6,5.33333,4,2
10,0,120,31.9778,77,0.415296,2,3.5,3,2
10,3,121,31.9778,77,0.415296,2,4,3,2
10,5,122,48.1743,116,0.415296,2,4,4,1
10,6,123,31.9778,77,0.415296,1,3,3,1
10,14,124,201.834,486,0.415296,1,1,1,1
10,15,125,132.895,320,0.415296,1,1,1,1
10,18,126,31.9778,77,0.415296,1,3,3,1
10,20,127,31.9778,77,0.415296,1,2,2,1
10,21,128,185.637,447,0.415296,3,3,2,2
10,22,129,117.113,282,0.415296,4,4,3,1
10,23,130,153.244,369,0.415296,5,4.4,3,1
11,2,131,112.961,272,0.415296,1,2,2,1
11,3,132,56.4803,136,0.415296,3,4.33333,4,1
11,8,133,282.401,680,0.415296,1,2,2,1
11,9,134,141.201,340,0.415296,1,1,1,1
11,10,135,84.7204,204,0.415296,1,1,1,1
11,13,136,56.4803,136,0.415296,2,3,3,2
11,14,137,338.882,816,0.415296,2,2,2,1
11,15,138,225.921,544,0.415296,1,1,1,1
11,16,139,56.4803,136,0.415296,1,2,2,1
11,17,140,141.201,340,0.415296,2,3,3,1
11,24,141,112.961,272,0.415296,1,3,3,1
12,1,142,64.3709,155,0.415296,2,3.5,3,1
12,2,143,88.458,213,0.415296,1,3,3,1
12,3,144,44.0214,106,0.415296,1,3,3,1
12,4,145,157.397,379,0.415296,2,4.5,4,1
12,9,146,112.961,272,0.415296,2,3,3,1
12,10,147,64.3709,155,0.415296,1,2,2,1
12,11,148,112.961,272,0.415296,4,3.5,3,3
12,15,149,181.484,437,0.415296,3,3,2,2
12,17,150,112.961,272,0.415296,2,2.5,2,2
12,21,151,250.008,602,0.415296,5,3.6,2,3
12,23,152,201.834,486,0.415296,4,3.5,3,2
13,0,153,19.9342,48,0.415296,2,3.5,3,1
13,2,154,44.0214,106,0.415296,1,3,3,1
13,3,155,19.9342,48,0.415296,1,3,3,1
13,4,156,76.4145,184,0.415296,3,4.66667,4,2
13,5,157,31.9778,77,0.415296,2,4,4,1
13,10,158,31.9778,77,0.415296,1,2,2,1
13,12,159,44.0214,106,0.415296,1,1,1,1
13,14,160,132.895,320,0.415296,1,1,1,1
13,15,161,88.458,213,0.415296,2,2.5,2,2
13,16,162,19.9342,48,0.415296,1,3,3,1
13,17,163,56.4803,136,0.415296,1,2,2,1
13,18,164,19.9342,48,0.415296,1,3,3,1
13,19,165,88.458,213,0.415296,2,2.5,2,2
13,20,166,19.9342,48,0.415296,1,2,2,1
13,24,167,44.0214,106,0.415296,1,2,2,1
14,1,168,201.834,486,0.415296,3,3,2,2
14,2,169,270.358,651,0.415296,2,2,2,1
14,3,170,132.895,320,0.415296,2,3,2,1
14,4,171,476.345,1147,0.415296,2,3.5,3,2
14,8,172,682.331,1643,0.415296,1,1,1,1
14,12,173,270.358,651,0.415296,1,1,1,1
14,15,174,544.868,1312,0.415296,2,1.5,1,1
14,16,175,132.895,320,0.415296,3,2.66667,2,3
14,17,176,338.882,816,0.415296,1,1,1,1
14,18,177,132.895,320,0.415296,1,2,2,1
14,20,178,132.895,320,0.415296,1,1,1,1
14,23,179,613.807,1478,0.415296,4,2.5,2,3
14,24,180,270.358,651,0.415296,1,1,1,1
15,0,181,88.458,213,0.415296,2,3.5,3,2
15,6,182,88.458,213,0.415296,1,3,3,1
15,8,183,455.995,1098,0.415296,1,1,1,1
15,9,184,225.921,544,0.415296,1,1,1,1
15,16,185,88.458,213,0.415296,1,1,1,1
15,19,186,363.384,875,0.415296,2,2.5,2,2
15,24,187,181.484,437,0.415296,2,2.5,2,2
16,1,188,31.9778,77,0.415296,1,4,4,1
16,2,189,44.0214,106,0.415296,1,2,2,1
16,7,190,31.9778,77,0.415296,2,3.5,3,2
16,8,191,112.961,272,0.415296,1,2,2,1
16,10,192,31.9778,77,0.415296,1,2,2,1
16,12,193,44.0214,106,0.415296,1,3,3,1
16,22,194,76.4145,184,0.415296,3,5,4,1
17,0,195,56.4803,136,0.415296,2,3.5,3,1
17,1,196,84.7204,204,0.415296,2,3.5,3,1
17,2,197,112.961,272,0.415296,3,3.33333,3,3
17,4,198,197.681,476,0.415296,2,4.5,4,1
17,6,199,56.4803,136,0.415296,3,4.33333,4,3
17,7,200,84.7204,204,0.415296,2,4.5,3,1
17,8,201,282.401,680,0.415296,1,2,2,1
17,10,202,84.7204,204,0.415296,1,2,2,1
17,15,203,225.921,544,0.415296,2,2.5,2,2
17,16,204,56.4803,136,0.415296,1,3,3,1
17,20,205,56.4803,136,0.415296,2,2.5,2,2
18,0,206,19.9342,48,0.415296,3,4.33333,4,2
18,1,207,31.9778,77,0.415296,3,4.33333,4,2
18,3,208,19.9342,48,0.415296,3,4.33333,4,1
18,8,209,112.961,272,0.415296,1,3,3,1
18,9,210,56.4803,136,0.415296,2,4,4,1
18,11,211,56.4803,136,0.415296,4,4,4,3
18,12,212,44.0214,106,0.415296,2,3,3,1
18,15,213,88.458,213,0.415296,2,3,3,2
18,16,214,19.9342,48,0.415296,3,4.33333,4,1
18,17,215,56.4803,136,0.415296,1,1,1,1
18,19,216,88.458,213,0.415296,1,1,1,1
18,22,217,76.4145,184,0.415296,2,3,3,2
18,23,218,100.917,243,0.415296,2,2.5,2,2
18,24,219,44.0214,106,0.415296,2,3,3,1
19,3,220,88.458,213,0.415296,2,3.5,3,2
19,4,221,318.947,768,0.415296,6,5.33333,4,2
19,9,222,225.921,544,0.415296,2,3.5,3,2
19,10,223,132.895,320,0.415296,3,2.66667,2,2
19,11,224,225.921,544,0.415296,4,3.5,3,3
19,12,225,181.484,437,0.415296,4,3,2,3
19,14,226,544.868,1312,0.415296,2,1.5,1,1
19,16,227,88.458,213,0.415296,2,3.5,3,1
19,17,228,225.921,544,0.415296,1,2,2,1
19,20,229,88.458,213,0.415296,1,1,1,1
19,23,230,407.821,982,0.415296,2,1.5,1,1
19,24,231,181.484,437,0.415296,2,2.5,2,2
20,0,232,19.9342,48,0.415296,1,3,3,1
20,1,233,31.9778,77,0.415296,1,3,3,1
20,2,234,44.0214,106,0.415296,2,3,3,1
20,3,235,19.9342,48,0.415296,1,3,3,1
20,6,236,19.9342,48,0.415296,3,4,4,1
20,7,237,31.9778,77,0.415296,1,3,3,1
20,8,238,112.961,272,0.415296,1,2,2,1
20,11,239,56.4803,136,0.415296,2,3,3,1
20,12,240,44.0214,106,0.415296,1,2,2,1
20,15,241,88.458,213,0.415296,2,2.5,2,1
20,16,242,19.9342,48,0.415296,1,3,3,1
20,18,243,19.9342,48,0.415296,1,2,2,1
20,21,244,125.004,301,0.415296,1,2,2,1
20,23,245,100.917,243,0.415296,2,2.5,2,2
21,1,246,185.637,447,0.415296,2,3.5,3,2
21,2,247,250.008,602,0.415296,1,2,2,1
21,3,248,125.004,301,0.415296,3,4,3,3
21,6,249,125.004,301,0.415296,2,3,3,2
21,11,250,310.641,748,0.415296,1,3,3,1
21,13,251,125.004,301,0.415296,1,2,2,1
21,14,252,750.855,1808,0.415296,1,1,1,1
21,15,253,500.432,1205,0.415296,3,2.33333,2,2
21,16,254,125.004,301,0.415296,2,3,3,1
21,17,255,310.641,748,0.415296,2,2.5,2,1
21,18,256,125.004,301,0.415296,1,2,2,1
21,19,257,500.432,1205,0.415296,1,1,1,1
22,2,258,157.397,379,0.415296,1,3,3,1
22,3,259,76.4145,184,0.415296,3,5,4,1
22,4,260,278.664,671,0.415296,4,5.5,5,2
22,5,261,117.113,282,0.415296,2,5,4,2
22,6,262,76.4145,184,0.415296,3,4.33333,4,3
22,11,263,197.681,476,0.415296,4,5,4,2
22,12,264,157.397,379,0.415296,3,4.33333,3,2
22,13,265,76.4145,184,0.415296,3,4,3,2
22,14,266,476.345,1147,0.415296,4,3.5,2,2
22,15,267,318.947,768,0.415296,5,4.2,3,3
22,17,268,197.681,476,0.415296,2,4,3,2
22,19,269,318.947,768,0.415296,2,2,2,2
22,20,270,76.4145,184,0.415296,2,3,3,2
22,21,271,436.061,1050,0.415296,2,1.5,1,1
22,23,272,359.231,865,0.415296,1,1,1,1
23,0,273,100.917,243,0.415296,1,4,4,1
23,1,274,153.244,369,0.415296,5,5.2,4,1
23,3,275,100.917,243,0.415296,6,4.83333,4,2
23,4,276,359.231,865,0.415296,7,6.85714,5,1
23,5,277,153.244,369,0.415296,4,5.25,4,1
23,6,278,100.917,243,0.415296,5,5,4,2
23,7,279,153.244,369,0.415296,3,4,3,3
23,9,280,254.161,612,0.415296,6,4.83333,4,1
23,11,281,254.161,612,0.415296,6,4.5,4,2
23,13,282,100.917,243,0.415296,5,3.8,3,2
23,15,283,407.821,982,0.415296,6,4,3,2
23,16,284,100.917,243,0.415296,6,4.66667,4,2
23,17,285,254.161,612,0.415296,2,3.5,3,2
23,21,286,565.218,1361,0.415296,1,1,1,1
23,24,287,201.834,486,0.415296,4,3.5,3,2
24,1,288,64.3709,155,0.415296,2,1.5,1,1
24,2,289,88.458,213,0.415296,1,1,1,1
24,5,290,64.3709,155,0.415296,2,2.5,2,2
24,7,291,64.3709,155,0.415296,2,2.5,2,1
24,9,292,112.961,272,0.415296,1,2,2,1
24,10,293,64.3709,155,0.415296,2,2.5,2,1
24,12,294,88.458,213,0.415296,1,2,2,1
24,16,295,44.0214,106,0.415296,1,3,3,1
24,17,296,112.961,272,0.415296,1,2,2,1
24,20,297,44.0214,106,0.415296,1,2,2,1
24,21,298,250.008,602,0.415296,1,2,2,1
24,22,299,157.397,379,0.415296,3,3.66667,3,1
